GEN.1.1	In the beginning God (
AMO.2.15	Nor will he who rides the horse save his life [from the invading army].
AMO.2.16	Even the bravest among the warriors shall flee naked on that day,” says the L
AMO.3.1	Hear this word that the L
AMO.3.2	“I have known [chosen, cared for, and loved] only you of all the families of the earth;
AMO.3.2	Therefore I shall punish you for all your wickedness.”
AMO.3.3	Do two men walk together unless they have made an appointment?
AMO.3.4	Does a lion roar in the forest when he has no prey?
AMO.3.4	Does a young lion growl from his den if he has not captured 
AMO.3.5	Does a bird fall into a trap on the ground when there is no bait in it?
AMO.3.5	Does a trap spring up from the ground when it has caught nothing at all? [Of course not! So it is that Israel has earned her impending judgment.]
AMO.3.6	If a trumpet is blown in a city [warning of danger] will not the people tremble?
AMO.3.6	If a disaster 
AMO.3.7	Surely the Lord G
AMO.3.7	To His servants the prophets.
AMO.3.8	The lion has roared! Who will not fear?
AMO.3.8	The Lord G
AMO.3.9	Proclaim on the fortresses in Ashdod (Philistia) and on the citadels in the land of Egypt, and say, “Assemble yourselves on the mountains of Samaria, and see the great confusion within her and the oppressions 
AMO.3.10	For they do not know how to do right,” says the L
AMO.3.11	Therefore, thus says the Lord G
AMO.3.11	“An adversary (Assyria), even one surrounding the land,
AMO.3.11	Shall pull down your strength from you
AMO.3.11	And your fortresses will be looted.”
AMO.3.12	Thus says the L
AMO.3.12	“Just as the shepherd snatches from the mouth of the lion a couple of legs or a piece of the [sheep’s] ear [to prove to the owner that he has not stolen the animal],
AMO.3.12	So will the [remaining] children of Israel living in Samaria be snatched away
AMO.3.12	With the corner of a bed and [part of] the damask covering of a couch.
AMO.3.13	Hear and testify against the house of Jacob,”
AMO.3.13	Says the Lord G
AMO.3.14	“On that day when I punish Israel’s transgressions,
AMO.3.14	I shall also punish the altars of Bethel [with their golden calves];
AMO.3.14	And the horns of the altar shall be cut off
AMO.3.14	And fall to the ground.
AMO.3.15	And I shall tear down the winter house with the summer house;
AMO.3.15	And the houses of ivory shall also perish
AMO.3.15	And the great houses shall come to an end,”
AMO.3.15	Says the L
AMO.4.1	Hear this word, you [well-fed, pampered] cows (women) of Bashan who are on the mountain of Samaria,
AMO.4.1	Who oppress the poor, who crush the needy,
AMO.4.1	Who say to their husbands, “Bring [the wine] now, and let us drink!”
AMO.4.2	The Lord G
AMO.4.2	That, “Behold, the days are coming upon you
AMO.4.2	When they shall take you away with meat hooks,
AMO.4.2	And the last of you with fish hooks.
AMO.4.3	And you shall go out through the breaches [made in the city wall],
AMO.4.3	Every woman straight before her [unable to turn aside],
AMO.4.3	And you shall be cast to 
AMO.4.3	Says the L
AMO.4.4	“Come to Bethel [where the golden calf is] and transgress;
AMO.4.4	In Gilgal [where idols are worshiped] multiply transgression;
AMO.4.4	Bring your sacrifices every morning,
AMO.4.4	Your tithes every three days!
AMO.4.5	And [boastfully] proclaim freewill offerings, announce them.
AMO.4.5	For this you so love to do, O children of Israel!”
AMO.4.5	Says the Lord G
AMO.4.6	“I also gave you cleanness of teeth [because of the famine] in all your cities
AMO.4.6	And lack of bread in all your places,
AMO.4.6	Yet you have not returned to Me [in repentance],” says the L
AMO.4.7	“Furthermore, I withheld the rain from you
AMO.4.7	When 
AMO.4.7	Then I would send rain on one city,
AMO.4.7	And on another city I would not send rain;
AMO.4.7	One piece of ground was rained on,
AMO.4.7	While the part not rained on would dry up.
AMO.4.8	So [the people of] two or three cities would stagger into one city to drink water,
AMO.4.8	But would not be satisfied;
AMO.4.8	Yet you have not returned to Me [in repentance],” says the L
AMO.4.9	“I wounded you with blight [from the hot, blasting east wind] and with mildew;
AMO.4.9	And the caterpillar devoured
AMO.4.9	Your many gardens and vineyards, your fig trees and your olive trees;
AMO.4.9	Yet you have not returned to Me [in repentance],” says the L
AMO.4.10	“I sent a plague among you like [those of] Egypt;
AMO.4.10	I killed your young men with the sword and I captured your horses,
AMO.4.10	I made the stench of your camp rise up into your nostrils;
AMO.4.10	Yet you have not returned to Me [in repentance],” says the L
AMO.4.11	“I overthrew 
AMO.4.11	And you were [rescued] like a log pulled out of the flame;
AMO.4.11	Yet you have not returned to Me [in repentance],” says the L
AMO.4.12	“Therefore this is what I shall do to you, O Israel;
AMO.4.12	Because I will do this to you,
AMO.4.12	Prepare to meet your God [in judgment], O Israel!”
AMO.4.13	For behold, He who forms the mountains and creates the wind
AMO.4.13	And declares to man what are His thoughts,
AMO.4.13	He who makes the dawn into darkness
AMO.4.13	And treads on the heights of the earth—
AMO.4.13	The L
AMO.5.1	Hear this word which I take up for you as a funeral song, O house of Israel:
AMO.5.2	She has fallen, she will not rise again—
AMO.5.2	The virgin Israel.
AMO.5.2	She lies neglected on her land;
AMO.5.2	There is no one to raise her up.
AMO.5.3	For thus says the Lord G
AMO.5.3	“The city which goes forth a thousand 
AMO.5.3	Will have a hundred left,
AMO.5.3	And the one which goes forth a hundred 
AMO.5.3	Will have ten left to the house of Israel.”
AMO.5.4	For thus says the L
AMO.5.4	“Seek Me [search diligently for Me and regard Me as more essential than food] so that you may live.
AMO.5.5	But do not resort to Bethel [to worship the golden calf]
AMO.5.5	Nor enter [idolatrous] Gilgal,
AMO.5.5	Nor cross over to Beersheba [and its idols];
AMO.5.5	For Gilgal will certainly go into captivity 
AMO.5.5	And Bethel will come to nothing.
AMO.5.6	Seek the L
AMO.5.6	Or He will rush down like a [devouring] fire, O 
AMO.5.6	And there will be no one to quench the flame for [idolatrous] 
AMO.5.7	For those [shall be consumed] who turn justice into wormwood (bitterness)
AMO.5.7	And cast righteousness down to the earth.”
AMO.5.8	He who made the [cluster of stars called] Pleiades and [the constellation] Orion,
AMO.5.8	Who turns deep darkness into the morning
AMO.5.8	And darkens the day into night,
AMO.5.8	Who calls for the waters of the sea
AMO.5.8	And pours them out on the surface of the earth,
AMO.5.8	The L
AMO.5.9	It is He who causes [sudden] destruction to flash forth on the strong
AMO.5.9	So that destruction comes on the fortress.
AMO.5.10	They hate the one who reprimands [the unrighteous] in the [court held at the city] gate [regarding him as unreasonable and rejecting his reprimand],
AMO.5.10	And they detest him who speaks [the truth] with integrity 
AMO.5.11	Therefore, because you impose heavy rent on the poor
AMO.5.11	And demand a tribute (food-tax) of grain from them,
AMO.5.11	Though you have built [luxurious] houses of square stone,
AMO.5.11	You will not live in them;
AMO.5.11	You have planted beautiful vineyards, but you will not drink their wine.
AMO.5.12	For I know your transgressions are many and your sins are great (shocking, innumerable),
AMO.5.12	You who distress the righteous and take bribes,
AMO.5.12	And turn away from the poor in the [court of the city] gate [depriving them of justice].
AMO.5.13	Therefore, he who is prudent 
AMO.5.14	Seek (long for, require) good and not evil, that you may live;
AMO.5.14	And so may the L
AMO.5.14	Just as you have said!
AMO.5.15	Hate evil and love good,
AMO.5.15	And establish justice in the [court of the city] gate.
AMO.5.15	Perhaps the L
AMO.5.15	Will be gracious to the remnant of Joseph [that is, those who remain after God’s judgment].
AMO.5.16	Therefore, thus says the L
AMO.5.16	“There is wailing in all the public plazas,
AMO.5.16	And in all the streets they say, ‘Alas! Alas!’
AMO.5.16	And they call the farmers to mourning [for those who have died]
AMO.5.16	And professional mourners to wailing.
AMO.5.17	And in all vineyards 
AMO.5.17	For I will pass through your midst [in judgment],” says the L
AMO.5.18	Woe (judgment is coming) to you who desire the day of the L
AMO.5.18	Why would you want the day of the L
AMO.5.18	It is darkness (judgment) and not light [and rescue and prosperity];
AMO.5.19	It is as if a man runs from a lion [escaping one danger]
AMO.5.19	And a bear meets him [so he dies anyway],
AMO.5.19	Or goes home, and leans with his hand against the wall
AMO.5.19	And a snake bites him.
AMO.5.20	Will not the day of the L
AMO.5.20	Even very dark with no brightness in it?
AMO.5.21	“I hate, I despise 
AMO.5.21	And I do not take delight in your solemn assemblies.
AMO.5.22	Even though you offer Me your burnt offerings and your grain offerings,
AMO.5.22	I will not accept them;
AMO.5.22	And I will not even look at the peace offerings of your fattened animals.
AMO.5.23	Take the noise of your songs away from Me [they are an irritation]!
AMO.5.23	I shall not even listen to the melody of your harps.
AMO.5.24	But let justice run down like waters
AMO.5.24	And righteousness like an ever-flowing stream [flowing abundantly].
AMO.5.25	“Did you bring Me sacrifices and grain offerings during those forty years in the wilderness, O house of Israel? [Certainly not!] 
AMO.5.26	You carried along your king Sikkuth and Kayyun [your man-made gods of Saturn], your images of your star-god which you made for yourselves [but you brought Me none of the appointed sacrifices]. 
AMO.5.27	Therefore, I will send you to go into exile far beyond Damascus,” says the L
AMO.6.1	Woe (judgment is coming) to those who are at ease 
AMO.6.1	And to those on the mountain of Samaria who feel secure,
AMO.6.1	The distinguished men of the foremost of nations,
AMO.6.1	To whom the house of Israel comes.
AMO.6.2	Go over to Calneh [in Babylonia] and look,
AMO.6.2	And from there go [north of Damascus] to the great city of Hamath;
AMO.6.2	Then go down to Gath of the Philistines.
AMO.6.2	Are they better than these kingdoms [of yours],
AMO.6.2	Or is their territory greater than yours?
AMO.6.3	Do you put off the day of punishment,
AMO.6.3	Yet cause the seat of violence to come near?
AMO.6.4	Those who lie on [luxurious] beds of ivory
AMO.6.4	And lounge around out on their couches,
AMO.6.4	And eat lambs from the flock
AMO.6.4	And calves from the midst of the stall,
AMO.6.5	Who improvise to the sound of the harp—
AMO.6.5	Like David they have composed songs for themselves—
AMO.6.6	Who drink wine from sacrificial bowls
AMO.6.6	And anoint themselves with the finest oils [reflecting their unrestrained celebration];
AMO.6.6	Yet they are not grieved over the ruin of Joseph (Israel).
AMO.6.7	Therefore, they will now go into exile with the first of the captives,
AMO.6.7	And the cultic revelry 
AMO.6.8	The Lord 
AMO.6.8	“I loathe 
AMO.6.8	And I hate his palaces 
AMO.6.8	Therefore, I shall hand over the [idolatrous] city [of Samaria] with all that it contains [to the Assyrian invaders].”
AMO.6.9	And it shall come to pass that if there remain ten men in one house, they shall die [by the pestilence that comes with war]. 
AMO.6.10	Then one’s uncle, or his undertaker, shall come to bring the [disease-infected] body out of the house, [to cremate it], and he will say to another in the farthest part of the house, “Is there anyone else with you?” And that one will say, “No one.” Then he will respond, “Hush! Keep quiet! For the name of the L
AMO.6.11	For behold, the L
AMO.6.12	Do horses run on rocks?
AMO.6.12	Do men plow rocks with oxen? [Of course not!]
AMO.6.12	Yet you have turned justice into poison
AMO.6.12	And the fruit of righteousness into wormwood (bitterness),
AMO.6.13	You who [self-confidently] rejoice in 
AMO.6.13	Who say, “Have we not by our own strength taken 
AMO.6.14	“For behold, I am going to stir up a nation against you,
AMO.6.14	O house of Israel,” says the L
AMO.6.14	“And they will afflict 
AMO.6.14	To the brook of the Arabah [in the south].”
AMO.7.1	Thus the Lord G
AMO.7.2	And when the locusts had finished eating the plants of the land, then I said,
AMO.7.2	“O Lord G
AMO.7.2	How can Jacob stand,
AMO.7.2	For he is so small [that he cannot endure this]?”
AMO.7.3	The L
AMO.7.3	“It shall not take place,” said the L
AMO.7.4	Thus the Lord G
AMO.7.5	Then I said,
AMO.7.5	“O Lord G
AMO.7.5	How can Jacob stand,
AMO.7.5	For he is so small [that he cannot endure this]?”
AMO.7.6	The L
AMO.7.6	“This also shall not be,” said the Lord G
AMO.7.7	Thus He showed me [a vision], and behold, the Lord was standing by a vertical wall with a plumb line in His hand [to determine if the wall was straight or if it needed to be destroyed]. 
AMO.7.8	The L
AMO.7.8	“Behold, I am setting a plumb line [as a standard]
AMO.7.8	Among My people Israel [showing the defectiveness of the nation, requiring judgment].
AMO.7.8	I shall not spare them any longer. [The door of mercy is shut.]
AMO.7.9	And the [idolatrous] high places of Isaac (Israel) will be devastated 
AMO.7.9	And the sanctuaries of Israel will be in ruins.
AMO.7.9	Then I shall rise up against the house of Jeroboam with the sword [and destroy the monarchy].”
AMO.7.10	Then Amaziah, the priest of Bethel [site of the golden calf shrine], sent 
AMO.7.11	For in this way Amos has said, ‘Jeroboam will die by the sword and Israel will certainly go from its land into exile.’ ” 
AMO.7.12	Then Amaziah said to Amos, “Go, you seer, run for your life [from Israel] to the land of Judah [your own country] and eat bread and live as a prophet there! 
AMO.7.13	But do not prophesy any longer at Bethel, for it is the king’s sanctuary and a royal residence.”
