GEN.1.1	In the beginning of God's preparing the heavens and the earth —
NEH.7.63	And of the priests: sons of Habaiah sons of Koz, sons of Barzillai, who hath taken from the daughters of Barzillai the Gileadite a wife, and is called by their name.
NEH.7.64	These have sought their register among those reckoning themselves by genealogy, and it hath not been found, and they are redeemed from the priesthood,
NEH.7.65	and the Tirshatha saith to them that they eat not of the most holy things till the standing up of the priest with Urim and Thummim.
NEH.7.66	All the assembly together [is] four myriads two thousand three hundred and sixty,
NEH.7.67	apart from their servants and their handmaids — these [are] seven thousand three hundred thirty and seven; and of them [are] singers and songstresses, two hundred forty and five.
NEH.7.68	Their horses [are] seven hundred thirty and six; their mules, two hundred [and] forty and five;
NEH.7.69	camels, four hundred thirty and five; asses, six thousand seven hundred and twenty.
NEH.7.70	And from the extremity of the heads of the fathers they have given to the work; the Tirshatha hath given to the treasure, of gold, drams a thousand, bowls fifty, priests' coats thirty and five hundred.
NEH.7.71	And of the heads of the fathers they have given to the treasure of the work, of gold, drams two myriads, and of silver, pounds two thousand and two hundred.
NEH.7.72	And that which the rest of the people have given [is] of gold, drams two myriads, and of silver, pounds two thousand, and of priests coats, sixty and seven.
NEH.7.73	And they dwell — the priests, and the Levites, and the gatekeepers, and the singers, and [some] of the people, and the Nethinim, and all Israel — in their cities, and the seventh month cometh, and the sons of Israel [are] in their cities.
NEH.8.1	And all the people are gathered as one man unto the broad place that [is] before the water-gate, and they say to Ezra the scribe to bring the book of the law of Moses, that 
NEH.8.2	And Ezra the priest bringeth the law before the assembly, both of men and women, and every one intelligent to hear, on the first day of the seventh month,
NEH.8.3	and he readeth in it before the broad place that [is] before the water-gate, from the light till the middle of the day, over-against the men, and the women, and those intelligent, and the ears of all the people [are] unto the book of the law.
NEH.8.4	And Ezra the scribe standeth on a tower of wood that they made for the purpose, and Mattithiah standeth near him, and Shema, and Anaiah, and Urijah, and Hilkiah, and Maaseiah, on his right; and on his left Pedaiah, and Mishael, and Malchijah, and Hashum, and Hashbaddana,
NEH.8.5	And Ezra openeth the book before the eyes of all the people — for above all the people he hath been — and at his opening [it] all the people have stood up,
NEH.8.6	and Ezra blesseth 
NEH.8.7	And Jeshua, and Bani, and Sherebiah, Jamin, Akkub, Shabbethai, Hodijah, Maaseiah, Kelita, Azariah, Jozabad, Hanan, Pelaiah, and the Levites, giving the people understanding in the law, and the people, [are] on their station,
NEH.8.8	and they read in the book, in the law of God, explaining — so as to give the meaning, and they give understanding to the convocation.
NEH.8.9	And Nehemiah — he [is] the Tirshatha — saith (and Ezra the priest, the scribe, and the Levites who are instructing the people) to all the people, ‘To-day is holy to 
NEH.8.10	And he saith to them, ‘Go, eat fat things, and drink sweet things, and sent portions to him for whom nothing is prepared, for to-day [is] holy to our Lord, and be not grieved, for the joy of 
NEH.8.11	And the Levites are keeping all the people silent, saying, ‘Be silent, for to-day [is] holy, and be not grieved.’
NEH.8.12	And all the people go to eat, and to drink, and to send portions, and to make great joy, because they have understood concerning the words that they made known to them.
NEH.8.13	And on the second day have been gathered heads of the fathers of all the people, the priests, and the Levites, unto Ezra the scribe, even to act wisely concerning the words of the law.
NEH.8.14	And they find written in the law that 
NEH.8.15	and that they proclaim and cause to pass over all their cities, (and in Jerusalem,) saying, ‘Go ye out to the mount, and bring leaves of the olive, and leaves of the oil tree, and leaves of the myrtle, and leaves of the palms, and leaves ofthick trees, to make booths as it is written.’
NEH.8.16	And the people go out, and bring in, and make for themselves booths, each on his roof, and in their courts, and in the courts of the house of God, and in the broad place of the watergate, and in the broad place of the gate of Ephraim.
NEH.8.17	And they make — all the assembly of the captives of the captivity — booths, and they sit in booths; for the sons of Israel had not done, from the days of Jeshua son of Nun, so unto that day, and there is very great joy.
NEH.8.18	And he readeth in the book of the law of God day by day, from the first day till the last day, and they make a feast seven days, and on the eighth day a restraint, according to the ordinance.
NEH.9.1	And in the twenty and fourth day of this month have the sons of Israel been gathered, with fasting, and with sackcloth, and earth upon them;
NEH.9.2	and the seed of Israel are separated from all sons of a stranger, and stand and confess concerning their sins, and the iniquities of their fathers,
NEH.9.3	and rise up on their station, and read in the book of the law of 
NEH.9.4	And there stand up on the ascent, of the Levites, Jeshua, and Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani, Chenani, and they cry with a loud voice unto 
NEH.9.5	And the Levites say, [even] Jeshua, and Kadmiel, Bani, Hashabniah, Sherebiah, Hodijah, Shebaniah, Pethahiah, ‘Rise, bless 
NEH.9.6	Thou [art] He, O 
NEH.9.7	‘Thou [art] He, O 
NEH.9.8	and didst find his heart stedfast before Thee, so as to make with him the covenant, to give the land of the Canaanite, the Hittite, the Amorite, and the Perizzite, and the Jebusite, and the Girgashite, to give [it] to his seed. ‘And Thou dost establish Thy words, for Thou [art] righteous,
NEH.9.9	and dost see the affliction of our fathers in Egypt, and their cry hast heard by the sea of Suph,
NEH.9.10	and dost give signs and wonders on Pharaoh, and on all his servants, and on all the people of his land, for Thou hast known that they have acted proudly against them, and Thou makest to Thee a name as [at] this day.
NEH.9.11	And the sea Thou hast cleaved before them, and they pass over into the midst of the sea on the dry land, and their pursuers Thou hast cast into the depths, as a stone, into the strong waters.
NEH.9.12	And by a pillar of cloud Thou hast led them by day, and by a pillar of fire by night, to lighten to them the way in which they go.
NEH.9.13	‘And on mount Sinai Thou hast come down, even to speak with them from the heavens, and Thou dost give to them right judgments, and true laws, good statutes and commands.
NEH.9.14	And Thy holy sabbath Thou hast made known to them, and commands, and statutes, and law, Thou hast commanded for them, by the hand of Moses Thy servant;
NEH.9.15	and bread from the heavens Thou hast given to them for their hunger, and water from a rock hast brought out to them for their thirst, and dost say to them to go in to possess the land that Thou hast lifted up Thy hand to give to them.
NEH.9.16	‘And they and our fathers have acted proudly, and harden their neck, and have not hearkened unto Thy commands,
NEH.9.17	yea, they refuse to hearken, and have not remembered Thy wonders that Thou hast done with them, and harden their neck and appoint a head, to turn back to their service, in their rebellion; and Thou [art] a God of pardons, gracious, and merciful, long-suffering, and abundant in kindness, and hast not forsaken them.
NEH.9.18	‘Also, when they have made to themselves a molten calf, and say, this [is] thy god that brought thee up out of Egypt, and do great despisings,
NEH.9.19	and Thou, in Thine abundant mercies, hast not forsaken them in the wilderness — the pillar of the cloud hath not turned aside from off them by day, to lead them in the way, and the pillar of the fire by night, to give light to them and the way in which they go.
NEH.9.20	‘And Thy good Spirit Thou hast given, to cause them to act wisely; and Thy manna Thou hast not withheld from their mouth, and water Thou hast given to them for their thirst,
NEH.9.21	and forty years Thou hast nourished them in a wilderness; they have not lacked; their garments have not worn out, and their feet have not swelled.
NEH.9.22	‘And Thou givest to them kingdoms, and peoples, and dost apportion them to the corner, and they possess the land of Sihon, and the land of the king of Heshbon, and the land of Og king of Bashan.
NEH.9.23	And their sons Thou hast multiplied as the stars of the heavens, and bringest them in unto the land that Thou hast said to their fathers to go in to possess.
NEH.9.24	‘And the sons come in, and possess the land, and Thou humblest before them the inhabitants of the land, the Canaanites, and givest them into their hand, and their kings, and the peoples of the land, to do with them according to their pleasure.
NEH.9.25	And they capture fenced cities, and fat ground, and possess houses full of all good, digged-wells, vineyards, and olive-yards, and fruit-trees in abundance, and they eat, and are satisfied, and become fat, and delight themselves in Thy great goodness.
NEH.9.26	‘And they are disobedient, and rebel against Thee, and cast Thy law behind their back, and Thy prophets they have slain, who testified against them, to bring them back unto Thee, and they do great despisings,
NEH.9.27	and Thou givest them into the hand of their adversaries, and they distress them, and in the time of their distress they cry unto Thee, and Thou, from the heavens, dost hear, and, according to Thine abundant mercies, dost give to them saviours, and they save them out of the hand of their adversaries.
