GEN.1.1	In the beginning God created the sky and the earth. 
PRO.29.25	Being afraid of people can get you into trouble,
PRO.29.25	but if you trust the L
PRO.29.26	Many people want to speak to a ruler,
PRO.29.26	but justice comes only from the L
PRO.29.27	Good people hate those who are dishonest,
PRO.29.27	and the wicked hate those who are honest.
PRO.30.1	These are the words of Agur son of Jakeh.
PRO.30.1	This is his message to Ithiel and Ucal:
PRO.30.2	“I am the most stupid person there is,
PRO.30.2	and I have no understanding.
PRO.30.3	I have not learned to be wise,
PRO.30.3	and I don’t know much about God, the Holy One.
PRO.30.4	Who has gone up to heaven and come back down?
PRO.30.4	Who can hold the wind in his hand?
PRO.30.4	Who can gather up the waters in his coat?
PRO.30.4	Who has set in place the ends of the earth?
PRO.30.4	What is his name or his son’s name?
PRO.30.4	Tell me, if you know!
PRO.30.5	“Every word of God is true.
PRO.30.5	He guards those who come to him for safety.
PRO.30.6	Do not add to his words,
PRO.30.6	or he will correct you and prove you are a liar.
PRO.30.7	“I ask two things from you, L
PRO.30.7	Don’t refuse me before I die.
PRO.30.8	Keep me from lying and being dishonest.
PRO.30.8	And don’t make me either rich or poor;
PRO.30.8	just give me enough food for each day.
PRO.30.9	If I have too much, I might reject you
PRO.30.9	and say, ‘I don’t know the L
PRO.30.9	If I am poor, I might steal
PRO.30.9	and disgrace the name of my God.
PRO.30.10	“Do not say bad things about servants to their masters,
PRO.30.10	or they will curse you, and you will suffer for it.
PRO.30.11	“Some people curse their fathers
PRO.30.11	and do not bless their mothers.
PRO.30.12	Some people think they are pure,
PRO.30.12	but they are not really free from evil.
PRO.30.13	Some people have such a proud look!
PRO.30.13	They look down on others.
PRO.30.14	Some people have teeth like swords;
PRO.30.14	their jaws seem full of knives.
PRO.30.14	They want to remove the poor from the earth
PRO.30.14	and the needy from the land.
PRO.30.15	“Greed has two daughters
PRO.30.15	named ‘Give’ and ‘Give.’
PRO.30.15	There are three things that are never satisfied,
PRO.30.15	really four that never say, ‘I’ve had enough!’:
PRO.30.16	the cemetery, the childless mother,
PRO.30.16	the land that never gets enough rain,
PRO.30.16	and fire that never says, ‘I’ve had enough!’
PRO.30.17	“If you make fun of your father
PRO.30.17	and refuse to obey your mother,
PRO.30.17	the birds of the valley will peck out your eyes,
PRO.30.17	and the vultures will eat them.
PRO.30.18	“There are three things that are too hard for me,
PRO.30.18	really four I don’t understand:
PRO.30.19	the way an eagle flies in the sky,
PRO.30.19	the way a snake slides over a rock,
PRO.30.19	the way a ship sails on the sea,
PRO.30.19	and the way a man and a woman fall in love.
PRO.30.20	“This is the way of a woman who takes part in adultery:
PRO.30.20	She acts as if she had eaten and washed her face;
PRO.30.20	she says, ‘I haven’t done anything wrong.’
PRO.30.21	“There are three things that make the earth tremble,
PRO.30.21	really four it cannot stand:
PRO.30.22	a servant who becomes a king,
PRO.30.22	a foolish person who has plenty to eat,
PRO.30.23	a hated woman who gets married,
PRO.30.23	and a maid who replaces her mistress.
PRO.30.24	“There are four things on earth that are small,
PRO.30.24	but they are very wise:
PRO.30.25	Ants are not very strong,
PRO.30.25	but they store up food in the summer.
PRO.30.26	Rock badgers are not very powerful,
PRO.30.26	but they can live among the rocks.
PRO.30.27	Locusts have no king,
PRO.30.27	but they all go forward in formation.
PRO.30.28	Lizards can be caught in the hand,
PRO.30.28	but they are found even in kings’ palaces.
PRO.30.29	“There are three things that strut proudly,
PRO.30.29	really four that walk as if they were important:
PRO.30.30	a lion, the proudest animal,
PRO.30.30	which is strong and runs from nothing,
PRO.30.31	a rooster, a male goat,
PRO.30.31	and a king when his army is around him.
PRO.30.32	“If you have been foolish and proud,
PRO.30.32	or if you have planned evil, shut your mouth.
PRO.30.33	Just as stirring milk makes butter,
PRO.30.33	and twisting noses makes them bleed,
PRO.30.33	so stirring up anger causes trouble.”
PRO.31.1	These are the words of King Lemuel, the message his mother taught him:
PRO.31.2	“My son, I gave birth to you.
PRO.31.2	You are the son I prayed for.
PRO.31.3	Don’t waste your strength on women
PRO.31.3	or your time on those who ruin kings.
PRO.31.4	“Kings should not drink wine, Lemuel,
PRO.31.4	and rulers should not desire beer.
PRO.31.5	If they drink, they might forget the law
PRO.31.5	and keep the needy from getting their rights.
PRO.31.6	Give beer to people who are dying
PRO.31.6	and wine to those who are sad.
PRO.31.7	Let them drink and forget their need
PRO.31.7	and remember their misery no more.
PRO.31.8	“Speak up for those who cannot speak for themselves;
PRO.31.8	defend the rights of all those who have nothing.
PRO.31.9	Speak up and judge fairly,
PRO.31.9	and defend the rights of the poor and needy.”
PRO.31.10	It is hard to find a good wife,
PRO.31.10	because she is worth more than rubies.
PRO.31.11	Her husband trusts her completely.
PRO.31.11	With her, he has everything he needs.
PRO.31.12	She does him good and not harm
PRO.31.12	for as long as she lives.
PRO.31.13	She looks for wool and flax
PRO.31.13	and likes to work with her hands.
PRO.31.14	She is like a trader’s ship,
PRO.31.14	bringing food from far away.
PRO.31.15	She gets up while it is still dark
PRO.31.15	and prepares food for her family
PRO.31.15	and feeds her servant girls.
PRO.31.16	She inspects a field and buys it.
PRO.31.16	With money she earned, she plants a vineyard.
PRO.31.17	She does her work with energy,
PRO.31.17	and her arms are strong.
PRO.31.18	She knows that what she makes is good.
PRO.31.18	Her lamp burns late into the night.
PRO.31.19	She makes thread with her hands
PRO.31.19	and weaves her own cloth.
PRO.31.20	She welcomes the poor
PRO.31.20	and helps the needy.
PRO.31.21	She does not worry about her family when it snows,
PRO.31.21	because they all have fine clothes to keep them warm.
PRO.31.22	She makes coverings for herself;
PRO.31.22	her clothes are made of linen and other expensive material.
PRO.31.23	Her husband is known at the city meetings,
PRO.31.23	where he makes decisions as one of the leaders of the land.
PRO.31.24	She makes linen clothes and sells them
PRO.31.24	and provides belts to the merchants.
PRO.31.25	She is strong and is respected by the people.
PRO.31.25	She looks forward to the future with joy.
PRO.31.26	She speaks wise words
PRO.31.26	and teaches others to be kind.
PRO.31.27	She watches over her family
PRO.31.27	and never wastes her time.
PRO.31.28	Her children speak well of her.
PRO.31.28	Her husband also praises her,
PRO.31.29	saying, “There are many fine women,
PRO.31.29	but you are better than all of them.”
PRO.31.30	Charm can fool you, and beauty can trick you,
PRO.31.30	but a woman who respects the L
PRO.31.31	Give her the reward she has earned;
PRO.31.31	she should be praised in public for what she has done. 
ECC.1.1	These are the words of the Teacher, a son of David, king in Jerusalem.
ECC.1.2	The Teacher says,
ECC.1.2	“Useless! Useless!
ECC.1.2	Completely useless!
ECC.1.2	Everything is useless.”
ECC.1.3	What do people really gain
ECC.1.3	from all the hard work they do here on earth?
ECC.1.4	People live, and people die,
ECC.1.4	but the earth continues forever.
ECC.1.5	The sun rises, the sun sets,
ECC.1.5	and then it hurries back to where it rises again.
ECC.1.6	The wind blows to the south;
ECC.1.6	it blows to the north.
ECC.1.6	It blows from one direction and then another.
ECC.1.6	Then it turns around and repeats the same pattern, going nowhere.
ECC.1.7	All the rivers flow to the sea,
ECC.1.7	but the sea never becomes full.
ECC.1.8	Everything is boring,
ECC.1.8	so boring that you don’t even want to talk about it.
ECC.1.8	Words come again and again to our ears,
ECC.1.8	but we never hear enough,
ECC.1.8	nor can we ever really see all we want to see.
ECC.1.9	All things continue the way they have been since the beginning.
ECC.1.9	What has happened will happen again;
ECC.1.9	there is nothing new here on earth.
ECC.1.10	Someone might say,
ECC.1.10	“Look, this is new,”
ECC.1.10	but really it has always been here.
ECC.1.10	It was here before we were.
ECC.1.11	People don’t remember what happened long ago,
ECC.1.11	and in the future people will not remember what happens now.
ECC.1.11	Even later, other people will not remember what was done before them.
ECC.1.12	I, the Teacher, was king over Israel in Jerusalem. 
ECC.1.13	I decided to use my wisdom to learn about everything that happens on earth. I learned that God has given us terrible things to face. 
ECC.1.14	I looked at everything done on earth and saw that it is all useless, like chasing the wind.
ECC.1.15	If something is crooked,
ECC.1.15	you can’t make it straight.
ECC.1.15	If something is missing,
ECC.1.15	you can’t say it is there.
ECC.1.16	I said to myself, “I have become very wise and am now wiser than anyone who ruled Jerusalem before me. I know what wisdom and knowledge really are.” 
ECC.1.17	So I decided to find out about wisdom and knowledge and also about foolish thinking, but this turned out to be like chasing the wind.
ECC.1.18	With much wisdom comes much disappointment;
ECC.1.18	the person who gains more knowledge also gains more sorrow.
ECC.2.1	 I said to myself, "I will try having fun. I will enjoy myself." But I found that this is also useless. 
ECC.2.2	 It is foolish to laugh all the time, and having fun doesn't accomplish anything. 
ECC.2.3	 I decided to cheer myself up with wine while my mind was still thinking wisely. I wanted to find a way to enjoy myself and see what was good for people to do during their few days of life. 
ECC.2.4	Then I did great things: I built houses and planted vineyards for myself. 
ECC.2.5	I made gardens and parks, and I planted all kinds of fruit trees in them. 
ECC.2.6	I made pools of water for myself and used them to water my growing trees. 
ECC.2.7	I bought male and female slaves, and slaves were also born in my house. I had large herds and flocks, more than anyone in Jerusalem had ever had before. 
ECC.2.8	I also gathered silver and gold for myself, treasures from kings and other areas. I had male and female singers and all the women a man could ever want. 
ECC.2.9	I became very famous, even greater than anyone who had lived in Jerusalem before me. My wisdom helped me in all this.
ECC.2.10	Anything I saw and wanted, I got for myself;
ECC.2.10	I did not miss any pleasure I desired.
ECC.2.10	I was pleased with everything I did,
ECC.2.10	and this pleasure was the reward for all my hard work.
ECC.2.11	But then I looked at what I had done,
ECC.2.11	and I thought about all the hard work.
ECC.2.11	Suddenly I realized it was useless, like chasing the wind.
ECC.2.11	There is nothing to gain from anything we do here on earth.
ECC.2.12	Then I began to think again about being wise,
ECC.2.12	and also about being foolish and doing crazy things.
ECC.2.12	But after all, what more can anyone do?
ECC.2.12	He can’t do more than what the other king has already done.
ECC.2.13	I saw that being wise is certainly better than being foolish,
ECC.2.13	just as light is better than darkness.
ECC.2.14	Wise people see where they are going,
ECC.2.14	but fools walk around in the dark.
ECC.2.14	Yet I saw that
ECC.2.14	both wise and foolish people end the same way.
ECC.2.15	I thought to myself,
ECC.2.15	“What happens to a fool will happen to me, too,
ECC.2.15	so what is the reward for being wise?”
ECC.2.15	I said to myself,
ECC.2.15	“Being wise is also useless.”
ECC.2.16	The wise person and the fool
ECC.2.16	will both die,
ECC.2.16	and no one will remember either one for long.
ECC.2.16	In the future, both will be forgotten.
ECC.2.17	So I hated life. It made me sad to think that everything here on earth is useless, like chasing the wind. 
ECC.2.18	I hated all the things I had worked for here on earth, because I must leave them to someone who will live after me. 
ECC.2.19	Someone else will control everything for which I worked so hard here on earth, and I don’t know if he will be wise or foolish. This is also useless. 
ECC.2.20	So I became sad about all the hard work I had done here on earth. 
ECC.2.21	People can work hard using all their wisdom, knowledge, and skill, but they will die, and other people will get the things for which they worked. They did not do the work, but they will get everything. This is also unfair and useless. 
