GEN.1.1	In the beginning, God
PSA.80.1	Hear us, Shepherd of Israel,
PSA.80.1	you who lead Joseph like a flock,
PSA.80.1	you who sit above the cherubim, shine out.
PSA.80.2	Before Ephraim and Benjamin and Manasseh, stir up your might!
PSA.80.2	Come to save us!
PSA.80.3	Turn us again, God.
PSA.80.3	Cause your face to shine,
PSA.80.3	and we will be saved.
PSA.80.4	 God of Armies,
PSA.80.4	how long will you be angry against the prayer of your people?
PSA.80.5	You have fed them with the bread of tears,
PSA.80.5	and given them tears to drink in large measure.
PSA.80.6	You make us a source of contention to our neighbours.
PSA.80.6	Our enemies laugh amongst themselves.
PSA.80.7	Turn us again, God of Armies.
PSA.80.7	Cause your face to shine,
PSA.80.7	and we will be saved.
PSA.80.8	You brought a vine out of Egypt.
PSA.80.8	You drove out the nations, and planted it.
PSA.80.9	You cleared the ground for it.
PSA.80.9	It took deep root, and filled the land.
PSA.80.10	The mountains were covered with its shadow.
PSA.80.10	Its boughs were like God’s cedars.
PSA.80.11	It sent out its branches to the sea,
PSA.80.11	its shoots to the River.
PSA.80.12	Why have you broken down its walls,
PSA.80.12	so that all those who pass by the way pluck it?
PSA.80.13	The boar out of the wood ravages it.
PSA.80.13	The wild animals of the field feed on it.
PSA.80.14	Turn again, we beg you, God of Armies.
PSA.80.14	Look down from heaven, and see, and visit this vine,
PSA.80.15	the stock which your right hand planted,
PSA.80.15	the branch that you made strong for yourself.
PSA.80.16	It’s burnt with fire.
PSA.80.16	It’s cut down.
PSA.80.16	They perish at your rebuke.
PSA.80.17	Let your hand be on the man of your right hand,
PSA.80.17	on the son of man whom you made strong for yourself.
PSA.80.18	So we will not turn away from you.
PSA.80.18	Revive us, and we will call on your name.
PSA.80.19	Turn us again, 
PSA.80.19	Cause your face to shine, and we will be saved.
PSA.81.1	Sing aloud to God, our strength!
PSA.81.1	Make a joyful shout to the God of Jacob!
PSA.81.2	Raise a song, and bring here the tambourine,
PSA.81.2	the pleasant lyre with the harp.
PSA.81.3	Blow the trumpet at the New Moon,
PSA.81.3	at the full moon, on our feast day.
PSA.81.4	For it is a statute for Israel,
PSA.81.4	an ordinance of the God of Jacob.
PSA.81.5	He appointed it in Joseph for a covenant,
PSA.81.5	when he went out over the land of Egypt,
PSA.81.5	I heard a language that I didn’t know.
PSA.81.6	“I removed his shoulder from the burden.
PSA.81.6	His hands were freed from the basket.
PSA.81.7	You called in trouble, and I delivered you.
PSA.81.7	I answered you in the secret place of thunder.
PSA.81.7	I tested you at the waters of Meribah.” 
PSA.81.8	“Hear, my people, and I will testify to you,
PSA.81.8	Israel, if you would listen to me!
PSA.81.9	There shall be no strange god in you,
PSA.81.9	neither shall you worship any foreign god.
PSA.81.10	I am the 
PSA.81.10	who brought you up out of the land of Egypt.
PSA.81.10	Open your mouth wide, and I will fill it.
PSA.81.11	But my people didn’t listen to my voice.
PSA.81.11	Israel desired none of me.
PSA.81.12	So I let them go after the stubbornness of their hearts,
PSA.81.12	that they might walk in their own counsels.
PSA.81.13	Oh that my people would listen to me,
PSA.81.13	that Israel would walk in my ways!
PSA.81.14	I would soon subdue their enemies,
PSA.81.14	and turn my hand against their adversaries.
PSA.81.15	The haters of the 
PSA.81.15	and their punishment would last forever.
PSA.81.16	But he would have also fed them with the finest of the wheat.
PSA.81.16	I will satisfy you with honey out of the rock.”
PSA.82.1	God presides in the great assembly.
PSA.82.1	He judges amongst the gods.
PSA.82.2	“How long will you judge unjustly,
PSA.82.2	and show partiality to the wicked?” 
PSA.82.3	“Defend the weak, the poor, and the fatherless.
PSA.82.3	Maintain the rights of the poor and oppressed.
PSA.82.4	Rescue the weak and needy.
PSA.82.4	Deliver them out of the hand of the wicked.”
PSA.82.5	They don’t know, neither do they understand.
PSA.82.5	They walk back and forth in darkness.
PSA.82.5	All the foundations of the earth are shaken.
PSA.82.6	I said, “You are gods,
PSA.82.6	all of you are sons of the Most High.
PSA.82.7	Nevertheless you shall die like men,
PSA.82.7	and fall like one of the rulers.”
PSA.82.8	Arise, God, judge the earth,
PSA.82.8	for you inherit all of the nations.
PSA.83.1	God, don’t keep silent.
PSA.83.1	Don’t keep silent,
PSA.83.1	and don’t be still, God.
PSA.83.2	For, behold, your enemies are stirred up.
PSA.83.2	Those who hate you have lifted up their heads.
PSA.83.3	They conspire with cunning against your people.
PSA.83.3	They plot against your cherished ones.
PSA.83.4	“Come,” they say, “let’s destroy them as a nation,
PSA.83.4	that the name of Israel may be remembered no more.”
PSA.83.5	For they have conspired together with one mind.
PSA.83.5	They form an alliance against you.
PSA.83.6	The tents of Edom and the Ishmaelites;
PSA.83.6	Moab, and the Hagrites;
PSA.83.7	Gebal, Ammon, and Amalek;
PSA.83.7	Philistia with the inhabitants of Tyre;
PSA.83.8	Assyria also is joined with them.
PSA.83.8	They have helped the children of Lot. 
PSA.83.9	Do to them as you did to Midian,
PSA.83.9	as to Sisera, as to Jabin, at the river Kishon;
PSA.83.10	who perished at Endor,
PSA.83.10	who became as dung for the earth.
PSA.83.11	Make their nobles like Oreb and Zeeb,
PSA.83.11	yes, all their princes like Zebah and Zalmunna,
PSA.83.12	who said, “Let’s take possession of God’s pasture lands.”
PSA.83.13	My God, make them like tumbleweed,
PSA.83.13	like chaff before the wind.
PSA.83.14	As the fire that burns the forest,
PSA.83.14	as the flame that sets the mountains on fire,
PSA.83.15	so pursue them with your tempest,
PSA.83.15	and terrify them with your storm.
PSA.83.16	Fill their faces with confusion,
PSA.83.16	that they may seek your name, 
PSA.83.17	Let them be disappointed and dismayed forever.
PSA.83.17	Yes, let them be confounded and perish;
PSA.83.18	that they may know that you alone, whose name is the 
PSA.83.18	are the Most High over all the earth.
PSA.84.1	How lovely are your dwellings,
PSA.84.1	 of Armies!
PSA.84.2	My soul longs, and even faints for the courts of the 
PSA.84.2	My heart and my flesh cry out for the living God.
PSA.84.3	Yes, the sparrow has found a home,
PSA.84.3	and the swallow a nest for herself, where she may have her young,
PSA.84.3	near your altars, 
PSA.84.4	Blessed are those who dwell in your house.
PSA.84.4	They are always praising you. 
PSA.84.5	Blessed are those whose strength is in you,
PSA.84.5	who have set their hearts on a pilgrimage.
PSA.84.6	Passing through the valley of Weeping, they make it a place of springs.
PSA.84.6	Yes, the autumn rain covers it with blessings.
PSA.84.7	They go from strength to strength.
PSA.84.7	Every one of them appears before God in Zion.
PSA.84.8	, God of Armies, hear my prayer.
PSA.84.8	Listen, God of Jacob. 
PSA.84.9	Behold, God our shield,
PSA.84.9	look at the face of your anointed.
PSA.84.10	For a day in your courts is better than a thousand.
PSA.84.10	I would rather be a doorkeeper in the house of my God,
PSA.84.10	than to dwell in the tents of wickedness.
PSA.84.11	For the 
PSA.84.11	The 
PSA.84.11	He withholds no good thing from those who walk blamelessly.
PSA.84.12	 of Armies,
PSA.84.12	blessed is the man who trusts in you.
PSA.85.1	, you have been favourable to your land.
PSA.85.1	You have restored the fortunes of Jacob.
PSA.85.2	You have forgiven the iniquity of your people.
PSA.85.2	You have covered all their sin. 
PSA.85.3	You have taken away all your wrath.
PSA.85.3	You have turned from the fierceness of your anger.
PSA.85.4	Turn us, God of our salvation,
PSA.85.4	and cause your indignation towards us to cease.
PSA.85.5	Will you be angry with us forever?
PSA.85.5	Will you draw out your anger to all generations?
PSA.85.6	Won’t you revive us again,
PSA.85.6	that your people may rejoice in you?
PSA.85.7	Show us your loving kindness, 
PSA.85.7	Grant us your salvation.
PSA.85.8	I will hear what God, the 
PSA.85.8	for he will speak peace to his people, his saints;
PSA.85.8	but let them not turn again to folly.
PSA.85.9	Surely his salvation is near those who fear him,
PSA.85.9	that glory may dwell in our land.
PSA.85.10	Mercy and truth meet together.
PSA.85.10	Righteousness and peace have kissed each other.
PSA.85.11	Truth springs out of the earth.
PSA.85.11	Righteousness has looked down from heaven.
PSA.85.12	Yes, the 
PSA.85.12	Our land will yield its increase.
PSA.85.13	Righteousness goes before him,
PSA.85.13	And prepares the way for his steps.
PSA.86.1	Hear, 
PSA.86.1	for I am poor and needy.
PSA.86.2	Preserve my soul, for I am godly.
PSA.86.2	You, my God, save your servant who trusts in you.
PSA.86.3	Be merciful to me, Lord,
PSA.86.3	for I call to you all day long.
PSA.86.4	Bring joy to the soul of your servant,
PSA.86.4	for to you, Lord, do I lift up my soul.
PSA.86.5	For you, Lord, are good, and ready to forgive,
PSA.86.5	abundant in loving kindness to all those who call on you.
PSA.86.6	Hear, 
PSA.86.6	Listen to the voice of my petitions.
PSA.86.7	In the day of my trouble I will call on you,
PSA.86.7	for you will answer me.
PSA.86.8	There is no one like you amongst the gods, Lord,
PSA.86.8	nor any deeds like your deeds.
PSA.86.9	All nations you have made will come and worship before you, Lord.
PSA.86.9	They shall glorify your name.
PSA.86.10	For you are great, and do wondrous things.
PSA.86.10	You are God alone.
PSA.86.11	Teach me your way, 
PSA.86.11	I will walk in your truth.
PSA.86.11	Make my heart undivided to fear your name.
PSA.86.12	I will praise you, Lord my God, with my whole heart.
PSA.86.12	I will glorify your name forever more.
PSA.86.13	For your loving kindness is great towards me.
PSA.86.13	You have delivered my soul from the lowest Sheol.
PSA.86.14	God, the proud have risen up against me.
PSA.86.14	A company of violent men have sought after my soul,
PSA.86.14	and they don’t hold regard for you before them.
PSA.86.15	But you, Lord, are a merciful and gracious God,
PSA.86.15	slow to anger, and abundant in loving kindness and truth.
PSA.86.16	Turn to me, and have mercy on me!
PSA.86.16	Give your strength to your servant.
PSA.86.16	Save the son of your servant.
PSA.86.17	Show me a sign of your goodness,
PSA.86.17	that those who hate me may see it, and be shamed,
PSA.86.17	because you, 
PSA.87.1	His foundation is in the holy mountains.
PSA.87.2	The 
PSA.87.3	Glorious things are spoken about you, city of God. 
PSA.87.4	I will record Rahab
PSA.87.4	Behold, Philistia, Tyre, and also Ethiopia:
PSA.87.4	“This one was born there.”
PSA.87.5	Yes, of Zion it will be said, “This one and that one was born in her;”
PSA.87.5	the Most High himself will establish her.
PSA.87.6	The 
PSA.87.6	“This one was born there.” 
PSA.87.7	Those who sing as well as those who dance say,
PSA.87.7	“All my springs are in you.”
PSA.88.1	, the God of my salvation,
PSA.88.1	I have cried day and night before you.
PSA.88.2	Let my prayer enter into your presence.
PSA.88.2	Turn your ear to my cry.
PSA.88.3	For my soul is full of troubles.
PSA.88.3	My life draws near to Sheol.
PSA.88.4	I am counted amongst those who go down into the pit.
PSA.88.4	I am like a man who has no help,
PSA.88.5	set apart amongst the dead,
PSA.88.5	like the slain who lie in the grave,
PSA.88.5	whom you remember no more.
PSA.88.5	They are cut off from your hand.
PSA.88.6	You have laid me in the lowest pit,
PSA.88.6	in the darkest depths.
PSA.88.7	Your wrath lies heavily on me.
PSA.88.7	You have afflicted me with all your waves. 
PSA.88.8	You have taken my friends from me.
PSA.88.8	You have made me an abomination to them.
PSA.88.8	I am confined, and I can’t escape.
PSA.88.9	My eyes are dim from grief.
PSA.88.9	I have called on you daily, 
PSA.88.9	I have spread out my hands to you.
PSA.88.10	Do you show wonders to the dead?
PSA.88.10	Do the departed spirits rise up and praise you? 
PSA.88.11	Is your loving kindness declared in the grave?
PSA.88.11	Or your faithfulness in Destruction?
PSA.88.12	Are your wonders made known in the dark?
PSA.88.12	Or your righteousness in the land of forgetfulness?
PSA.88.13	But to you, 
PSA.88.13	In the morning, my prayer comes before you.
PSA.88.14	, why do you reject my soul?
PSA.88.14	Why do you hide your face from me?
PSA.88.15	I am afflicted and ready to die from my youth up.
PSA.88.15	While I suffer your terrors, I am distracted.
PSA.88.16	Your fierce wrath has gone over me.
PSA.88.16	Your terrors have cut me off.
PSA.88.17	They came around me like water all day long.
PSA.88.17	They completely engulfed me.
PSA.88.18	You have put lover and friend far from me,
PSA.88.18	and my friends into darkness.
PSA.89.1	I will sing of the loving kindness of the 
PSA.89.1	With my mouth, I will make known your faithfulness to all generations.
PSA.89.2	I indeed declare, “Love stands firm forever.
PSA.89.2	You established the heavens.
PSA.89.2	Your faithfulness is in them.”
PSA.89.3	“I have made a covenant with my chosen one,
PSA.89.3	I have sworn to David, my servant,
PSA.89.4	‘I will establish your offspring forever,
PSA.89.4	and build up your throne to all generations.’” 
PSA.89.5	The heavens will praise your wonders, 
PSA.89.5	your faithfulness also in the assembly of the holy ones.
PSA.89.6	For who in the skies can be compared to the 
