LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
MAT.2.6	for out of you will come a ruler
MAT.2.6	who will shepherd my people Israel.’
MAT.2.7	Then Herod called the Magi secretly and found out from them the exact time the star had appeared. 
MAT.2.8	He sent them to Bethlehem and said, “Go and search carefully for the child. As soon as you find him, report to me, so that I too may go and worship him.”
MAT.2.9	After they had heard the king, they went on their way, and the star they had seen when it rose went ahead of them until it stopped over the place where the child was. 
MAT.2.10	When they saw the star, they were overjoyed. 
MAT.2.11	On coming to the house, they saw the child with his mother Mary, and they bowed down and worshiped him. Then they opened their treasures and presented him with gifts of gold, frankincense and myrrh. 
MAT.2.12	And having been warned in a dream not to go back to Herod, they returned to their country by another route.
MAT.2.13	When they had gone, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said, “take the child and his mother and escape to Egypt. Stay there until I tell you, for Herod is going to search for the child to kill him.”
MAT.2.14	So he got up, took the child and his mother during the night and left for Egypt, 
MAT.2.15	where he stayed until the death of Herod. And so was fulfilled what the Lord had said through the prophet: “Out of Egypt I called my son.”
MAT.2.16	When Herod realized that he had been outwitted by the Magi, he was furious, and he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under, in accordance with the time he had learned from the Magi. 
MAT.2.17	Then what was said through the prophet Jeremiah was fulfilled:
MAT.2.18	“A voice is heard in Ramah,
MAT.2.18	weeping and great mourning,
MAT.2.18	Rachel weeping for her children
MAT.2.18	and refusing to be comforted,
MAT.2.18	because they are no more.”
MAT.2.19	After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt 
MAT.2.20	and said, “Get up, take the child and his mother and go to the land of Israel, for those who were trying to take the childʼs life are dead.”
MAT.2.21	So he got up, took the child and his mother and went to the land of Israel. 
MAT.2.22	But when he heard that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there. Having been warned in a dream, he withdrew to the district of Galilee, 
MAT.2.23	and he went and lived in a town called Nazareth. So was fulfilled what was said through the prophets, that he would be called a Nazarene.
MAT.3.1	In those days John the Baptist came, preaching in the wilderness of Judea 
MAT.3.2	and saying, “Repent, for the kingdom of heaven has come near.” 
MAT.3.3	This is he who was spoken of through the prophet Isaiah:
MAT.3.3	“A voice of one calling in the wilderness,
MAT.3.3	‘Prepare the way for the Lord,
MAT.3.3	make straight paths for him.’ ”
MAT.3.4	Johnʼs clothes were made of camelʼs hair, and he had a leather belt around his waist. His food was locusts and wild honey. 
MAT.3.5	People went out to him from Jerusalem and all Judea and the whole region of the Jordan. 
MAT.3.6	Confessing their sins, they were baptized by him in the Jordan River.
MAT.3.7	But when he saw many of the Pharisees and Sadducees coming to where he was baptizing, he said to them: “You brood of vipers! Who warned you to flee from the coming wrath? 
MAT.3.8	Produce fruit in keeping with repentance. 
MAT.3.9	And do not think you can say to yourselves, ‘We have Abraham as our father.’ I tell you that out of these stones God can raise up children for Abraham. 
MAT.3.10	The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire.
MAT.3.11	“I baptize you with
MAT.3.12	His winnowing fork is in his hand, and he will clear his threshing floor, gathering his wheat into the barn and burning up the chaff with unquenchable fire.”
MAT.3.13	Then Jesus came from Galilee to the Jordan to be baptized by John. 
MAT.3.14	But John tried to deter him, saying, “I need to be baptized by you, and do you come to me?”
MAT.3.15	Jesus replied, 
MAT.3.16	As soon as Jesus was baptized, he went up out of the water. At that moment heaven was opened, and he saw the Spirit of God descending like a dove and alighting on him. 
MAT.3.17	And a voice from heaven said, “This is my Son, whom I love; with him I am well pleased.”
MAT.4.1	Then Jesus was led by the Spirit into the wilderness to be tempted
MAT.4.2	After fasting forty days and forty nights, he was hungry. 
MAT.4.3	The tempter came to him and said, “If you are the Son of God, tell these stones to become bread.”
MAT.4.4	Jesus answered, 
MAT.4.5	Then the devil took him to the holy city and had him stand on the highest point of the temple. 
MAT.4.6	“If you are the Son of God,” he said, “throw yourself down. For it is written:
MAT.4.6	“ ‘He will command his angels concerning you,
MAT.4.6	and they will lift you up in their hands,
MAT.4.6	so that you will not strike your foot against a stone.’
MAT.4.7	Jesus answered him, 
MAT.4.8	Again, the devil took him to a very high mountain and showed him all the kingdoms of the world and their splendor. 
MAT.4.9	“All this I will give you,” he said, “if you will bow down and worship me.”
MAT.4.10	Jesus said to him, 
MAT.4.11	Then the devil left him, and angels came and attended him.
MAT.4.12	When Jesus heard that John had been put in prison, he withdrew to Galilee. 
MAT.4.13	Leaving Nazareth, he went and lived in Capernaum, which was by the lake in the area of Zebulun and Naphtali —  
MAT.4.14	to fulfill what was said through the prophet Isaiah:
MAT.4.15	“Land of Zebulun and land of Naphtali,
MAT.4.15	the Way of the Sea, beyond the Jordan,
MAT.4.15	Galilee of the Gentiles —  
MAT.4.16	the people living in darkness
MAT.4.16	have seen a great light;
MAT.4.16	on those living in the land of the shadow of death
MAT.4.16	a light has dawned.”
MAT.4.17	From that time on Jesus began to preach, 
MAT.4.18	As Jesus was walking beside the Sea of Galilee, he saw two brothers, Simon called Peter and his brother Andrew. They were casting a net into the lake, for they were fishermen. 
MAT.4.19	 Jesus said, 
MAT.4.20	At once they left their nets and followed him.
MAT.4.21	Going on from there, he saw two other brothers, James son of Zebedee and his brother John. They were in a boat with their father Zebedee, preparing their nets. Jesus called them, 
MAT.4.22	and immediately they left the boat and their father and followed him.
MAT.4.23	Jesus went throughout Galilee, teaching in their synagogues, proclaiming the good news of the kingdom, and healing every disease and sickness among the people. 
MAT.4.24	News about him spread all over Syria, and people brought to him all who were ill with various diseases, those suffering severe pain, the demon-possessed, those having seizures, and the paralyzed; and he healed them. 
MAT.4.25	Large crowds from Galilee, the Decapolis,
MAT.5.1	Now when Jesus saw the crowds, he went up on a mountainside and sat down. His disciples came to him, 
MAT.5.2	and he began to teach them.
MAT.5.2	He said:
MAT.7.28	When Jesus had finished saying these things, the crowds were amazed at his teaching, 
MAT.7.29	because he taught as one who had authority, and not as their teachers of the law.
MAT.8.1	When Jesus came down from the mountainside, large crowds followed him. 
MAT.8.2	A man with leprosy
MAT.8.3	Jesus reached out his hand and touched the man. 
MAT.8.4	Then Jesus said to him, 
MAT.8.5	When Jesus had entered Capernaum, a centurion came to him, asking for help. 
MAT.8.6	“Lord,” he said, “my servant lies at home paralyzed, suffering terribly.”
MAT.8.7	Jesus said to him, 
MAT.8.8	The centurion replied, “Lord, I do not deserve to have you come under my roof. But just say the word, and my servant will be healed. 
MAT.8.9	For I myself am a man under authority, with soldiers under me. I tell this one, ‘Go,’ and he goes; and that one, ‘Come,’ and he comes. I say to my servant, ‘Do this,’ and he does it.”
MAT.8.10	When Jesus heard this, he was amazed and said to those following him, 
