GEN.1.1	 In the beginning God created heaven and earth.
MAT.12.45	 Then it goes and brings along seven other spirits more evil than itself. They enter and take up permanent residence there. In the end the condition of that person is worse than it was before. That is what will happen to the evil people of this day.”
MAT.12.46	 While Jesus was still talking to the crowds, his mother and brothers were standing outside. They wanted to talk to him. 
MAT.12.47	 Someone told him, “Your mother and your brothers are standing outside. They want to talk to you.”
MAT.12.48	 He replied to the man speaking to him, “Who is my mother, and who are my brothers?” 
MAT.12.49	 Pointing with his hand at his disciples, he said, “Look, here are my mother and my brothers. 
MAT.12.50	 Whoever does what my Father in heaven wants is my brother and sister and mother.”
MAT.13.1	 That same day Jesus left the house and sat down by the Sea of Galilee. 
MAT.13.2	 The crowd that gathered around him was so large that he got into a boat. He sat in the boat while the entire crowd stood on the shore. 
MAT.13.3	 Then he used stories as illustrations to tell them many things.
MAT.13.3	He said, “Listen! A farmer went to plant seed. 
MAT.13.4	 Some seeds were planted along the road, and birds came and devoured them. 
MAT.13.5	 Other seeds were planted on rocky ground, where there was little soil. The plants sprouted quickly because the soil wasn’t deep. 
MAT.13.6	 But when the sun came up, they were scorched. They withered because their roots weren’t deep enough. 
MAT.13.7	 Other seeds were planted among thornbushes, and the thornbushes grew up and choked them. 
MAT.13.8	 But other seeds were planted on good ground and produced grain. They produced one hundred, sixty, or thirty times as much as was planted. 
MAT.13.9	 Let the person who has ears listen!”
MAT.13.10	 The disciples asked him, “Why do you use stories as illustrations when you speak to people?”
MAT.13.11	 Jesus answered, “Knowledge about the mysteries of the kingdom of heaven has been given to you. But it has not been given to the crowd. 
MAT.13.12	 Those who understand ⌊these mysteries⌋ will be given ⌊more knowledge⌋, and they will excel ⌊in understanding them⌋. However, some people don’t understand ⌊these mysteries⌋. Even what they understand will be taken away from them. 
MAT.13.13	 This is why I speak to them this way. They see, but they’re blind. They hear, but they don’t listen. They don’t even try to understand. 
MAT.13.14	 So they make Isaiah’s prophecy come true:
MAT.13.14	‘You will hear clearly but never understand.
MAT.13.14	You will see clearly but never comprehend.
MAT.13.15	 These people have become close-minded
MAT.13.15	and hard of hearing.
MAT.13.15	They have shut their eyes
MAT.13.15	so that their eyes never see.
MAT.13.15	Their ears never hear.
MAT.13.15	Their minds never understand.
MAT.13.15	And they never return to me for healing!’
MAT.13.16	 “Blessed are your eyes because they see and your ears because they hear. 
MAT.13.17	 I can guarantee this truth: Many prophets and many of God’s people longed to see what you see but didn’t see it, to hear what you hear but didn’t hear it.
MAT.13.18	 “Listen to what the story about the farmer means. 
MAT.13.19	 Someone hears the word about the kingdom but doesn’t understand it. The evil one comes at once and snatches away what was planted in him. This is what the seed planted along the road illustrates. 
MAT.13.20	 The seed planted on rocky ground ⌊is the person who⌋ hears the word and accepts it at once with joy. 
MAT.13.21	 Since he doesn’t have any root, he lasts only a little while. When suffering or persecution comes along because of the word, he immediately falls ⌊from faith⌋. 
MAT.13.22	 The seed planted among thornbushes ⌊is another person who⌋ hears the word. But the worries of life and the deceitful pleasures of riches choke the word so that it can’t produce anything. 
MAT.13.23	 But the seed planted on good ground ⌊is the person who⌋ hears and understands the word. This type produces crops. They produce one hundred, sixty, or thirty times as much as was planted.”
MAT.13.24	 Jesus used another illustration. He said, “The kingdom of heaven is like a man who planted good seed in his field. 
MAT.13.25	 But while people were asleep, his enemy planted weeds in the wheat field and went away. 
MAT.13.26	 When the wheat came up and formed kernels, weeds appeared.
MAT.13.27	 “The owner’s workers came to him and asked, ‘Sir, didn’t you plant good seed in your field? Where did the weeds come from?’
MAT.13.28	 “He told them, ‘An enemy did this.’
MAT.13.28	“His workers asked him, ‘Do you want us to pull out the weeds?’
MAT.13.29	 “He replied, ‘No. If you pull out the weeds, you may pull out the wheat with them. 
MAT.13.30	 Let both grow together until the harvest. When the grain is cut, I will tell the workers to gather the weeds first and tie them in bundles to be burned. But I’ll have them bring the wheat into my barn.’ ”
MAT.13.31	 Jesus used another illustration. He said, “The kingdom of heaven is like a mustard seed that someone planted in a field. 
MAT.13.32	 It’s one of the smallest seeds. However, when it has grown, it is taller than the garden plants. It becomes a tree that is large enough for birds to nest in its branches.”
MAT.13.33	 He used another illustration. “The kingdom of heaven is like yeast that a woman mixed into a large amount of flour until the yeast worked its way through all the dough.”
MAT.13.34	 Jesus used illustrations to tell the crowds all these things. He did not tell them anything without illustrating it with a story. 
MAT.13.35	 So what the prophet had said came true:
MAT.13.35	“I will open my mouth to illustrate points.
MAT.13.35	I will tell what has been hidden since the world was made.”
MAT.13.36	 When Jesus had sent the people away, he went into the house. His disciples came to him and said, “Explain what the illustration of the weeds in the field means.”
MAT.13.37	 He answered, “The one who plants the good seeds is the Son of Man. 
MAT.13.38	 The field is the world. The good seeds are those who belong to the kingdom. The weeds are those who belong to the evil one. 
MAT.13.39	 The enemy who planted them is the devil. The harvest is the end of the world. The workers are angels. 
MAT.13.40	 Just as weeds are gathered and burned, so it will be at the end of time. 
MAT.13.41	 The Son of Man will send his angels. They will gather everything in his kingdom that causes people to sin and everyone who does evil. 
MAT.13.42	 The angels will throw them into a blazing furnace. People will cry and be in extreme pain there. 
MAT.13.43	 Then the people who have God’s approval will shine like the sun in their Father’s kingdom. Let the person who has ears listen!
MAT.13.44	 “The kingdom of heaven is like a treasure buried in a field. When a man discovered it, he buried it again. He was so delighted with it that he went away, sold everything he had, and bought that field.
MAT.13.45	 “Also, the kingdom of heaven is like a merchant who was searching for fine pearls. 
MAT.13.46	 When he found a valuable pearl, he went away, sold everything he had, and bought it.
MAT.13.47	 “Also, the kingdom of heaven is like a net that was thrown into the sea. It gathered all kinds of fish. 
MAT.13.48	 When it was full, they pulled it to the shore. Then they sat down, gathered the good fish into containers, and threw the bad ones away. 
MAT.13.49	 The same thing will happen at the end of time. The angels will go out and separate the evil people from people who have God’s approval. 
MAT.13.50	 Then the angels will throw the evil people into a blazing furnace. They will cry and be in extreme pain there.
MAT.13.51	 “Have you understood all of this?”
MAT.13.51	“Yes,” they answered.
MAT.13.52	 So Jesus said to them, “That is why every student of the Scriptures who has become a disciple of the kingdom of heaven is like a home owner. He brings new and old things out of his treasure chest.”
MAT.13.53	 When Jesus had finished these illustrations, he left that place.
MAT.13.54	 Jesus went to his hometown and taught the people in the synagogue in a way that amazed them. People were asking, “Where did this man get this wisdom and the power to do these miracles? 
MAT.13.55	 Isn’t this the carpenter’s son? Isn’t his mother’s name Mary? Aren’t his brothers’ names James, Joseph, Simon, and Judas? 
MAT.13.56	 And aren’t all his sisters here with us? Where, then, did this man get all this?” 
MAT.13.57	 So they took offense at him.
MAT.13.57	But Jesus said to them, “The only place a prophet isn’t honored is in his hometown and in his own house.”
MAT.13.58	 He didn’t work many miracles there because of their lack of faith.
