GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
LUK.8.33	Then the demons came out of the man and entered the swine, and the herd rushed down the steep bank into the lake and were drowned.
LUK.8.34	When the herdsmen saw what had happened, they fled, and told it in the city and in the country. 
LUK.8.35	Then people went out to see what had happened, and they came to Jesus, and found the man from whom the demons had gone, sitting at the feet of Jesus, clothed and in his right mind; and they were afraid. 
LUK.8.36	And those who had seen it told them how he who had been possessed with demons was healed. 
LUK.8.37	Then all the people of the surrounding country of the Gerasenes
LUK.8.38	The man from whom the demons had gone begged that he might be with him; but he sent him away, saying, 
LUK.8.39	“Return to your home, and declare how much God has done for you.” And he went away, proclaiming throughout the whole city how much Jesus had done for him.
LUK.8.41	And there came a man named Jairus, who was a ruler of the synagogue; and falling at Jesus' feet he besought him to come to his house, 
LUK.8.42	for he had an only daughter, about twelve years of age, and she was dying.
LUK.8.42	As he went, the people pressed round him. 
LUK.8.43	And a woman who had a flow of blood for twelve years
LUK.8.44	came up behind him, and touched the fringe of his garment; and immediately her flow of blood ceased. 
LUK.8.45	 And Jesus said, “Who was it that touched me?” When all denied it, Peter
LUK.8.46	 But Jesus said, “Some one touched me; for I perceive that power has gone forth from me.” 
LUK.8.47	And when the woman saw that she was not hidden, she came trembling, and falling down before him declared in the presence of all the people why she had touched him, and how she had been immediately healed. 
LUK.8.48	 And he said to her, “Daughter, your faith has made you well; go in peace.”
LUK.8.49	While he was still speaking, a man from the ruler's house came and said, “Your daughter is dead; do not trouble the Teacher any more.” 
LUK.8.50	But Jesus on hearing this answered him, “Do not fear; only believe, and she shall be well.” 
LUK.8.51	And when he came to the house, he permitted no one to enter with him, except Peter and John and James, and the father and mother of the child. 
LUK.8.52	And all were weeping and bewailing her; but he said, “Do not weep; for she is not dead but sleeping.” 
LUK.8.53	And they laughed at him, knowing that she was dead. 
LUK.8.54	But taking her by the hand he called, saying, “Child, arise.” 
LUK.8.55	And her spirit returned, and she got up at once; and he directed that something should be given her to eat. 
LUK.8.56	 And her parents were amazed; but he charged them to tell no one what had happened.
LUK.9.2	and he sent them out to preach the kingdom of God and to heal. 
LUK.9.3	And he said to them, “Take nothing for your journey, no staff, nor bag, nor bread, nor money; and do not have two tunics. 
LUK.9.4	And whatever house you enter, stay there, and from there depart. 
LUK.9.5	 And wherever they do not receive you, when you leave that town shake off the dust from your feet as a testimony against them.” 
LUK.9.6	And they departed and went through the villages, preaching the gospel and healing everywhere.
LUK.9.8	by some that Elijah had appeared, and by others that one of the old prophets had risen. 
LUK.9.9	 Herod said, “John I beheaded; but who is this about whom I hear such things?” And he sought to see him.
LUK.9.11	 When the crowds learned it, they followed him; and he welcomed them and spoke to them of the kingdom of God, and cured those who had need of healing. 
LUK.9.12	Now the day began to wear away; and the twelve came and said to him, “Send the crowd away, to go into the villages and country round about, to lodge and get provisions; for we are here in a lonely place.” 
LUK.9.13	 But he said to them, “You give them something to eat.” They said, “We have no more than five loaves and two fish—unless we are to go and buy food for all these people.” 
LUK.9.14	For there were about five thousand men. And he said to his disciples, “Make them sit down in companies, about fifty each.” 
LUK.9.15	And they did so, and made them all sit down. 
LUK.9.16	 And taking the five loaves and the two fish he looked up to heaven, and blessed and broke them, and gave them to the disciples to set before the crowd. 
LUK.9.17	And all ate and were satisfied. And they took up what was left over, twelve baskets of broken pieces.
LUK.9.19	 And they answered, “John the Baptist; but others say, Elijah; and others, that one of the old prophets has risen.” 
LUK.9.20	And he said to them, “But who do you say that I am?” And Peter answered, “The Christ of God.” 
LUK.9.21	But he charged and commanded them to tell this to no one, 
LUK.9.22	 saying, “The Son of man must suffer many things, and be rejected by the elders and chief priests and scribes, and be killed, and on the third day be raised.”
LUK.9.24	 For whoever would save his life will lose it; and whoever loses his life for my sake, he will save it. 
LUK.9.25	For what does it profit a man if he gains the whole world and loses or forfeits himself? 
LUK.9.26	 For whoever is ashamed of me and of my words, of him will the Son of man be ashamed when he comes in his glory and the glory of the Father and of the holy angels. 
LUK.9.27	 But I tell you truly, there are some standing here who will not taste death before they see the kingdom of God.”
LUK.9.29	And as he was praying, the appearance of his countenance was altered, and his raiment became dazzling white. 
LUK.9.30	 And behold, two men talked with him, Moses and Elijah, 
LUK.9.31	who appeared in glory and spoke of his departure, which he was to accomplish at Jerusalem. 
LUK.9.32	 Now Peter and those who were with him were heavy with sleep, and when they wakened they saw his glory and the two men who stood with him. 
LUK.9.33	 And as the men were parting from him, Peter said to Jesus, “Master, it is well that we are here; let us make three booths, one for you and one for Moses and one for Elijah”—not knowing what he said. 
LUK.9.34	As he said this, a cloud came and overshadowed them; and they were afraid as they entered the cloud. 
LUK.9.35	 And a voice came out of the cloud, saying, “This is my Son, my Chosen;
LUK.9.36	 And when the voice had spoken, Jesus was found alone. And they kept silence and told no one in those days anything of what they had seen.
LUK.9.38	And behold, a man from the crowd cried, “Teacher, I beg you to look upon my son, for he is my only child; 
LUK.9.39	and behold, a spirit seizes him, and he suddenly cries out; it convulses him till he foams, and shatters him, and will hardly leave him. 
LUK.9.40	And I begged your disciples to cast it out, but they could not.” 
LUK.9.41	Jesus answered, “O faithless and perverse generation, how long am I to be with you and bear with you? Bring your son here.” 
LUK.9.42	While he was coming, the demon tore him and convulsed him. But Jesus rebuked the unclean spirit, and healed the boy, and gave him back to his father. 
LUK.9.43	 And all were astonished at the majesty of God.
LUK.9.43	But while they were all marveling at everything he did, he said to his disciples, 
LUK.9.44	“Let these words sink into your ears; for the Son of man is to be delivered into the hands of men.” 
LUK.9.45	But they did not understand this saying, and it was concealed from them, that they should not perceive it; and they were afraid to ask him about this saying.
LUK.9.47	But when Jesus perceived the thought of their hearts, he took a child and put him by his side, 
LUK.9.48	 and said to them, “Whoever receives this child in my name receives me, and whoever receives me receives him who sent me; for he who is least among you all is the one who is great.”
LUK.9.50	But Jesus said to him, “Do not forbid him; for he that is not against you is for you.”
LUK.9.52	 And he sent messengers ahead of him, who went and entered a village of the Samaritans, to make ready for him; 
LUK.9.53	but the people would not receive him, because his face was set toward Jerusalem. 
LUK.9.54	 And when his disciples James and John saw it, they said, “Lord, do you want us to bid fire come down from heaven and consume them?”
LUK.9.55	But he turned and rebuked them.
LUK.9.56	And they went on to another village.
LUK.9.58	And Jesus said to him, “Foxes have holes, and birds of the air have nests; but the Son of man has nowhere to lay his head.” 
LUK.9.59	To another he said, “Follow me.” But he said, “Lord, let me first go and bury my father.” 
LUK.9.60	But he said to him, “Leave the dead to bury their own dead; but as for you, go and proclaim the kingdom of God.” 
LUK.9.61	 Another said, “I will follow you, Lord; but let me first say farewell to those at my home.” 
