GEN.1.1	In the 
JOB.35.12	There they cry out, but He does not answer,
JOB.35.12	Because of the pride of evil men.
JOB.35.13	Surely God will not listen to empty 
JOB.35.13	Nor will the Almighty regard it.
JOB.35.14	Although you say you do not see Him,
JOB.35.14	 justice 
JOB.35.15	And now, because He has not 
JOB.35.15	Nor taken much notice of folly,
JOB.35.16	Therefore Job opens his mouth in vain;
JOB.35.16	He multiplies words without knowledge.”
JOB.36.1	Elihu also proceeded and said:
JOB.36.2	“Bear with me a little, and I will show you
JOB.36.2	That 
JOB.36.3	I will fetch my knowledge from afar;
JOB.36.3	I will ascribe righteousness to my Maker.
JOB.36.4	For truly my words 
JOB.36.4	One who is perfect in knowledge 
JOB.36.5	“Behold, God 
JOB.36.6	He does not preserve the life of the wicked,
JOB.36.6	But gives justice to the 
JOB.36.7	He does not withdraw His eyes from the righteous;
JOB.36.7	But 
JOB.36.7	For He has seated them forever,
JOB.36.7	And they are exalted.
JOB.36.8	And 
JOB.36.8	Held in the cords of affliction,
JOB.36.9	Then He tells them their work and their transgressions—
JOB.36.9	That they have acted defiantly.
JOB.36.10	He also opens their ear to instruction,
JOB.36.10	And commands that they turn from iniquity.
JOB.36.11	If they obey and serve 
JOB.36.11	They shall 
JOB.36.11	And their years in pleasures.
JOB.36.12	But if they do not obey,
JOB.36.12	They shall perish by the sword,
JOB.36.12	And they shall die without 
JOB.36.13	“But the hypocrites in heart 
JOB.36.13	They do not cry for help when He binds them.
JOB.36.14	They die in youth,
JOB.36.14	And their life 
JOB.36.15	He delivers the poor in their affliction,
JOB.36.15	And opens their ears in oppression.
JOB.36.16	“Indeed He would have brought you out of dire distress,
JOB.36.16	 a broad place where 
JOB.36.16	And 
JOB.36.17	But you are filled with the judgment due the 
JOB.36.17	Judgment and justice take hold 
JOB.36.18	Because 
JOB.36.18	For 
JOB.36.19	Will your riches,
JOB.36.19	Or all the mighty forces,
JOB.36.19	Keep you from distress?
JOB.36.20	Do not desire the night,
JOB.36.20	When people are cut off in their place.
JOB.36.21	Take heed, 
JOB.36.21	For 
JOB.36.22	“Behold, God is exalted by His power;
JOB.36.22	Who teaches like Him?
JOB.36.23	Who has assigned Him His way,
JOB.36.23	Or who has said, ‘You have done 
JOB.36.24	“Remember to 
JOB.36.24	Of which men have sung.
JOB.36.25	Everyone has seen it;
JOB.36.25	Man looks on 
JOB.36.26	“Behold, God 
JOB.36.26	Nor can the number of His years 
JOB.36.27	For He 
JOB.36.27	Which distill as rain from the mist,
JOB.36.28	Which the clouds drop down
JOB.36.28	 pour abundantly on man.
JOB.36.29	Indeed, can 
JOB.36.29	The thunder from His canopy?
JOB.36.30	Look, He 
JOB.36.30	And covers the depths of the sea.
JOB.36.31	For 
JOB.36.31	He 
JOB.36.32	He covers 
JOB.36.32	And commands it to strike.
JOB.36.33	His thunder declares it,
JOB.36.33	The cattle also, concerning the rising 
JOB.37.1	“At this also my heart trembles,
JOB.37.1	And leaps from its place.
JOB.37.2	Hear attentively the thunder of His voice,
JOB.37.2	And the rumbling 
JOB.37.3	He sends it forth under the whole heaven,
JOB.37.3	His lightning to the ends of the earth.
JOB.37.4	After it 
JOB.37.4	He thunders with His majestic voice,
JOB.37.4	And He does not restrain them when His voice is heard.
JOB.37.5	God thunders marvelously with His voice;
JOB.37.5	He does great things which we cannot comprehend.
JOB.37.6	For 
JOB.37.6	Likewise to the gentle rain and the heavy rain of His strength.
JOB.37.7	He seals the hand of every man,
JOB.37.7	That 
JOB.37.8	The beasts 
JOB.37.8	And remain in their lairs.
JOB.37.9	From the chamber 
JOB.37.9	And cold from the scattering winds 
JOB.37.10	By the breath of God ice is given,
JOB.37.10	And the broad waters are frozen.
JOB.37.11	Also with moisture He saturates the thick clouds;
JOB.37.11	He scatters His bright clouds.
JOB.37.12	And they swirl about, being turned by His guidance,
JOB.37.12	That they may 
JOB.37.12	On the face of the whole earth.
JOB.37.13	He causes it to come,
JOB.37.13	Whether for correction,
JOB.37.13	Or 
JOB.37.13	Or 
JOB.37.14	“Listen to this, O Job;
JOB.37.14	Stand still and 
JOB.37.15	Do you know when God dispatches them,
JOB.37.15	And causes the light of His cloud to shine?
JOB.37.16	Do you know how the clouds are balanced,
JOB.37.16	Those wondrous works of 
JOB.37.17	Why 
JOB.37.17	When He quiets the earth by the south 
JOB.37.18	With Him, have you 
JOB.37.18	Strong as a cast metal mirror?
JOB.37.19	“Teach us what we should say to Him,
JOB.37.19	 we can prepare nothing because of the darkness.
JOB.37.20	Should He be told that I 
JOB.37.20	If a man were to speak, surely he would be swallowed up.
JOB.37.21	Even now 
JOB.37.21	When the wind has passed and cleared them.
JOB.37.22	He comes from the north 
JOB.37.22	With God 
JOB.37.23	 judgment and abundant justice;
JOB.37.23	He does not oppress.
JOB.37.24	Therefore men 
JOB.37.24	He shows no partiality to any 
JOB.38.1	Then the 
JOB.38.2	“Who
JOB.38.2	By 
JOB.38.3	Now prepare yourself like a man;
JOB.38.3	I will question you, and you shall answer Me.
JOB.38.4	“Where
JOB.38.4	Tell 
JOB.38.5	Who determined its measurements?
JOB.38.5	Surely you know!
JOB.38.5	Or who stretched the line upon it?
JOB.38.6	To what were its foundations fastened?
JOB.38.6	Or who laid its cornerstone,
JOB.38.7	When the morning stars sang together,
JOB.38.7	And all 
JOB.38.8	“Or
JOB.38.8	When it burst forth 
JOB.38.9	When I made the clouds its garment,
JOB.38.9	And thick darkness its swaddling band;
JOB.38.10	When 
JOB.38.10	And set bars and doors;
JOB.38.11	When I said,
JOB.38.11	‘This far you may come, but no farther,
JOB.38.11	And here your proud waves 
JOB.38.12	“Have you 
JOB.38.12	 caused the dawn to know its place,
JOB.38.13	That it might take hold of the ends of the earth,
JOB.38.13	And 
JOB.38.14	It takes on form like clay 
JOB.38.14	And stands out like a garment.
JOB.38.15	From the wicked their 
JOB.38.15	And 
JOB.38.16	“Have you 
JOB.38.16	Or have you walked in search of the depths?
JOB.38.17	Have 
JOB.38.17	Or have you seen the doors of the shadow of death?
JOB.38.18	Have you comprehended the breadth of the earth?
JOB.38.18	Tell 
JOB.38.19	“Where 
JOB.38.19	And darkness, where 
JOB.38.20	That you may take it to its territory,
JOB.38.20	That you may know the paths 
JOB.38.21	Do you know 
JOB.38.21	Or 
JOB.38.22	“Have you entered 
JOB.38.22	Or have you seen the treasury of hail,
JOB.38.23	Which I have reserved for the time of trouble,
JOB.38.23	For the day of battle and war?
JOB.38.24	By what way is light diffused,
JOB.38.24	 the east wind scattered over the earth?
JOB.38.25	“Who 
JOB.38.25	Or a path for the thunderbolt,
JOB.38.26	To cause it to rain on a land 
JOB.38.26	A wilderness in which 
JOB.38.27	To satisfy the desolate waste,
JOB.38.27	And cause to spring forth the growth of tender grass?
JOB.38.28	Has the rain a father?
JOB.38.28	Or who has begotten the drops of dew?
JOB.38.29	From whose womb comes the ice?
JOB.38.29	And the 
JOB.38.30	The waters harden like stone,
JOB.38.30	And the surface of the deep is 
JOB.38.31	“Can you bind the cluster of the 
JOB.38.31	Or loose the belt of Orion?
JOB.38.32	Can you bring out Mazzaroth in its season?
JOB.38.32	Or can you guide the Great Bear with its cubs?
JOB.38.33	Do you know 
JOB.38.33	Can you set their dominion over the earth?
JOB.38.34	“Can you lift up your voice to the clouds,
JOB.38.34	That an abundance of water may cover you?
JOB.38.35	Can you send out lightnings, that they may go,
JOB.38.35	And say to you, ‘Here we 
JOB.38.36	Who has put wisdom in the mind?
JOB.38.36	Or who has given understanding to the heart?
JOB.38.37	Who can number the clouds by wisdom?
JOB.38.37	Or who can pour out the bottles of heaven,
JOB.38.38	When the dust hardens in clumps,
JOB.38.38	And the clods cling together?
JOB.38.39	“Can
JOB.38.39	Or satisfy the appetite of the young lions,
JOB.38.40	When they crouch in 
JOB.38.40	 lurk in their lairs to lie in wait?
JOB.38.41	Who provides food for the raven,
JOB.38.41	When its young ones cry to God,
JOB.38.41	And wander about for lack of food?
JOB.39.1	“Do you know the time when the wild 
JOB.39.1	 can you mark when 
JOB.39.2	Can you number the months 
JOB.39.2	Or do you know the time when they bear young?
JOB.39.3	They bow down,
JOB.39.3	They bring forth their young,
JOB.39.3	They deliver their offspring.
JOB.39.4	Their young ones are healthy,
JOB.39.4	They grow strong with grain;
JOB.39.4	They depart and do not return to them.
JOB.39.5	“Who set the wild donkey free?
JOB.39.5	Who loosed the bonds of the onager,
JOB.39.6	Whose home I have made the wilderness,
JOB.39.6	And the barren land his dwelling?
JOB.39.7	He scorns the tumult of the city;
JOB.39.7	He does not heed the shouts of the driver.
JOB.39.8	The range of the mountains 
JOB.39.8	And he searches after 
JOB.39.9	“Will the 
JOB.39.9	Will he bed by your manger?
JOB.39.10	Can you bind the wild ox in the furrow with ropes?
JOB.39.10	Or will he plow the valleys behind you?
JOB.39.11	Will you trust him because his strength 
JOB.39.11	Or will you leave your labor to him?
JOB.39.12	Will you trust him to bring home your grain,
JOB.39.12	And gather it to your threshing floor?
JOB.39.13	“The wings of the ostrich wave proudly,
JOB.39.13	But are her wings and pinions 
JOB.39.14	For she leaves her eggs on the ground,
JOB.39.14	And warms them in the dust;
JOB.39.15	She forgets that a foot may crush them,
JOB.39.15	Or that a wild beast may break them.
JOB.39.16	She 
JOB.39.16	Her labor is in vain, without concern,
JOB.39.17	Because God deprived her of wisdom,
JOB.39.17	And did not 
JOB.39.18	When she lifts herself on high,
JOB.39.18	She scorns the horse and its rider.
JOB.39.19	“Have you given the horse strength?
JOB.39.19	Have you clothed his neck with thunder?
JOB.39.20	Can you frighten him like a locust?
JOB.39.20	His majestic snorting strikes terror.
JOB.39.21	He paws in the valley, and rejoices in 
JOB.39.21	He gallops into the clash of arms.
JOB.39.22	He mocks at fear, and is not frightened;
JOB.39.22	Nor does he turn back from the sword.
JOB.39.23	The quiver rattles against him,
JOB.39.23	The glittering spear and javelin.
JOB.39.24	He devours the distance with fierceness and rage;
JOB.39.24	Nor does he come to a halt because the trumpet 
JOB.39.25	At 
JOB.39.25	He smells the battle from afar,
JOB.39.25	The thunder of captains and shouting.
JOB.39.26	“Does the hawk fly by your wisdom,
JOB.39.26	 spread its wings toward the south?
JOB.39.27	Does the 
JOB.39.27	And 
JOB.39.28	On the rock it dwells and resides,
JOB.39.28	On the crag of the rock and the stronghold.
JOB.39.29	From there it spies out the prey;
JOB.39.29	Its eyes observe from afar.
JOB.39.30	Its young ones suck up blood;
JOB.39.30	And 
JOB.40.1	Moreover the 
JOB.40.2	“Shall 
JOB.40.2	He who 
JOB.40.3	Then Job answered the 
JOB.40.4	“Behold,
JOB.40.4	What shall I answer You?
JOB.40.4	I lay my hand over my mouth.
JOB.40.5	Once I have spoken, but I will not answer;
JOB.40.5	Yes, twice, but I will proceed no further.”
JOB.40.6	Then the 
JOB.40.7	“Now
JOB.40.7	I will question you, and you shall answer Me:
JOB.40.8	“Would
JOB.40.8	Would you condemn Me that you may be justified?
JOB.40.9	Have you an arm like God?
JOB.40.9	Or can you thunder with 
JOB.40.10	Then adorn yourself 
JOB.40.10	And array yourself with glory and beauty.
JOB.40.11	Disperse the rage of your wrath;
JOB.40.11	Look on everyone 
JOB.40.12	Look on everyone 
JOB.40.12	Tread down the wicked in their place.
JOB.40.13	Hide them in the dust together,
JOB.40.13	Bind their faces in hidden 
JOB.40.14	Then I will also confess to you
JOB.40.14	That your own right hand can save you.
JOB.40.15	“Look now at the behemoth, which I made 
JOB.40.15	He eats grass like an ox.
JOB.40.16	See now, his strength 
JOB.40.16	And his power 
JOB.40.17	He moves his tail like a cedar;
JOB.40.17	The sinews of his thighs are tightly knit.
JOB.40.18	His bones 
JOB.40.18	His ribs like bars of iron.
JOB.40.19	He 
JOB.40.19	Only He who made him can bring near His sword.
JOB.40.20	Surely the mountains 
JOB.40.20	And all the beasts of the field play there.
JOB.40.21	He lies under the lotus trees,
JOB.40.21	In a covert of reeds and marsh.
JOB.40.22	The lotus trees cover him 
JOB.40.22	The willows by the brook surround him.
JOB.40.23	Indeed the river may rage,
JOB.40.23	 he is not disturbed;
JOB.40.23	He is confident, though the Jordan gushes into his mouth,
JOB.40.24	 he takes it in his eyes,
JOB.40.24	 one pierces 
JOB.41.1	“Can you draw out 
JOB.41.1	Or 
JOB.41.2	Can you 
JOB.41.2	Or pierce his jaw with a hook?
JOB.41.3	Will he make many supplications to you?
JOB.41.3	Will he speak softly to you?
JOB.41.4	Will he make a covenant with you?
JOB.41.4	Will you take him as a servant forever?
JOB.41.5	Will you play with him as 
JOB.41.5	Or will you leash him for your maidens?
JOB.41.6	Will 
JOB.41.6	Will they apportion him among the merchants?
JOB.41.7	Can you fill his skin with harpoons,
JOB.41.7	Or his head with fishing spears?
JOB.41.8	Lay your hand on him;
JOB.41.8	Remember the battle—
JOB.41.8	Never do it again!
JOB.41.9	Indeed, 
JOB.41.9	Shall 
JOB.41.10	No one 
JOB.41.10	Who then is able to stand against Me?
JOB.41.11	Who has preceded Me, that I should pay 
JOB.41.11	Everything under heaven is Mine.
JOB.41.12	“I will not conceal his limbs,
JOB.41.12	His mighty power, or his graceful proportions.
JOB.41.13	Who can remove his outer coat?
JOB.41.13	Who can approach 
JOB.41.14	Who can open the doors of his face,
JOB.41.14	 his terrible teeth all around?
JOB.41.15	 rows of scales are 
JOB.41.15	Shut up tightly 
JOB.41.16	One is so near another
JOB.41.16	That no air can come between them;
JOB.41.17	They are joined one to another,
JOB.41.17	They stick together and cannot be parted.
JOB.41.18	His sneezings flash forth light,
JOB.41.18	And his eyes 
JOB.41.19	Out of his mouth go burning lights;
JOB.41.19	Sparks of fire shoot out.
JOB.41.20	Smoke goes out of his nostrils,
JOB.41.20	As 
JOB.41.21	His breath kindles coals,
JOB.41.21	And a flame goes out of his mouth.
JOB.41.22	Strength dwells in his neck,
JOB.41.22	And sorrow dances before him.
JOB.41.23	The folds of his flesh are joined together;
JOB.41.23	They are firm on him and cannot be moved.
JOB.41.24	His heart is as hard as stone,
JOB.41.24	Even as hard as the lower 
JOB.41.25	When he raises himself up, the mighty are afraid;
JOB.41.25	Because of his crashings they are beside themselves.
JOB.41.26	 the sword reaches him, it cannot avail;
JOB.41.26	Nor does spear, dart, or javelin.
JOB.41.27	He regards iron as straw,
JOB.41.27	 bronze as rotten wood.
JOB.41.28	The arrow cannot make him flee;
JOB.41.28	Slingstones become like stubble to him.
JOB.41.29	Darts are regarded as straw;
JOB.41.29	He laughs at the threat of javelins.
JOB.41.30	His undersides 
JOB.41.30	He spreads pointed 
JOB.41.31	He makes the deep boil like a pot;
JOB.41.31	He makes the sea like a pot of ointment.
JOB.41.32	He leaves a shining wake behind him;
JOB.41.32	 would think the deep had white hair.
JOB.41.33	On earth there is nothing like him,
JOB.41.33	Which is made without fear.
JOB.41.34	He beholds every high 
JOB.41.34	He 
JOB.42.1	Then Job answered the 
JOB.42.2	“I know that You 
JOB.42.2	And that no purpose 
JOB.42.3	Therefore I have uttered what I did not understand,
JOB.42.3	Things too wonderful for me, which I did not know.
JOB.42.4	Listen, please, and let me speak;
JOB.42.5	“I have 
JOB.42.5	But now my eye sees You.
JOB.42.6	Therefore I 
JOB.42.6	And repent in dust and ashes.”
JOB.42.7	And so it was, after the 
JOB.42.8	Now therefore, take for yourselves 
JOB.42.9	So Eliphaz the Temanite and Bildad the Shuhite 
JOB.42.10	And the 
JOB.42.11	Then 
JOB.42.12	Now the 
JOB.42.13	He also had seven sons and three daughters. 
JOB.42.14	And he called the name of the first Jemimah, the name of the second Keziah, and the name of the third Keren-Happuch. 
JOB.42.15	In all the land were found no women 
JOB.42.16	After this Job 
