MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
ACT.24.14	Doch dies gebe ich zu: Nach einer Lehre, die sie als Ketzerei bezeichnen, diene ich dem Gott meiner Väter. Dabei glaube ich alles, was im Gesetz und in den Propheten geschrieben steht, 
ACT.24.15	und habe im Vertrauen auf Gott dieselbe Hoffnung wie auch sie: daß die Gerechten und die Ungerechten auferstehen werden. 
ACT.24.16	Darum bemühe ich mich auch, vor Gott und Menschen allezeit ein unbeflecktes Gewissen zu haben. 
ACT.24.17	Nach Ablauf mehrerer Jahre
ACT.24.18	Als ich dann nach einem Gelübde, das ich übernommen hatte, mit den Opfern im Tempel beschäftigt war, und zwar ohne Auflauf zu erregen oder Lärm, da sahen mich einige Juden aus Asien. 
ACT.24.19	Die hätten hier vor dir erscheinen und mich verklagen sollen, wenn sie etwas gegen mich vorzubringen hätten. 
ACT.24.20	Oder es mögen auch die Männer selbst, die hier gegenwärtig sind, sich äußern, welch Vergehen sie bei mir ermittelt haben, während ich als Angeklagter vor dem Hohen Rat stand. 
ACT.24.21	Es könnte sich hier nur um das eine Wort handeln, das ich in der Versammlung ausgerufen habe: 'Wegen der Auferstehung der Toten stehe ich heute vor euerm Gericht.'"
ACT.24.22	Hier brach Felix, der ganz genau wußte, was es mit der (christlichen) Lehre
ACT.24.23	Zugleich gab er dem Hauptmann den Befehl, Paulus solle in Haft gehalten werden, aber keine Fesseln tragen, und seinen Freunden solle es nicht verboten sein, ihm Liebesdienste zu erweisen. 
ACT.24.24	Einige Tage später kam Felix mit seiner Frau Drusilla, einer Jüdin,
ACT.24.25	Als aber Paulus auf Gerechtigkeit und Enthaltsamkeit und das zukünftige Gericht zu sprechen kam, da geriet Felix in Schrecken
ACT.24.26	Zugleich hoffte er, Paulus würde ihm Geld geben.
ACT.24.27	Nach Ablauf von zwei Jahren
ACT.25.1	Drei Tage nach der Ankunft in seiner Provinz
ACT.25.2	Dort trugen ihm die Hohenpriester und die angesehenen Juden ihre Klage gegen Paulus vor. 
ACT.25.3	In feindlicher Gesinnung gegen Paulus baten sie dann Festus um die Gunst, er möge ihn wieder nach Jerusalem senden. Denn sie wollten ihn unterwegs überfallen und ermorden lassen. 
ACT.25.4	Festus antwortete darauf, Paulus sei in Haft zu Cäsarea, und er selbst müsse bald dahin zurückkehren. 
ACT.25.5	"Dann können", fuhr er fort, "die Einflußreichsten unter euch
ACT.25.6	Als er sich höchstens acht bis zehn Tage in Jerusalem aufgehalten hatte, kehrte er nach Cäsarea zurück. Tags darauf setzte er sich auf den Richterstuhl und ließ Paulus vorführen. 
ACT.25.7	Als dieser eintrat, umringten ihn die Juden, die von Jerusalem gekommen waren, und erhoben viele schwere Beschuldigungen, die sie nicht beweisen konnten. 
ACT.25.8	Dagegen verteidigte sich Paulus; er erklärte: "Weder gegen das Gesetz der Juden noch gegen den Tempel noch gegen den Kaiser habe ich mich vergangen." 
ACT.25.9	Festus, der sich die Juden zu Dank verpflichten wollte, fragte Paulus: "Willst du nach Jerusalem gehen und dort in meiner Gegenwart in bezug auf diese Klagepunkte abgeurteilt werden?"
ACT.25.10	Paulus erwiderte: "Ich gehöre vor des Kaisers Richterstuhl; da muß ich abgeurteilt werden.
ACT.25.11	Bin ich nun wirklich schuldig, und habe ich eine Tat begangen, die den Tod verdient, so will ich auch gern diese Strafe leiden. Wenn mich aber diese Männer hier ungerecht beschuldigen, so darf mich niemand nur aus Gefälligkeit gegen sie ihnen preisgeben. Ich lege Berufung an den Kaiser ein."
ACT.25.12	Als sich Festus mit seinen Ratgebern
ACT.25.13	Einige Tage später kamen der König Agrippa und Bernike
ACT.25.14	Da sie sich einige Zeit dort aufhielten, setzte Festus dem König den Fall des Paulus auseinander. "Ich habe hier", so sprach er, "einen Mann, den Felix als Gefangenen zurückgelassen hat. 
ACT.25.15	Bei meinem Aufenthalt in Jerusalem führten die Hohenpriester und die Ältesten der Juden Klage gegen ihn und verlangten seine Verurteilung. 
ACT.25.16	Ich erwiderte ihnen, es sei nicht Sitte bei den Römern, jemand nur aus Gefälligkeit gegen andere zu bestrafen, ohne daß der Beklagte seinen Klägern gegenübergestellt worden sei und Gelegenheit gehabt habe, sich gegen die Anklage zu verteidigen. 
ACT.25.17	Sie sind dann mit hierhergekommen; und da habe ich mich ohne Aufschub schon am nächsten Tag auf den Richterstuhl gesetzt und den Mann vorführen lassen. 
ACT.25.18	Die Ankläger aber, die gegen ihn auftraten, gaben ihm keine Freveltat schuld, wie ich vermutet hatte,
ACT.25.19	sondern sie stritten nur mit ihm über einige Fragen ihres besonderen Glaubens und über einen gewissen Jesus, der gestorben ist, und von dem Paulus behauptete, er lebe. 
ACT.25.20	Weil ich mir nun keinen Rat wußte, wie ich die Angelegenheit entscheiden sollte,
ACT.25.21	Da forderte er, daß seine Angelegenheit der Entscheidung der kaiserlichen Majestät vorbehalten bleibe, und so habe ich denn befohlen, ihn in Haft zu lassen, bis ich ihn zum Kaiser senden kann." 
ACT.25.22	Agrippa sprach zu Festus: "Ich möchte auch den Mann einmal hören." Festus erwiderte: "Du sollst ihn morgen hören." 
ACT.25.23	Tags darauf erschienen Agrippa und Bernike mit glänzendem Gefolge und begaben sich mit den Obersten
ACT.25.24	Da nahm Festus das Wort und sprach: "König Agrippa und ihr alle, die ihr mit uns hier versammelt seid! Hier seht ihr den Mann, den die ganze Schar der Juden in Jerusalem und hier bei mir verklagt hat, indem sie stürmisch forderten, er dürfe nicht länger leben. 
ACT.25.25	Ich aber habe nicht entdecken können, daß er ein todeswürdiges Verbrechen begangen hat. Weil er sich nun auf die kaiserliche Majestät berufen hat, so habe ich beschlossen, ihn (nach Rom) zu senden. 
ACT.25.26	Ich kann jedoch dem Herrn
ACT.25.27	Denn ich halte es für widersinnig, einen Gefangenen (nach Rom) zu senden, ohne deutlich anzugeben, was gegen ihn vorliegt."
ACT.26.1	Agrippa sprach zu Paulus: "Ich gebe dir hiermit das Wort, dich zu verteidigen."
ACT.26.2	"König Agrippa", so hob er an, "ich schätze mich glücklich, daß ich mich heute gegen alle Anklagen der Juden vor dir verteidigen darf, 
ACT.26.3	besonders deshalb, weil dir alle jüdischen Gebräuche und Streitfragen bekannt sind. Darum bitte ich dich: höre mich geduldig an! 
ACT.26.4	Wie ich von Anfang an seit meinen Jugendjahren unter meinem Volk in Jerusalem gelebt habe, das wissen alle Juden. 
ACT.26.5	Denn sie kennen mich seit langer Zeit und wissen, wenn sie nur der Wahrheit die Ehre geben wollten, daß ich der strengsten Richtung unseres Glaubens angehörte und ein Pharisäer war. 
ACT.26.6	Nun stehe ich hier vor Gericht, weil ich auf die Erfüllung der Verheißung hoffe, die unseren Vätern einst von Gott gegeben worden ist, 
ACT.26.7	und die auch die zwölf Stämme unseres Volkes zu erlangen hoffen, indem sie Gott bei Tag und Nacht mit angestrengtem Eifer dienen. Um dieser Hoffnung willen, o König, verklagen mich die Juden. 
ACT.26.8	Warum haltet ihr's denn für unglaublich, daß Gott Tote auferweckt?
ACT.26.9	Ich dachte einst, ich müsse mit aller Macht der Sache Jesu von Nazaret entgegenarbeiten. 
ACT.26.10	Das habe ich denn auch in Jerusalem getan: Mit hohenpriesterlicher Vollmacht ausgerüstet, warf ich viele Heilige
ACT.26.11	In allen jüdischen Versammlungshäusern
ACT.26.12	So zog ich denn zu gleichem Tun mit einer Vollmacht und Befugnis von den Hohenpriestern nach Damaskus. 
ACT.26.13	Als ich auf dem Weg dorthin war, sah ich, o König, gegen Mittag vom Himmel her ein Licht, heller als die Sonne, mich und meine Begleiter umstrahlen. 
ACT.26.14	Wir fielen alle zu Boden, und ich hörte eine Stimme auf hebräisch zu mir sagen: 'Saul, Saul, warum verfolgst du mich? Es ist dir schwer, gegen den Stachel auszuschlagen.'
ACT.26.15	Ich sprach: 'Wer bist du, Herr?' Der Herr erwiderte: 'Ich bin Jesus, den du verfolgst. 
ACT.26.16	Doch stehe auf und stelle dich auf deine Füße!
ACT.26.17	Dabei will ich dich schützen vor dem Volk (Israel) und vor den Heiden, zu denen ich dich sende, 
ACT.26.18	um ihre Augen aufzutun, daß sie sich von der Finsternis zum Licht wenden
ACT.26.19	Darum, o König Agrippa, bin ich der himmlischen Erscheinung nicht ungehorsam gewesen. 
ACT.26.20	Sondern ich habe zuerst den Bewohnern von Damaskus und Jerusalem, dann der ganzen Landschaft Judäa und weiterhin den Heiden verkündigt, daß sie ihren Sinn ändern, sich zu Gott bekehren und Werke vollbringen müssen, die der Sinnesänderung entsprechen. 
ACT.26.21	Deshalb haben mich die Juden im Tempel ergriffen und zu töten versucht. 
ACT.26.22	Durch Gottes Beistand lebe ich heute noch und lege hoch und niedrig Zeugnis ab, indem ich nur das lehre, was die Propheten und auch Mose vorausverkündigt haben: 
ACT.26.23	daß der Messias leiden und dann als Erstling der vom Tod Auferstandenen
ACT.26.24	Als sich Paulus so verteidigte, unterbrach ihn Festus mit dem lauten Ruf: "Du bist von Sinnen, Paulus! Deine große Gelehrsamkeit hat dich um den Verstand gebracht!" 
ACT.26.25	Paulus erwiderte: "Ich bin nicht von Sinnen, hochedler Festus, sondern die Worte, die ich rede, sind wahr und vernünftig. 
ACT.26.26	Der König, an den ich mich voll Freimut wende, weiß um diese Dinge. Denn ich glaube nicht, daß ihm etwas von dem allen unbekannt geblieben ist. Es
ACT.26.27	Glaubst du, König Agrippa, den Propheten? Ich weiß, du glaubst." 
ACT.26.28	Da sprach Agrippa zu Paulus: "Es fehlt nur wenig, so überredest du mich, ein Christ zu werden."
ACT.26.29	Paulus antwortete: "Wollte Gott, es würden, mag nun wenig oder viel daran fehlen, nicht allein du, sondern alle, die mich heute hören, ganz ebenso wie ich
ACT.26.30	Da erhoben sich der König,
ACT.26.31	Sie zogen sich zurück, redeten miteinander und sagten: "Dieser Mensch treibt nichts,
ACT.26.32	Agrippa aber sprach zu Festus: "Dieser Mensch könnte freigelassen werden, wenn er sich nicht auf den Kaiser berufen hätte."
ACT.27.1	Als unsere
ACT.27.2	Wir gingen an Bord eines Schiffes aus Adramyttium,
ACT.27.3	Tags darauf legten wir in Sidon an, und Julius, der Paulus gütig
ACT.27.4	Dann gingen wir wieder in See und fuhren an der Küste von Zypern vorbei, weil wir Gegenwind hatten.
ACT.27.5	Als wir das Meer längs der Küste Ziliziens und Pamphyliens durchfahren hatten, kamen wir nach Myra in Lyzien. 
ACT.27.6	Dort fand der Hauptmann ein Schiff aus Alexandria, das auf der Fahrt nach Italien war, und ließ uns da an Bord gehen.
ACT.27.7	Mehrere Tage hindurch ging die Fahrt nur langsam vorwärts, und mit Mühe kamen wir in die Nähe von Knidus.
ACT.27.8	Als wir mit Schwierigkeiten an der Küste vorbeigekommen waren, gelangten wir in eine Bucht, namens Schönhafen, nahe bei der Stadt Lasäa. 
ACT.27.9	Unsere Reise dauerte nun schon ziemlich lange, und die Schiffahrt war bereits gefährlich, wie auch die Zeit des großen Fastens
ACT.27.10	"Ihr Männer", sprach er, "ich sehe voraus, daß die Fahrt nicht nur für unser Leben Gefahr und großen Schaden bringen wird." 
ACT.27.11	Der Hauptmann
ACT.27.12	Weil überdies der Hafen
ACT.27.13	Da nur ein schwacher Südwind wehte,
ACT.27.14	Bald darauf aber brauste von dem Hochgebirge der Insel ein furchtbarer Nordoststurm daher. 
ACT.27.15	Der riß das Schiff mit fort, und da es dem Wind nicht widerstehen konnte, so gaben wir es den Wogen preis und wurden dahingetrieben. 
ACT.27.16	Als wir unter einer kleinen Insel, namens Klauda,
ACT.27.17	Als sie es glücklich an Bord gezogen hatten, griffen sie zu einem Notbehelf und banden Taue um das Schiff.
ACT.27.18	Weil wir aber vom Sturm schwer zu leiden hatten, so warfen sie am nächsten Tag einen Teil der Ladung über Bord.
ACT.27.19	Am dritten Tag warfen sie mit eigener Hand das Schiffsgerät ins Wasser.
ACT.27.20	Mehrere Tage waren weder Sonne noch Sterne sichtbar,
ACT.27.21	Da die Leute auf dem Schiff schon seit langer Zeit fast nichts gegessen hatten,
ACT.27.22	Doch nun ermuntere ich euch: Seid guten Mutes! Denn keiner von euch wird ums Leben kommen; nur das Schiff geht verloren. 
ACT.27.23	Vergangene Nacht ist ein Bote des Gottes, dem ich angehöre und diene, zu mir getreten 
ACT.27.24	mit den Worten: 'Sei ohne Furcht, Paulus! Du mußt vor dem Kaiser erscheinen! Und sieh, Gott hat dir das Leben aller, die mit dir fahren, geschenkt.' 
ACT.27.25	Darum seid getrost, ihr Männer! Denn ich vertraue Gott, daß es so kommt, wie mir gesagt ist. 
ACT.27.26	Wir müssen aber an irgendeiner Insel stranden." 
ACT.27.27	So kam die vierzehnte Nacht, seit wir im Adriatischen Meer
ACT.27.28	Sie warfen das Senkblei aus und fanden das Wasser zwanzig Klafter
ACT.27.29	Weil sie fürchteten, wir könnten irgendwo auf Klippen stoßen, warfen sie von dem Heck des Schiffes vier Anker aus und warteten voll Sehnsucht auf den Tagesanbruch. 
ACT.27.30	Da die Matrosen aus dem Schiff zu entfliehen suchten und unter dem Vorgeben, sie wollten vom Vorderteil des Schiffes Anker werfen,
ACT.27.31	sprach Paulus zu dem Hauptmann und den Soldaten:
ACT.27.32	Da kappten die Soldaten die Taue, womit das Boot befestigt war, und ließen es ins Meer fallen.
ACT.27.33	sie möchten Nahrung zu sich nehmen. "Heute sind es vierzehn Tage", sprach er, "daß ihr fortwährend, ohne zu essen, in Angst schwebt und nichts Rechtes zu euch genommen habt. 
ACT.27.34	Darum rate ich euch dringend, jetzt etwas zu genießen. Das ist mit zu eurer Rettung nötig. Denn keinem von euch wird ein Haar von seinem Haupt fallen." 
ACT.27.35	Nach diesen Worten nahm er Brot, dankte Gott in aller Gegenwart, brach es und begann zu essen. 
ACT.27.36	Da wurden sie alle gutes Mutes und aßen auch. 
ACT.27.37	Wir waren im ganzen 276 Menschen an Bord. 
ACT.27.38	Als sie sich satt gegessen hatten, warfen sie die Getreideladung
ACT.27.39	Bei Tagesanbruch konnte man das Land nicht erkennen. Man bemerkte aber eine Bucht mit einem flachen Ufer und beschloß, das Schiff womöglich dort auf den Strand laufen zu lassen. 
ACT.27.40	So kappte man die Ankertaue und ließ die Anker im Meer.
ACT.27.41	Dabei gerieten sie aber auf eine Sandbank
ACT.27.42	Die Soldaten waren willens, die Gefangenen zu töten, damit keiner von ihnen ans Land schwimmen und entfliehen könne. 
ACT.27.43	Der Hauptmann aber wollte Paulus retten und verhinderte das Vorhaben. Er befahl, alle, die schwimmen könnten, sollten zuerst über Bord springen, um ans Land zu kommen.
ACT.27.44	Die anderen sollten folgen, teils auf Planken, teils auf anderen Stücken von dem Wrack des Schiffes. So gelang es allen, sich ans Land zu retten.
ACT.28.1	Als wir sicher geborgen waren, erfuhren wir, daß die Insel Malta hieß. 
ACT.28.2	Die Bewohner
ACT.28.3	Als nun Paulus einen Haufen Reisig zusammenraffte und aufs Feuer warf, da kroch, von der Hitze herausgetrieben, eine Natter aus dem Reisighaufen hervor und schlängelte sich Paulus um die Hand. 
ACT.28.4	Sobald die Leute das Tier an seiner Hand hangen sahen, sprachen sie zueinander: "Dieser Mensch ist sicher ein Mörder, den die Rachegöttin trotz seiner Rettung aus dem Meer nicht am Leben lassen will." 
ACT.28.5	Doch er schleuderte das Tier ins Feuer und nahm weiter keinen Schaden. 
ACT.28.6	Die Leute warteten darauf, daß er anschwelle oder plötzlich tot zu Boden falle. So warteten sie lange. Als sie aber sahen, daß ihm nichts Besonderes widerfuhr, da schlug ihre Meinung um, und sie behaupteten, er sei ein Gott.
ACT.28.7	Nun hatte in jener Gegend der angesehenste Mann der Insel,
ACT.28.8	Gerade damals lag des Publius Vater krank an Fieber und Ruhr. Paulus besuchte ihn, legte ihm unter Gebet die Hände auf und machte ihn gesund. 
ACT.28.9	Nun kamen auch alle anderen Kranken auf der Insel herbei und fanden Heilung. 
ACT.28.10	Sie erwiesen uns deshalb viel Ehre, und später bei der Abfahrt brachten sie uns alles an Bord, dessen wir bedurften. 
ACT.28.11	Nach dreimonatigem Aufenthalt fuhren wir weiter mit einem Schiff, das auf der Insel überwintert hatte; es gehörte nach Alexandria und trug als Schiffswappen das Bild der Zwillingsbrüder.
ACT.28.12	Wir landeten in Syrakus
ACT.28.13	Von da fuhren wir rund um die Küste
ACT.28.14	Da fanden wir Brüder.
ACT.28.15	Da die dortigen Brüder Näheres über uns gehört hatten,
ACT.28.16	Nach unserer Ankunft in Rom erhielt Paulus die Erlaubnis, mit dem Soldaten, der ihn bewachen mußte, eine eigene Wohnung zu beziehen.
ACT.28.17	Drei Tage später lud Paulus die Häupter der jüdischen Gemeinde in Rom zu sich ein.
ACT.28.18	Die haben mich verhört, und sie wollten mich freilassen, weil ich kein todeswürdiges Verbrechen begangen hatte. 
ACT.28.19	Da sich aber die Juden dem widersetzten, so sah ich mich genötigt, Berufung an den Kaiser einzulegen. Ich will (mich hiermit nur verteidigen,) aber keine Klage gegen mein Volk erheben. 
ACT.28.20	Deshalb ist es mein Wunsch gewesen, euch zu sehen und zu sprechen. Denn wegen der Hoffnung Israels trage ich diese Kette." 
ACT.28.21	Sie antworteten ihm: "Wir haben keine schriftliche Nachricht über dich empfangen aus Judäa, und es ist auch keiner unserer Brüder hier erschienen, um uns mündlich zu berichten oder etwas Übles von dir zu erzählen. 
ACT.28.22	Wir möchten aber gern von dir erfahren, was du denkst. Denn von der Richtung, der du angehörst, ist uns nur bekannt, daß man ihr allenthalben widerspricht." 
ACT.28.23	An einem bestimmten Tag, den sie mit ihm vereinbart hatten, kamen sie noch in größerer Anzahl als das erste Mal zu ihm in seine Wohnung. Er redete zu ihnen mit feierlichem Ernst von dem Königreich Gottes und suchte sie, ausgehend vom Gesetz Moses und von den Propheten, vom frühen Morgen bis zum Abend von Jesu Sache zu überzeugen. 
ACT.28.24	Die einen ließen sich auch durch seine Worte gewinnen, die anderen aber blieben ungläubig. 
ACT.28.25	Weil sie sich untereinander nicht einigen konnten,
ACT.28.26	Geh hin zu diesem Volk und sprich zu ihm: Hören sollt ihr und nicht verstehen, sehen und nicht erkennen. 
