GEN.1.1	Im Anfang schuf Gott die Himmel 
JER.24.9	Und ich werde sie zur Mißhandlung, zum Unglück hingeben allen Königreichen der Erde, zum Hohn und zum Sprichwort, zur Spottrede und zum Fluch an allen Orten, wohin ich sie vertreiben werde. 
JER.24.10	Und ich werde das Schwert, den Hunger und die Pest unter sie senden, bis sie aufgerieben sind aus dem Lande, das ich ihnen und ihren Vätern gegeben habe.
JER.25.1	Das Wort, welches zu Jeremia geschah über das ganze Volk von Juda, im vierten Jahre Jojakims, des Sohnes Josias, des Königs von Juda, das ist das erste Jahr Nebukadrezars, des Königs von Babel, 
JER.25.2	welches Jeremia, der Prophet, zu dem ganzen Volke von Juda und zu allen Bewohnern von Jerusalem redete, indem er sprach: 
JER.25.3	Vom dreizehnten Jahre Josias, des Sohnes Amons, des Königs von Juda, bis auf diesen Tag, diese 23 Jahre, ist das Wort Jehovas zu mir geschehen; und ich habe zu euch geredet, früh mich aufmachend und redend, aber ihr hörtet nicht. 
JER.25.4	Und Jehova hat alle seine Knechte, die Propheten, zu euch gesandt, früh sich aufmachend und sendend; aber ihr hörtet nicht und neigtet eure Ohren nicht, um zu hören. 
JER.25.5	Und er sprach: Kehret doch um, ein jeder von seinem bösen Wege und von der Bosheit eurer Handlungen, so sollt ihr in dem Lande, das Jehova euch und euren Vätern gegeben hat, wohnen von Ewigkeit zu Ewigkeit. 
JER.25.6	Und wandelt nicht anderen Göttern nach, um ihnen zu dienen und euch vor ihnen niederzubeugen; und reizet mich nicht durch das Werk eurer Hände, daß ich euch nicht Übles tue. 
JER.25.7	Aber ihr habt nicht auf mich gehört, spricht Jehova, um mich durch das Werk eurer Hände zu reizen, euch zum Unglück.
JER.25.8	Darum, so spricht Jehova der Heerscharen: Weil ihr auf meine Worte nicht gehört habt, 
JER.25.9	siehe, so sende ich hin und hole alle Geschlechter des Nordens, spricht Jehova, und sende zu Nebukadrezar, dem König von Babel, meinem Knechte, und bringe sie über dieses Land und über seine Bewohner und über alle diese Nationen ringsum; und ich will sie vertilgen 
JER.25.10	Und ich will unter ihnen aufhören lassen die Stimme der Wonne und die Stimme der Freude, die Stimme des Bräutigams und die Stimme der Braut, das Geräusch der Mühlen und das Licht der Lampe. 
JER.25.11	Und dieses ganze Land wird zur Einöde, zur Wüste werden; und diese Nationen werden dem König von Babel dienen siebzig Jahre. 
JER.25.12	Und es wird geschehen, wenn siebzig Jahre voll sind, werde ich an dem König von Babel und an jenem Volke, spricht Jehova, ihre Schuld heimsuchen, und an dem Lande der Chaldäer; und ich werde es zu ewigen Wüsteneien machen. 
JER.25.13	Und ich werde über jenes Land alle meine Worte bringen, die ich über dasselbe geredet habe: alles, was in diesem Buche geschrieben steht, was Jeremia geweissagt hat über alle Nationen. 
JER.25.14	Denn viele Nationen und große Könige werden auch sie 
JER.25.15	Denn so hat Jehova, der Gott Israels, zu mir gesprochen: Nimm diesen Becher Zornwein aus meiner Hand, und gib ihn zu trinken all den Nationen, zu welchen ich dich sende; 
JER.25.16	damit sie trinken, und taumeln und rasen wegen des Schwertes, das ich unter sie sende. - 
JER.25.17	Und ich nahm den Becher aus der Hand Jehovas und ließ trinken all die Nationen, zu welchen Jehova mich gesandt hatte: 
JER.25.18	Jerusalem und die Städte von Juda, und ihre Könige, ihre Fürsten, um sie zur Einöde, zum Entsetzen, zum Gezisch und zum Fluche zu machen, wie es an diesem Tage ist; 
JER.25.19	den Pharao, den König von Ägypten, und seine Knechte und seine Fürsten und sein ganzes Volk, 
JER.25.20	und alle gemischten Völker, und alle Könige des Landes Uz 
JER.25.21	Edom und Moab und die Kinder Ammon; 
JER.25.22	und alle Könige von Tyrus und alle Könige von Zidon; und die Könige der Inseln, welche jenseit des Meeres sind 
JER.25.23	Dedan und Tema und Bus, und alle mit geschorenen Haarrändern 
JER.25.24	und alle Könige von Arabien und alle Könige der gemischten Völker, die in der Wüste wohnen; 
JER.25.25	und alle Könige von Simri und alle Könige von Elam und alle Könige von Medien; 
JER.25.26	und alle Könige des Nordens, die nahen und die fernen, den einen nach dem anderen 
JER.25.27	Und sprich zu ihnen: So spricht Jehova der Heerscharen, der Gott Israels: Trinket, und werdet berauscht und speiet, und fallet und stehet nicht wieder auf wegen des Schwertes, das ich unter euch sende. 
JER.25.28	Und es soll geschehen, wenn sie sich weigern, den Becher aus deiner Hand zu nehmen, um zu trinken, so sollst du zu ihnen sagen: Also spricht Jehova der Heerscharen: Ihr sollt trinken. 
JER.25.29	Denn siehe, bei der Stadt, welche nach meinem Namen genannt ist, beginne ich Übles zu tun 
JER.25.30	Und du, weissage ihnen alle diese Worte und sprich zu ihnen: Jehova wird brüllen aus der Höhe und seine Stimme erschallen lassen aus seiner heiligen Wohnung; brüllen wird er gegen seine Wohnstätte, einen lauten Ruf erheben, wie die Keltertreter, gegen alle Bewohner der Erde. 
JER.25.31	Ein Getöse dringt bis an das Ende der Erde, denn Jehova rechtet mit den Nationen, er hält Gericht mit allem Fleische; die Gesetzlosen gibt er dem Schwerte hin, spricht Jehova. - 
JER.25.32	So spricht Jehova der Heerscharen: Siehe, Unglück geht aus von Nation zu Nation, und ein gewaltiger Sturm macht sich auf von dem äußersten Ende der Erde. 
JER.25.33	Und die Erschlagenen Jehovas werden an jenem Tage liegen von einem Ende der Erde bis zum anderen Ende der Erde; sie werden nicht beklagt und nicht gesammelt noch begraben werden; zu Dünger auf der Fläche des Erdbodens sollen sie werden. - 
JER.25.34	Heulet, ihr Hirten, und schreiet! und wälzet euch in der Asche, ihr Herrlichen der Herde! denn eure Tage sind erfüllt, um geschlachtet zu werden; und ich zerstreue euch, daß ihr hinfallen werdet wie ein kostbares Gefäß. 
JER.25.35	Und die Zuflucht ist den Hirten verloren, und das Entrinnen den Herrlichen der Herde. 
JER.25.36	Horch! Geschrei 
JER.25.37	Und die Auen des Friedens werden zerstört vor der Glut des Zornes Jehovas. 
JER.25.38	Gleich einem jungen Löwen hat er sein Dickicht verlassen; denn ihr Land ist zur Wüste geworden vor dem verderbenden 
JER.26.1	Im Anfang der Regierung Jojakims, des Sohnes Josias, des Königs von Juda, geschah dieses Wort von seiten Jehovas also: 
JER.26.2	So spricht Jehova: Tritt in den Vorhof des Hauses Jehovas und zu allen Städten Judas, welche kommen, um anzubeten im Hause Jehovas, rede alle die Worte, welche ich dir geboten habe, zu ihnen zu reden; tue kein Wort davon. 
JER.26.3	Vielleicht werden sie hören und ein jeder von seinem bösen Wege umkehren: So werde ich mich des Übels gereuen lassen, welches ich ihnen zu tun gedenke wegen der Bosheit ihrer Handlungen. 
JER.26.4	Und sprich zu ihnen: So spricht Jehova: Wenn ihr nicht auf mich höret, daß ihr in meinem Gesetz wandelt, welches ich euch vorgelegt habe, 
JER.26.5	daß ihr auf die Worte meiner Knechte, der Propheten, höret, welche ich zu euch sende, früh mich aufmachend und sendend (ihr habt aber nicht gehört): 
JER.26.6	so will ich dieses Haus wie Silo machen, und diese Stadt werde ich zum Fluche machen allen Nationen der Erde.
JER.26.7	Und die Priester und die Propheten und alles Volk hörten Jeremia diese Worte reden im Hause Jehovas. 
JER.26.8	Und es geschah, als Jeremia alles zu Ende geredet, was Jehova geboten hatte, zu dem ganzen Volke zu reden, da ergriffen ihn die Priester und die Propheten und alles Volk und sprachen: Du mußt gewißlich sterben. 
JER.26.9	Warum hast du im Namen Jehovas geweissagt und gesprochen: Dieses Haus wird wie Silo werden, und diese Stadt verwüstet, ohne Bewohner? Und alles Volk versammelte sich gegen Jeremia im Hause Jehovas. 
JER.26.10	Und als die Fürsten von Juda diese Worte hörten, gingen sie hinauf aus dem Hause des Königs zum Hause Jehovas und setzten sich in den Eingang des neuen Tores Jehovas. 
JER.26.11	Und die Priester und die Propheten redeten zu den Fürsten und zu allem Volke und sprachen: Diesem Manne gebührt die Todesstrafe 
JER.26.12	Und Jeremia redete zu den Fürsten und zu allem Volke und sprach: Jehova hat mich gesandt, um wider dieses Haus und wider diese Stadt all die Worte zu weissagen, welche ihr gehört habt. 
JER.26.13	Und nun machet gut eure Wege und eure Handlungen, und höret auf die Stimme Jehovas, eures Gottes: so wird Jehova sich des Übels gereuen lassen, welches er über euch geredet hat. 
JER.26.14	Ich aber, siehe, ich bin in eurer Hand; tut mir, wie es gut und wie es recht ist in euren Augen. 
JER.26.15	Doch wisset bestimmt, daß ihr, wenn ihr mich tötet, unschuldiges Blut bringen werdet auf euch und auf diese Stadt und auf ihre Bewohner; denn in Wahrheit, Jehova hat mich zu euch gesandt, um alle diese Worte vor euren Ohren zu reden.
JER.26.16	Und die Fürsten und alles Volk sprachen zu den Priestern und zu den Propheten: Diesem Manne gebührt nicht die Todesstrafe; denn er hat im Namen Jehovas, unseres Gottes, zu uns geredet. 
JER.26.17	Und es erhoben sich Männer von den Ältesten des Landes, und sie sprachen zu der ganzen Versammlung des Volkes und sagten: 
JER.26.18	Micha, der Moraschtiter 
JER.26.19	Haben denn Hiskia, der König von Juda, und ganz Juda ihn getötet? Hat er 
JER.26.20	Und es war auch ein Mann, der im Namen Jehovas weissagte, Urija, der Sohn Schemajas, aus Kirjath-Jearim; und er weissagte wider diese Stadt und wider dieses Land nach allen Worten Jeremias. 
JER.26.21	Und als der König Jojakim und alle seine Helden und alle Fürsten seine Worte hörten, suchte der König ihn zu töten. Und als Urija es hörte, fürchtete er sich und floh, und er kam nach Ägypten. 
JER.26.22	Da sandte der König Jojakim Männer nach Ägypten, Elnathan, den Sohn Akbors, und Männer mit ihm nach Ägypten. 
JER.26.23	Und sie brachten Urija aus Ägypten und führten ihn zu dem König Jojakim; und er erschlug ihn mit dem Schwerte und warf seinen Leichnam auf die Gräber der Kinder des Volkes 
JER.26.24	Doch die Hand Achikams, des Sohnes Schaphans, war mit Jeremia, daß man ihn nicht in die Hand des Volkes gab, um ihn zu töten.
JER.27.1	Im Anfang der Regierung Zedekias 
JER.27.2	so sprach Jehova zu mir: Mache dir Bande und Jochstäbe, und lege sie um deinen Hals; 
JER.27.3	und sende sie an den König von Edom und an den König von Moab und an den König der Kinder Ammon, und an den König von Tyrus und an den König von Zidon, durch die Boten, welche nach Jerusalem zu Zedekia, dem König von Juda, gekommen sind; 
JER.27.4	und befiel ihnen, daß sie ihren Herren sagen: So spricht Jehova der Heerscharen, der Gott Israels: Also sollt ihr euren Herren sagen: 
JER.27.5	Ich habe die Erde gemacht, die Menschen und das Vieh, die auf der Fläche der Erde sind, durch meine große Kraft und durch meinen ausgestreckten Arm; und ich gebe sie, wem es mich gut dünkt. 
JER.27.6	Und nun habe ich alle diese Länder in die Hand Nebukadnezars, des Königs von Babel, meines Knechtes, gegeben; und auch die Tiere des Feldes habe ich ihm gegeben, daß sie ihm dienen. 
JER.27.7	Und alle Nationen werden ihm dienen und seinem Sohne und seinem Sohnessohne, bis die Zeit auch seines Landes gekommen ist, und viele Völker und große Könige ihn dienstbar machen. 
JER.27.8	Und es wird geschehen, die Nation und das Königreich, welche ihm, Nebukadnezar, dem König von Babel, nicht dienen und ihren Hals unter 
JER.27.9	Und ihr, höret nicht auf eure Propheten und auf eure Wahrsager und auf eure Träume und auf eure Zauberer und auf eure Beschwörer, die zu euch sprechen und sagen: Ihr werdet dem König von Babel nicht dienen. 
JER.27.10	Denn sie weissagen euch Lüge, um euch aus eurem Lande zu entfernen, und damit ich euch vertreibe und ihr umkommet. 
JER.27.11	Die Nation aber, welche ihren Hals unter das Joch des Königs von Babel bringen und ihm dienen wird, die werde ich in ihrem Lande lassen, spricht Jehova; und sie wird es bebauen und darin wohnen.
JER.27.12	Und ich redete zu Zedekia, dem König von Juda, nach allen diesen Worten und sprach: Bringet eure Hälse unter das Joch des Königs von Babel und dienet ihm und seinem Volke, so werdet ihr leben. 
JER.27.13	Warum wolltet ihr, du und dein Volk, durch das Schwert, durch den Hunger und durch die Pest sterben, wie Jehova über die Nation geredet hat, welche dem König von Babel nicht dienen will? 
JER.27.14	Und höret nicht auf die Worte der Propheten, die zu euch sprechen und sagen: Ihr werdet dem König von Babel nicht dienen; denn sie weissagen euch Lüge. 
JER.27.15	Denn ich habe sie nicht gesandt, spricht Jehova, und sie weissagen falsch in meinem Namen, damit ich euch vertreibe und ihr umkommet, ihr und die Propheten, die euch weissagen. 
JER.27.16	Und ich redete zu den Priestern und zu diesem ganzen Volke und sprach: So spricht Jehova: Höret nicht auf die Worte eurer Propheten, die euch weissagen und sprechen: Siehe, die Geräte des Hauses Jehovas werden nun bald aus Babel zurückgebracht werden; denn sie weissagen euch Lüge. 
JER.27.17	Höret nicht auf sie; dienet dem König von Babel, so werdet ihr leben; warum sollte diese Stadt zur Einöde werden? 
JER.27.18	Wenn sie aber Propheten sind, und wenn das Wort Jehovas bei ihnen ist, so mögen sie doch bei Jehova der Heerscharen Fürbitte tun, damit die Geräte, welche im Hause Jehovas und im Hause des Königs von Juda und in Jerusalem übriggeblieben sind, nicht nach Babel kommen. 
JER.27.19	Denn so spricht Jehova der Heerscharen von den Säulen und von dem Meere und von den Gestellen und von den übrigen Geräten, die in dieser Stadt übriggeblieben sind, 
JER.27.20	welche Nebukadnezar, der König von Babel, nicht weggenommen hat, als er Jekonja, den Sohn Jojakims, den König von Juda, samt allen Edlen von Juda und Jerusalem, von Jerusalem nach Babel wegführte- 
JER.27.21	denn so spricht Jehova der Heerscharen, der Gott Israels, von den Geräten, welche im Hause Jehovas und im Hause des Königs von Juda und in Jerusalem übriggeblieben sind: 
JER.27.22	Sie sollen nach Babel gebracht werden, und sollen daselbst sein bis auf den Tag, da ich nach ihnen sehen 
JER.28.1	Und es geschah in demselben Jahre, im Anfang der Regierung Zedekias, des Königs von Juda, im vierten Jahre, im fünften Monat, da sprach zu mir Hananja, der Sohn Assurs, der Prophet, der von Gibeon war, im Hause Jehovas vor den Augen der Priester und alles Volkes, und sagte: 
JER.28.2	So spricht Jehova der Heerscharen, der Gott Israels, und sagt: Ich zerbreche das Joch des Königs von Babel. 
JER.28.3	Binnen zwei Jahren 
JER.28.4	Und Jekonja, den Sohn Jojakims, den König von Juda, und alle Weggeführten von Juda, die nach Babel gekommen sind, werde ich an diesen Ort zurückbringen, spricht Jehova; denn ich werde das Joch des Königs von Babel zerbrechen. 
JER.28.5	Da sprach der Prophet Jeremia zu dem Propheten Hananja vor den Augen der Priester und vor den Augen alles Volkes, das im Hause Jehovas stand; 
JER.28.6	und der Prophet Jeremia sprach: Amen, Jehova tue also! Jehova bestätige deine Worte, die du geweissagt hast, daß er die Geräte des Hauses Jehovas und alle Weggeführten von Babel an diesen Ort zurückbringe! 
JER.28.7	Nur höre doch dieses Wort, welches ich vor deinen Ohren und vor den Ohren alles Volkes rede: 
JER.28.8	Die Propheten, welche von alters her vor mir und vor dir gewesen sind, sie haben auch über viele Länder und über große Königreiche geweissagt von Krieg und von Unglück und von Pest. 
JER.28.9	Der Prophet, der von Frieden weissagt, wird, wenn das Wort des Propheten eintrifft, als der Prophet erkannt werden, welchen Jehova in Wahrheit gesandt hat.
JER.28.10	Und Hananja, der Prophet, nahm die Jochstäbe 
JER.28.11	Und Hananja redete vor den Augen alles Volkes und sprach: So spricht Jehova: Ebenso werde ich binnen zwei Jahren das Joch Nebukadnezars, des Königs von Babel, zerbrechen vom Halse aller Nationen. Und der Prophet Jeremia ging seines Weges. 
JER.28.12	Und das Wort Jehovas geschah zu Jeremia, nachdem der Prophet Hananja die Jochstäbe 
JER.28.13	Geh und sprich zu Hananja und sage: So spricht Jehova: Hölzerne Jochstäbe hast du zerbrochen, aber an ihrer Statt eiserne Jochstäbe gemacht. 
JER.28.14	Denn so spricht Jehova der Heerscharen, der Gott Israels: Ein eisernes Joch habe ich auf den Hals aller dieser Nationen gelegt, damit sie Nebukadnezar, dem König von Babel, dienen, und sie werden ihm dienen; und auch die Tiere des Feldes habe ich ihm gegeben. 
JER.28.15	Und der Prophet Jeremia sprach zu dem Propheten Hananja: Höre doch, Hananja! Jehova hat dich nicht gesandt, sondern du hast dieses Volk auf eine Lüge vertrauen lassen. 
JER.28.16	Darum, so spricht Jehova: Siehe, ich werfe dich vom Erdboden hinweg; dieses Jahr wirst du sterben; denn du hast Abfall geredet wider Jehova. 
JER.28.17	Und der Prophet Hananja starb in demselben Jahre im siebten Monat.
