GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
PSA.71.24	for they have been put to shame and disgraced
PSA.71.24	who sought to do me hurt.
PSA.72.1	Give the king thy justice, O God,
PSA.72.1	and thy righteousness to the royal son!
PSA.72.2	May he judge thy people with righteousness,
PSA.72.2	and thy poor with justice!
PSA.72.3	Let the mountains bear prosperity for the people,
PSA.72.3	and the hills, in righteousness!
PSA.72.4	May he defend the cause of the poor of the people,
PSA.72.4	give deliverance to the needy,
PSA.72.4	and crush the oppressor!
PSA.72.5	May he live
PSA.72.5	and as long as the moon, throughout all generations!
PSA.72.6	May he be like rain that falls on the mown grass,
PSA.72.6	like showers that water the earth!
PSA.72.7	In his days may righteousness flourish,
PSA.72.7	and peace abound, till the moon be no more!
PSA.72.8	May he have dominion from sea to sea,
PSA.72.8	and from the River to the ends of the earth!
PSA.72.9	May his foes
PSA.72.9	and his enemies lick the dust!
PSA.72.10	May the kings of Tarshish and of the isles
PSA.72.10	render him tribute,
PSA.72.10	may the kings of Sheba and Seba bring gifts!
PSA.72.11	May all kings fall down before him,
PSA.72.11	all nations serve him!
PSA.72.12	For he delivers the needy when he calls,
PSA.72.12	the poor and him who has no helper.
PSA.72.13	He has pity on the weak and the needy,
PSA.72.13	and saves the lives of the needy.
PSA.72.14	From oppression and violence he redeems their life;
PSA.72.14	and precious is their blood in his sight.
PSA.72.15	Long may he live,
PSA.72.15	may gold of Sheba be given to him!
PSA.72.15	May prayer be made for him continually,
PSA.72.15	and blessings invoked for him all the day!
PSA.72.16	May there be abundance of grain in the land;
PSA.72.16	on the tops of the mountains may it wave;
PSA.72.16	may its fruit be like Lebanon;
PSA.72.16	and may men blossom forth from the cities
PSA.72.16	like the grass of the field!
PSA.72.17	May his name endure for ever,
PSA.72.17	his fame continue as long as the sun!
PSA.72.17	May men bless themselves by him,
PSA.72.17	all nations call him blessed!
PSA.72.18	Blessed be the 
PSA.72.18	who alone does wondrous things.
PSA.72.19	Blessed be his glorious name for ever;
PSA.72.19	may his glory fill the whole earth!
PSA.72.19	Amen and Amen!
PSA.72.20	The prayers of David, the son of Jesse, are ended.
PSA.73.1	Truly God is good to the upright,
PSA.73.1	to those who are pure in heart.
PSA.73.2	But as for me, my feet had almost stumbled,
PSA.73.2	my steps had well nigh slipped.
PSA.73.3	For I was envious of the arrogant,
PSA.73.3	when I saw the prosperity of the wicked.
PSA.73.4	For they have no pangs;
PSA.73.4	their bodies are sound and sleek.
PSA.73.5	They are not in trouble as other men are;
PSA.73.5	they are not stricken like other men.
PSA.73.6	Therefore pride is their necklace;
PSA.73.6	violence covers them as a garment.
PSA.73.7	Their eyes swell out with fatness,
PSA.73.7	their hearts overflow with follies.
PSA.73.8	They scoff and speak with malice;
PSA.73.8	loftily they threaten oppression.
PSA.73.9	They set their mouths against the heavens,
PSA.73.9	and their tongue struts through the earth.
PSA.73.10	Therefore the people turn and praise them;
PSA.73.10	and find no fault in them.
PSA.73.11	And they say, “How can God know?
PSA.73.11	Is there knowledge in the Most High?”
PSA.73.12	Behold, these are the wicked;
PSA.73.12	always at ease, they increase in riches.
PSA.73.13	All in vain have I kept my heart clean
PSA.73.13	and washed my hands in innocence.
PSA.73.14	For all the day long I have been stricken,
PSA.73.14	and chastened every morning.
PSA.73.15	If I had said, “I will speak thus,”
PSA.73.15	I would have been untrue to the generation of thy children.
PSA.73.16	But when I thought how to understand this,
PSA.73.16	it seemed to me a wearisome task,
PSA.73.17	until I went into the sanctuary of God;
PSA.73.17	then I perceived their end.
PSA.73.18	Truly thou dost set them in slippery places;
PSA.73.18	thou dost make them fall to ruin.
PSA.73.19	How they are destroyed in a moment,
PSA.73.19	swept away utterly by terrors!
PSA.73.20	They are
PSA.73.20	on awaking you despise their phantoms.
PSA.73.21	When my soul was embittered,
PSA.73.21	when I was pricked in heart,
PSA.73.22	I was stupid and ignorant,
PSA.73.22	I was like a beast toward thee.
PSA.73.23	Nevertheless I am continually with thee;
PSA.73.23	thou dost hold my right hand.
PSA.73.24	Thou dost guide me with thy counsel,
PSA.73.24	and afterward thou wilt receive me to glory.
PSA.73.25	Whom have I in heaven but thee?
PSA.73.25	And there is nothing upon earth that I desire besides thee.
PSA.73.26	My flesh and my heart may fail,
PSA.73.26	but God is the strength
PSA.73.27	For lo, those who are far from thee shall perish;
PSA.73.27	thou dost put an end to those who are false to thee.
PSA.73.28	But for me it is good to be near God;
PSA.73.28	I have made the Lord 
PSA.73.28	that I may tell of all thy works.
PSA.74.1	O God, why dost thou cast us off for ever?
PSA.74.1	Why does thy anger smoke against the sheep of thy pasture?
PSA.74.2	Remember thy congregation, which thou hast gotten of old,
PSA.74.2	which thou hast redeemed to be the tribe of thy heritage!
PSA.74.2	Remember Mount Zion, where thou hast dwelt.
PSA.74.3	Direct thy steps to the perpetual ruins;
PSA.74.3	the enemy has destroyed everything in the sanctuary!
PSA.74.4	Thy foes have roared in the midst of thy holy place;
PSA.74.4	they set up their own signs for signs.
PSA.74.5	At the upper entrance they hacked
PSA.74.5	the wooden trellis with axes.
PSA.74.6	And then all its carved wood
PSA.74.6	they broke down with hatchets and hammers.
PSA.74.7	They set thy sanctuary on fire;
PSA.74.7	to the ground they desecrated the dwelling place of thy name.
PSA.74.8	They said to themselves, “We will utterly subdue them”;
PSA.74.8	they burned all the meeting places of God in the land.
PSA.74.9	We do not see our signs;
PSA.74.9	there is no longer any prophet,
PSA.74.9	and there is none among us who knows how long.
PSA.74.10	How long, O God, is the foe to scoff?
PSA.74.10	Is the enemy to revile thy name for ever?
PSA.74.11	Why dost thou hold back thy hand,
PSA.74.11	why dost thou keep thy right hand in
PSA.74.12	Yet God my King is from of old,
PSA.74.12	working salvation in the midst of the earth.
PSA.74.13	Thou didst divide the sea by thy might;
PSA.74.13	thou didst break the heads of the dragons on the waters.
PSA.74.14	Thou didst crush the heads of Leviathan,
PSA.74.14	thou didst give him as food
PSA.74.15	Thou didst cleave open springs and brooks;
PSA.74.15	thou didst dry up ever-flowing streams.
PSA.74.16	Thine is the day, thine also the night;
PSA.74.16	thou hast established the luminaries and the sun.
PSA.74.17	Thou hast fixed all the bounds of the earth;
PSA.74.17	thou hast made summer and winter.
PSA.74.18	Remember this, O 
PSA.74.18	and an impious people reviles thy name.
PSA.74.19	Do not deliver the soul of thy dove to the wild beasts;
PSA.74.19	do not forget the life of thy poor for ever.
PSA.74.20	Have regard for thy
PSA.74.20	for the dark places of the land are full of the habitations of violence.
PSA.74.21	Let not the downtrodden be put to shame;
PSA.74.21	let the poor and needy praise thy name.
PSA.74.22	Arise, O God, plead thy cause;
PSA.74.22	remember how the impious scoff at thee all the day!
PSA.74.23	Do not forget the clamor of thy foes,
PSA.74.23	the uproar of thy adversaries which goes up continually!
PSA.75.1	We give thanks to thee, O God; we give thanks;
PSA.75.1	we call on thy name and recount
PSA.75.2	At the set time which I appoint
PSA.75.2	I will judge with equity.
PSA.75.3	When the earth totters, and all its inhabitants,
PSA.75.3	it is I who keep steady its pillars. 
PSA.75.4	I say to the boastful, “Do not boast,”
PSA.75.4	and to the wicked, “Do not lift up your horn;
PSA.75.5	do not lift up your horn on high,
PSA.75.5	or speak with insolent neck.”
PSA.75.6	For not from the east or from the west
PSA.75.6	and not from the wilderness comes lifting up;
PSA.75.7	but it is God who executes judgment,
PSA.75.7	putting down one and lifting up another.
PSA.75.8	For in the hand of the 
PSA.75.8	with foaming wine, well mixed;
PSA.75.8	and he will pour a draught from it,
PSA.75.8	and all the wicked of the earth
PSA.75.8	shall drain it down to the dregs.
PSA.75.9	But I will rejoice
PSA.75.9	I will sing praises to the God of Jacob.
PSA.75.10	All the horns of the wicked he
PSA.75.10	but the horns of the righteous shall be exalted.
PSA.76.1	In Judah God is known,
PSA.76.1	his name is great in Israel.
PSA.76.2	His abode has been established in Salem,
PSA.76.2	his dwelling place in Zion.
PSA.76.3	There he broke the flashing arrows,
PSA.76.3	the shield, the sword, and the weapons of war. 
PSA.76.4	Glorious art thou, more majestic
PSA.76.4	than the everlasting mountains.
PSA.76.5	The stouthearted were stripped of their spoil;
PSA.76.5	they sank into sleep;
PSA.76.5	all the men of war
PSA.76.5	were unable to use their hands.
PSA.76.6	At thy rebuke, O God of Jacob,
PSA.76.6	both rider and horse lay stunned.
PSA.76.7	But thou, terrible art thou!
PSA.76.7	Who can stand before thee
PSA.76.7	when once thy anger is roused?
PSA.76.8	From the heavens thou didst utter judgment;
PSA.76.8	the earth feared and was still,
PSA.76.9	when God arose to establish judgment
PSA.76.9	to save all the oppressed of the earth. 
PSA.76.10	Surely the wrath of men shall praise thee;
PSA.76.10	the residue of wrath thou wilt gird upon thee.
PSA.76.11	Make your vows to the 
PSA.76.11	let all around him bring gifts
PSA.76.11	to him who is to be feared,
PSA.76.12	who cuts off the spirit of princes,
PSA.76.12	who is terrible to the kings of the earth.
PSA.77.1	I cry aloud to God,
PSA.77.1	aloud to God, that he may hear me.
PSA.77.2	In the day of my trouble I seek the Lord;
PSA.77.2	in the night my hand is stretched out without wearying;
PSA.77.2	my soul refuses to be comforted.
PSA.77.3	I think of God, and I moan;
PSA.77.3	I meditate, and my spirit faints. 
PSA.77.4	Thou dost hold my eyelids from closing;
PSA.77.4	I am so troubled that I cannot speak.
PSA.77.5	I consider the days of old,
PSA.77.5	I remember the years long ago.
PSA.77.6	I commune
PSA.77.6	I meditate and search my spirit:
PSA.77.7	“Will the Lord spurn for ever,
PSA.77.7	and never again be favorable?
PSA.77.8	Has his steadfast love for ever ceased?
PSA.77.8	Are his promises at an end for all time?
PSA.77.9	Has God forgotten to be gracious?
PSA.77.9	Has he in anger shut up his compassion?” 
PSA.77.10	And I say, “It is my grief
PSA.77.10	that the right hand of the Most High has changed.”
PSA.77.11	I will call to mind the deeds of the 
PSA.77.11	yea, I will remember thy wonders of old.
PSA.77.12	I will meditate on all thy work,
PSA.77.12	and muse on thy mighty deeds.
PSA.77.13	Thy way, O God, is holy.
PSA.77.13	What god is great like our God?
PSA.77.14	Thou art the God who workest wonders,
PSA.77.14	who hast manifested thy might among the peoples.
PSA.77.15	Thou didst with thy arm redeem thy people,
PSA.77.15	the sons of Jacob and Joseph. 
PSA.77.16	When the waters saw thee, O God,
PSA.77.16	when the waters saw thee, they were afraid,
PSA.77.16	yea, the deep trembled.
PSA.77.17	The clouds poured out water;
PSA.77.17	the skies gave forth thunder;
PSA.77.17	thy arrows flashed on every side.
PSA.77.18	The crash of thy thunder was in the whirlwind;
PSA.77.18	thy lightnings lighted up the world;
PSA.77.18	the earth trembled and shook.
PSA.77.19	Thy way was through the sea,
PSA.77.19	thy path through the great waters;
PSA.77.19	yet thy footprints were unseen.
PSA.77.20	Thou didst lead thy people like a flock
PSA.77.20	by the hand of Moses and Aaron.
PSA.78.1	Give ear, O my people, to my teaching;
PSA.78.1	incline your ears to the words of my mouth!
PSA.78.2	I will utter dark sayings from of old,
PSA.78.3	things that we have heard and known,
PSA.78.3	that our fathers have told us.
PSA.78.4	We will not hide them from their children,
PSA.78.4	but tell to the coming generation
PSA.78.4	the glorious deeds of the 
PSA.78.4	and the wonders which he has wrought.
PSA.78.5	He established a testimony in Jacob,
PSA.78.5	and appointed a law in Israel,
PSA.78.5	which he commanded our fathers
PSA.78.5	to teach to their children;
PSA.78.6	that the next generation might know them,
PSA.78.6	the children yet unborn,
PSA.78.6	and arise and tell them to their children,
PSA.78.7	so that they should set their hope in God,
PSA.78.7	and not forget the works of God,
PSA.78.7	but keep his commandments;
PSA.78.8	and that they should not be like their fathers,
PSA.78.8	a stubborn and rebellious generation,
PSA.78.8	a generation whose heart was not steadfast,
PSA.78.8	whose spirit was not faithful to God.
PSA.78.9	The Ephraimites, armed with
PSA.78.9	turned back on the day of battle.
PSA.78.10	They did not keep God's covenant,
PSA.78.10	but refused to walk according to his law.
PSA.78.11	They forgot what he had done,
PSA.78.11	and the miracles that he had shown them.
PSA.78.12	In the sight of their fathers he wrought marvels
PSA.78.12	in the land of Egypt, in the fields of Zoan.
PSA.78.13	He divided the sea and let them pass through it,
PSA.78.13	and made the waters stand like a heap.
PSA.78.14	In the daytime he led them with a cloud,
PSA.78.14	and all the night with a fiery light.
PSA.78.15	He cleft rocks in the wilderness,
PSA.78.15	and gave them drink abundantly as from the deep.
PSA.78.16	He made streams come out of the rock,
PSA.78.16	and caused waters to flow down like rivers.
PSA.78.17	Yet they sinned still more against him,
PSA.78.17	rebelling against the Most High in the desert.
PSA.78.18	They tested God in their heart
PSA.78.18	by demanding the food they craved.
PSA.78.19	They spoke against God, saying,
PSA.78.19	“Can God spread a table in the wilderness?
PSA.78.20	He smote the rock so that water gushed out
PSA.78.20	and streams overflowed.
PSA.78.20	Can he also give bread,
PSA.78.20	or provide meat for his people?”
PSA.78.21	Therefore, when the 
PSA.78.21	a fire was kindled against Jacob,
PSA.78.21	his anger mounted against Israel;
PSA.78.22	because they had no faith in God,
PSA.78.22	and did not trust his saving power.
PSA.78.23	Yet he commanded the skies above,
PSA.78.23	and opened the doors of heaven;
PSA.78.24	and gave them the grain of heaven.
PSA.78.25	Man ate of the bread of the angels;
PSA.78.25	he sent them food in abundance.
PSA.78.26	He caused the east wind to blow in the heavens,
PSA.78.26	and by his power he led out the south wind;
PSA.78.27	he rained flesh upon them like dust,
PSA.78.27	winged birds like the sand of the seas;
PSA.78.28	he let them fall in the midst of their camp,
PSA.78.28	all around their habitations.
PSA.78.29	And they ate and were well filled,
PSA.78.29	for he gave them what they craved.
PSA.78.30	But before they had sated their craving,
PSA.78.30	while the food was still in their mouths,
PSA.78.31	the anger of God rose against them
PSA.78.31	and he slew the strongest of them,
PSA.78.31	and laid low the picked men of Israel.
PSA.78.32	In spite of all this they still sinned;
PSA.78.32	despite his wonders they did not believe.
PSA.78.33	So he made their days vanish like a breath,
PSA.78.33	and their years in terror.
PSA.78.34	When he slew them, they sought for him;
