MAT.1.1	This book is the record of Jesus the Messiah,
2TI.1.18	May the Lord grant him his blessing in the Day of Judgment. (Timothy, you're very much aware of how much Onesiphorus did for me when he was in Ephesus).
2TI.2.1	So then, my son, grow strong in the grace of Christ Jesus. 
2TI.2.2	Take what you heard me say in front of many witnesses and share it with those who are trustworthy, who then can teach others as well. 
2TI.2.3	Suffer together with me like a good soldier of Christ Jesus. 
2TI.2.4	A soldier on active duty doesn't get caught up in the business of everyday life. He wants to please the one who enlisted him. 
2TI.2.5	Similarly athletes who compete in the games don't win a prize if they don't keep to the rules. 
2TI.2.6	The farmer that does all the hard work should be the first to benefit from the crop. 
2TI.2.7	Think about what I'm telling you. The Lord will help you to understand all this.
2TI.2.8	Focus your mind on Jesus Christ, a descendant of David, who was raised from the dead. This is my good news, 
2TI.2.9	and I'm suffering imprisonment because of it as if I were a criminal—but the word of God is not imprisoned. 
2TI.2.10	Despite all this I'm willing to keep on going for the sake of God's people
2TI.2.11	This is a trustworthy saying: “If we died with him, we will also live with him; 
2TI.2.12	if we keep going, we will also reign with him; if we deny him, he will also deny us. 
2TI.2.13	If we are not trustworthy, he is still trustworthy, for he cannot be untrue to himself.”
2TI.2.14	This is what you should remind people about, telling them before God that they shouldn't have meaningless arguments over words. To do this only harms those who listen.
2TI.2.15	Make sure you work hard so you can present yourself to God and gain his approval. Be a worker that doesn't need to be embarrassed, using the word of truth correctly. 
2TI.2.16	Avoid pointless chatter because people who do this are heading away from God. 
2TI.2.17	Their teachings are as destructive as gangrene that destroys healthy flesh. Hymenaeus and Philetus are like this. 
2TI.2.18	They have deviated from the truth by saying that the resurrection has already happened, which has ruined some people's trust in God.
2TI.2.19	But God's solid, trustworthy foundation stone stands firm, with this inscription, “The Lord knows those who belong to him,” and “Everyone who calls on the name of the Lord should stay away from all that is evil.” 
2TI.2.20	A stately home doesn't just have cups and bowls
2TI.2.21	So if you get rid of what is evil, you will become a cup or bowl that is holy and special, useful to the Lord, ready to do all that's good.
2TI.2.22	Run away from anything that fires up the desires of youth. Run after what is right and trustworthy, run after love and peace along with those who are true and pure Christians. 
2TI.2.23	Avoid foolish and childish debates, for you know they only lead to fights. 
2TI.2.24	For the Lord's minister must not fight, but be kind to everyone, able to teach, patient, 
2TI.2.25	gently correcting opponents. Perhaps God may help them to come to repent and to understand the truth. 
2TI.2.26	In this way they may come to their senses and escape the devil's trap. For he has captured them and made them do whatever he wants.
2TI.3.1	Be aware that there will be troubled times in the last days. 
2TI.3.2	People will love themselves and love money. They will be boastful, arrogant, abusive, disobedient to their parents, ungrateful, and without God in their lives. 
2TI.3.3	Heartless and unforgiving, they'll commit slander and have no self-control. Brutal people who hate what's good, 
2TI.3.4	they will betray others and be totally thoughtless. They are absurdly full of themselves, living so much for pleasure that they don't care about loving God. 
2TI.3.5	They may give an outward impression of being religious, but they don't actually believe it works. Stay away from these people!
2TI.3.6	They're the kind of people that slip into homes and take control of vulnerable women who are burdened down by the guilt of sin and distracted by all kinds of desires. 
2TI.3.7	These women are always trying to learn but they're never able to understand the truth!
2TI.3.8	Just like Jannes and Jambres opposed Moses, these teachers also oppose the truth. They are people with corrupted minds whose supposed trust in God is a lie.
2TI.3.9	But they won't get far. Their stupidity will be obvious to everyone, just like that of Jannes and Jambres.
2TI.3.10	But you know all about my teaching and behavior, and my aim in life. You know my trust in God and my love. You know what I've had to endure— 
2TI.3.11	how I've been persecuted and what I've suffered. You know what happened to me at Antioch, at Iconium, and at Lystra—the troubles I had and how the Lord rescued me from all of them.
2TI.3.12	Of course it's true that everyone who wants to live a life devoted to God in Christ Jesus will experience persecution, 
2TI.3.13	while wicked people and frauds will do well, going from bad to worse, deceiving others and deceiving themselves too. 
2TI.3.14	But you must hold onto the things you've learned and are convinced are true. You know who taught you. 
2TI.3.15	From your childhood you've known the holy Scriptures which can give you understanding for salvation by trusting in Christ Jesus. 
2TI.3.16	All Scripture inspired by God is useful for teaching, for confronting what is wrong, for setting us straight, and for telling us what is right. 
2TI.3.17	This is how God provides a thorough preparation for those who work for him to accomplish all that's good.
2TI.4.1	This is what I instruct you to do before God and Christ Jesus who will judge the living and the dead when he comes to establish his kingdom. 
2TI.4.2	Speak God's word whether it is convenient or not, tell people where they're going wrong, warn them, encourage them. Do this with a great deal of patient teaching.
2TI.4.3	For the time is coming when people won't bother to listen to true teaching. Instead they will be curious to listen to something different,
2TI.4.4	They will stop listening to the truth and wander off following myths. 
2TI.4.5	You need to keep your wits about you at all times. Put up with troubles, do the work of sharing the good news, fulfill your ministry.
2TI.4.6	For I'm about to be sacrificed—the time of my death is approaching. 
2TI.4.7	I have fought the good fight, I have finished the race, I have kept my trust in God. 
