GEN.1.1	No princípio, quando Deus criou o céu e a terra
JER.1.18	contra os reis de Judá e os seus conselheiros,
JER.1.18	os sacerdotes e o povo.
JER.1.19	Eles combaterão contra ti,
JER.1.19	mas não te conseguirão vencer
JER.1.19	porque eu estou contigo para te proteger.
JER.1.19	Sou eu, o 
JER.2.1	O 
JER.2.2	«Vai comunicar a seguinte mensagem aos habitantes de Jerusalém
JER.2.2	e diz-lhes da minha parte:
JER.2.2	“Eu, o 
JER.2.2	de como me eras fiel, quando eras jovem
JER.2.2	como me amavas quando nos casámos;
JER.2.2	seguiste-me pelo deserto,
JER.2.2	por terra que nada produz.
JER.2.3	Israel era consagrado ao 
JER.2.3	eras como os primeiros frutos da sua colheita.
JER.2.3	Sofrimento e desgraça caía sobre os que te molestavam.
JER.2.3	Sou eu, o 
JER.2.4	Escutem o que o 
JER.2.4	ó descendentes de Jacob, ó gente da casa de Israel.
JER.2.5	Assim diz o 
JER.2.5	«De que me acusaram os vossos pais?
JER.2.5	Por que se afastaram de mim?
JER.2.5	Adoraram ídolos falsos
JER.2.5	e ficaram como eles, coisas sem valor.
JER.2.6	Não se dignaram perguntar:
JER.2.6	“Onde está o 
JER.2.6	que nos tirou do Egito
JER.2.6	que nos conduziu através do deserto?
JER.2.6	Onde prevalece aridez e escuridão,
JER.2.6	onde a vida corre perigo,
JER.2.6	onde o humano evita passar e
JER.2.6	onde ninguém quer morar?”
JER.2.7	Trouxe-vos para uma terra fértil,
JER.2.7	a fim de desfrutarem da abundância das colheitas.
JER.2.7	Mas arruinaram a minha terra;
JER.2.7	fizeram do país que vos dei uma coisa detestável.
JER.2.8	Os 
JER.2.8	os depositários da minha 
JER.2.8	Os chefes revoltaram-se contra mim;
JER.2.8	os 
JER.2.8	e seguiam cultos e ídolos falsos.
JER.2.9	Por isso, vos trago a julgamento,
JER.2.9	hoje, a vós, amanhã aos vossos descendentes.
JER.2.9	Sou eu, o 
JER.2.10	Vão à ilha de Chipre;
JER.2.10	mandem investigar em Quedar
JER.2.10	hão de ver que nada de semelhante aconteceu antes.
JER.2.11	Mais nenhuma nação mudou de deuses,
JER.2.11	embora esses deuses não sejam verdadeiros.
JER.2.11	Porém o meu povo trocou o seu Deus glorioso
JER.2.11	por deuses falsos.
JER.2.12	Os céus ficaram horrorizados
JER.2.12	e tremeram de espanto.
JER.2.12	Sou eu, o 
JER.2.13	De facto, o meu povo cometeu dois erros:
JER.2.13	afastaram-se de mim, fonte de água viva,
JER.2.13	e cavaram cisternas com fendas,
JER.2.13	que não retêm a água.»
JER.2.14	«Israel não é escravo, nem nasceu escravo.
JER.2.14	Por que andam os seus inimigos à caça dele?
JER.2.15	Rugem diante dele como leões;
JER.2.15	deixam a sua terra desolada;
JER.2.15	as suas cidades estão em ruínas,
JER.2.15	completamente abandonadas.
JER.2.16	Até os habitantes de Mênfis e de Táfnis
JER.2.16	te vieram humilhar, ó Israel!
JER.2.17	Tu és o culpado do que te aconteceu!
JER.2.17	Abandonaste o 
JER.2.17	quando ele mesmo te guiava pelo caminho.
JER.2.18	Que pensas tu ganhar indo ao Egito,
JER.2.18	para beber da água do Nilo?
JER.2.18	Que pensas tu ganhar indo à 
JER.2.18	para beber água do Eufrates?
JER.2.19	O mal que fizeste em me abandonares,
JER.2.19	será o castigo que vais ter de sofrer.
JER.2.19	Terás de aprender com amargura,
JER.2.19	como foi mau teres deixado o 
JER.2.19	e teres perdido o respeito por mim.
JER.2.19	Sou eu, o 
JER.2.20	Há muito que te libertei das correntes
JER.2.20	que te faziam prisioneiro.
JER.2.20	Prometeste que não adorarias outros deuses.
JER.2.20	Mas entregaste-te como prostituta
JER.2.20	aos cultos da fertilidade
JER.2.20	no cimo de qualquer monte e debaixo de qualquer árvore.
JER.2.21	Eu tinha-te plantado como vinha especial,
JER.2.21	de qualidade bem escolhida.
JER.2.21	Mas vê o que te aconteceu!
JER.2.21	Transformaste-te numa vinha estragada e sem valor.
JER.2.22	Ainda que te lavasses muito bem,
JER.2.22	com sabão e com potassa
JER.2.22	a tua maldade não seria lavada.
JER.2.22	Sou eu, o 
JER.2.23	Como ousas dizer que não te degradaste,
JER.2.23	que nunca prestaste culto a Baal?
JER.2.23	Vê como te transviaste no vale
JER.2.23	repara no que fizeste.
JER.2.23	És como uma jovem camela
JER.2.23	correndo em todas as direções.
JER.2.24	És como uma jumenta selvagem habituada ao deserto;
JER.2.24	levada pelo cio, ela fareja o vento;
JER.2.24	ninguém a impede de seguir os seus desejos;
JER.2.24	nenhum macho precisa de se cansar a procurá-la:
JER.2.24	logo a descobre quando ela entra em cio.
JER.2.25	Não corras com pés descalços,
JER.2.25	nem deixes a garganta com sede!
JER.2.25	Mas tu disseste: “Não é possível!
JER.2.25	Afeiçoei-me a outros deuses e é a eles que seguirei.”
JER.2.26	Assim como o ladrão se cobre de vergonha
JER.2.26	quando é apanhado,
JER.2.26	assim o povo de Israel se cobrirá de vergonha,
JER.2.26	os seus reis e os seus chefes,
JER.2.26	os seus 
JER.2.27	Dizem a uma árvore que é vosso pai
JER.2.27	e a uma pedra que é a vossa mãe.
JER.2.27	Em vez de se voltarem para mim,
JER.2.27	viraram-me as costas.
JER.2.27	Todavia, quando estão em dificuldade,
JER.2.27	vêm pedir-me para que os ajude.
JER.2.28	Onde estão os deuses que fizeram para o vosso culto?
JER.2.28	Que eles vos ajudem quando estiverem em dificuldade!
JER.2.28	Pois tu, povo de Judá,
JER.2.28	tens tantos deuses quantas cidades!
JER.2.29	Que queixas tens contra mim?
JER.2.29	Vocês é que se revoltam contra mim,
JER.2.29	diz o 
JER.2.30	Castiguei o vosso povo, mas de nada serviu;
JER.2.30	não aprenderam a lição.
JER.2.30	Mataram os vossos profetas à espada
JER.2.30	com a ferocidade de um leão esfomeado.
JER.2.31	Que a geração de agora
JER.2.31	preste atenção às palavras do 
JER.2.31	Será que tenho sido para Israel como um deserto,
JER.2.31	uma terra inóspita e perigosa?
JER.2.31	Por que dizes então que fazes o que queres,
JER.2.31	que nunca mais voltarás para mim?
JER.2.32	Será que uma jovem se esquece dos seus enfeites,
JER.2.32	ou uma 
JER.2.32	Mas o meu povo esqueceu-se de mim
JER.2.32	há tanto tempo, que já se não pode contar.
JER.2.33	Arranjas sempre maneira de te entregares
JER.2.33	aos deuses que tu amas.
JER.2.33	A mulher mais corrupta tem a aprender contigo.
JER.2.34	Os teus vestidos estão manchados!
JER.2.34	Mas não com o sangue dos bandidos,
JER.2.34	antes com o dos pobres,
JER.2.34	que não fizeram nenhum mal.
JER.2.34	E apesar de tudo isto,
JER.2.35	tu dizes: “Não fiz mal nenhum;
JER.2.35	certamente o 
JER.2.35	Mas eu, o 
JER.2.35	precisamente por afirmares que não fizeste nenhum mal.
JER.2.36	Por que te rebaixas assim
JER.2.36	nas tuas atitudes?
JER.2.36	Ficarás envergonhada diante do Egito,
JER.2.36	como já ficaste diante da 
JER.2.37	Sairás do Egito cheia de vergonha,
JER.2.37	tapando o rosto com as mãos.
JER.2.37	Eu, o 
JER.2.37	não lucrarás nada com eles.»
JER.3.1	Diz o 
JER.3.1	«Se o homem se divorciar da sua mulher
JER.3.1	e ela o deixar para casar com outro,
JER.3.1	o primeiro já não volta a recebê-la de novo.
JER.3.1	Se tal acontecesse,
JER.3.1	seria uma corrupção para o país.
JER.3.1	Mas tu, ó Israel,
JER.3.1	tiveste muitos amantes
JER.3.1	e agora queres voltar para mim!
JER.3.2	Olha para o cimo dos montes
JER.3.2	Haverá algum lugar onde não te tenhas desonrado?
JER.3.2	Puseste-te à espera dos teus amantes,
JER.3.2	à beira da estrada,
JER.3.2	como um nómada espreita as suas vítimas no deserto.
JER.3.2	Com a tua prostituição e maldade,
JER.3.2	espalhaste a corrupção no país.
JER.3.3	Por isso, faltou a chuva
JER.3.3	e o orvalho não caiu.
JER.3.3	Mas continuavas obstinada na prostituição,
JER.3.3	sem te 
JER.3.4	E agora dizes-me: “Tu és o meu pai
JER.3.4	e o meu amigo de infância.
JER.3.5	Não vais ficar irado comigo para sempre.”
JER.3.5	Porém tu dizes isso,
JER.3.5	tendo feito todo o mal que pudeste.»
JER.3.6	No tempo do rei Josias, o 
JER.3.7	Esperei que, depois de tudo isso, ela voltaria para mim. Mas não. E a sua infiel irmã, Judá, estava a par de tudo. 
JER.3.8	Judá também viu que me divorciei de Israel, e a mandei embora, porque ela me deixou e se fez prostituta
JER.3.9	Não teve vergonha nenhuma. Corrompeu a terra, e cometeu adultério, ao prestar culto às imagens de pedra e aos ídolos das árvores. 
JER.3.10	Em seguida, Judá, a irmã infiel de Israel, fingiu que voltava para mim; mas não foi sincera. Sou eu, o 
JER.3.11	Então o 
JER.3.12	E mandou-me dirigir este apelo a Israel:
JER.3.12	«Ó Israel, infiel, volta para mim.
JER.3.12	Eu terei misericórdia e não ficarei irado;
JER.3.12	não ficarei irado contigo para sempre.
JER.3.12	Sou eu, o 
JER.3.13	Só te peço que reconheças a tua culpa,
JER.3.13	que te revoltaste contra o 
JER.3.13	Correste atrás dos ídolos,
JER.3.13	debaixo de árvores frondosas
JER.3.13	e não obedeceste à minha vontade.
JER.3.14	Voltem para mim, ó filhos infiéis; é a mim que pertencem! Sou eu, o 
JER.3.15	Dar-vos-ei chefes que me obedeçam e que vos dirigirão com sabedoria e entendimento.
JER.3.16	E quando o vosso número aumentar bastante no país, não se falará mais na 
JER.3.17	Quando esses dias chegarem, Jerusalém será chamada “o trono do 
JER.3.18	Judá juntar-se-á a Israel e ambos regressarão do exílio à terra que dei para sempre aos vossos antepassados.»
JER.3.19	«Eu, o 
JER.3.19	Ó Israel, eu queria fazer de ti o meu filho
JER.3.19	e dar-te uma terra aprazível,
JER.3.19	a mais bela terra do mundo.
JER.3.19	O meu desejo era que me chamasses pai,
JER.3.19	e que nunca mais me deixasses.
JER.3.20	Mas tal como uma esposa infiel,
JER.3.20	assim tu me atraiçoaste, ó povo de Israel.
JER.3.20	Sou eu, o 
JER.3.21	Ouvem-se vozes no cimo dos montes
JER.3.21	é o povo de Israel a chorar e a pedir misericórdia,
JER.3.21	porque seguiram por maus caminhos
JER.3.21	e esqueceram o 
JER.3.22	Voltem para mim, ó filhos pródigos;
JER.3.22	eu vou curar-vos e ajudar-vos a ser fiéis.
JER.3.22	E respondem-me: “Sim, nós voltamos para ti, 
JER.3.22	porque tu és o nosso Deus.
JER.3.23	Realmente, não recebemos benefício nenhum
JER.3.23	quando prestámos culto aos ídolos no cimo dos montes.
JER.3.23	Pois só do 
JER.3.23	Israel pode receber ajuda.
JER.3.24	Mas desde a nossa infância, o vergonhoso culto a 
JER.3.24	fez-nos perder os rebanhos, os filhos e as filhas
JER.3.24	tudo o que os nossos antepassados nos deixaram.
JER.3.25	Devíamos prostrar-nos de vergonha
JER.3.25	e deixar que a nossa desgraça nos cobrisse.
JER.3.25	Nós e os nossos antepassados, desde sempre,
JER.3.25	pecámos contra o 
JER.3.25	não obedecemos às suas ordens.”»
JER.4.1	«Se te quiseres 
JER.4.1	volta para mim.
JER.4.1	Se deixares os ídolos que detesto,
JER.4.1	não precisarás de andar sem rumo.
JER.4.1	Palavra do 
JER.4.2	Se fores honesto e sincero,
JER.4.2	poderás prestar juramento em nome do 
JER.4.2	e os 
JER.4.2	e se sentirão felizes por isso.»
JER.4.3	Assim fala o 
JER.4.3	«Lavrem os vossos terrenos incultos;
JER.4.3	não semeiem no meio dos cardos
JER.4.4	Façam uma 
JER.4.4	que afaste todo o mal do vosso 
JER.4.4	ó habitantes de Judá e Jerusalém.
JER.4.4	Se não, a minha ira se fará sentir
JER.4.4	por causa das vossas transgressões;
JER.4.4	o meu fogo vos consumirá
JER.4.4	e ninguém o poderá apagar.»
JER.4.5	«Mandem ressoar a trombeta por todo o país!
JER.4.5	Proclamem de maneira que se ouça bem
JER.4.5	e digam aos habitantes de Judá e de Jerusalém
JER.4.5	que corram para as cidades fortificadas.
JER.4.6	Deem o sinal de alarme a 
JER.4.6	Corram sem demora, pela vossa segurança!
JER.4.6	Que eu vou mandar vir do norte
JER.4.6	desgraças e grande destruição.
JER.4.7	O destruidor das nações acometerá
JER.4.7	como um leão
JER.4.7	Vem destruir a tua terra,
JER.4.7	deixando em ruínas as tuas cidades,
JER.4.7	e ninguém morará nelas.
JER.4.8	Vistam-se de luto
JER.4.8	porque Judá não escapará à ira do 
JER.4.9	Nesse dia, os reis e os membros do governo
JER.4.9	perderão a sua coragem.»
JER.4.9	Palavra do 
JER.4.9	«Os 
JER.4.9	e os 
JER.4.10	Então eles replicarão:
JER.4.10	“Ó 
JER.4.10	Disseste que teriam paz,
JER.4.10	mas puseste a espada contra as suas gargantas.”
JER.4.11	Há de chegar o dia em que se dirá
JER.4.11	aos habitantes de Jerusalém,
JER.4.11	que um vento abrasador
JER.4.11	sopra do deserto contra o meu povo.
JER.4.11	Não será uma brisa suave
JER.4.11	como a que limpa o trigo
JER.4.12	É um vento mais forte
JER.4.12	que virá por minha ordem
JER.4.12	e com o qual julgarei este povo.»
JER.4.13	«Eis que o inimigo se aproxima
JER.4.13	como se fosse uma nuvem.
JER.4.13	Os seus carros de guerra são como um ciclone,
JER.4.13	e os seus cavalos mais velozes do que águias.
JER.4.13	Estamos perdidos!
JER.4.13	Não conseguiremos escapar!»
JER.4.14	«Ó Jerusalém, limpa a maldade do teu coração,
JER.4.14	para poderes ser salva.
JER.4.14	Até quando abrigarás dentro de ti
JER.4.14	os teus maldosos pensamentos?
JER.4.15	Ouçam as más notícias que vêm de Dan
JER.4.15	e das montanhas de Efraim
JER.4.16	Proclamem a toda a gente,
JER.4.16	anunciem a Jerusalém
JER.4.16	que o inimigo vem de um país longínquo,
JER.4.16	lançando o grito de ataque contra as cidades de Judá.
JER.4.17	Cercarão Jerusalém,
JER.4.17	como homens de guarda a um campo,
JER.4.17	porque os seus habitantes se mostraram rebeldes.
JER.4.17	Palavra do 
JER.4.18	Atraíste sobre ti tudo isto,
JER.4.18	devido ao teu comportamento e à tua maldade.
JER.4.18	A tua rebeldia produziu sofrimento;
JER.4.18	feriu o teu coração.»
JER.4.19	O meu coração parte-se de dor!
JER.4.19	O meu peito está apertado pelo sofrimento.
JER.4.19	Não consigo sossegar por um momento,
JER.4.19	porque ouço o toque das trombetas e os gritos de guerra!
JER.4.20	É calamidade atrás de calamidade:
JER.4.20	todo o país está em ruínas.
JER.4.20	As nossas tendas foram subitamente deitadas por terra,
JER.4.20	e os nossos abrigos destruídos.
JER.4.21	Até quando terei de ver o estandarte de guerra
JER.4.21	e ouvir o toque das trombetas?
JER.4.22	«O meu povo é estúpido: não me conhece.
JER.4.22	É como uma criança sem tino;
JER.4.22	não tem entendimento.
JER.4.22	É perito em fazer o mal,
JER.4.22	mas não sabe fazer o que é bem.»
JER.4.23	Vejo a terra desolada
JER.4.24	As montanhas tremem,
JER.4.24	e as colinas fogem de um lado para o outro.
JER.4.25	Vejo que já não há ninguém;
JER.4.25	até as aves desapareceram do céu.
JER.4.26	Vejo a terra fértil transformada num deserto;
JER.4.26	as cidades ficaram em ruínas
JER.4.26	por causa da terrível ira do 
JER.4.27	Eis o que declara o 
JER.4.27	«O país inteiro será um deserto árido
JER.4.27	porém não o destruirei totalmente.
JER.4.28	A terra cobre-se de luto;
JER.4.28	e o céu escurece.
JER.4.28	O que eu decidi foi o que mandei que se cumprisse.
JER.4.28	E não voltarei atrás na decisão que tomei.»
JER.4.29	Toda a gente se põe em fuga
JER.4.29	ao ouvir o ruído dos cavaleiros e arqueiros.
JER.4.29	Uns escondem-se na floresta,
JER.4.29	outros fogem para os rochedos.
JER.4.29	As cidades ficam desertas,
JER.4.29	ninguém se atreve a ficar lá.
JER.4.30	Ó Jerusalém, tu estás perdida!
JER.4.30	Por que te vestiste de púrpura?
JER.4.30	Por que te adornaste com joias e pintaste os olhos?
JER.4.30	Isso não serve para nada!
JER.4.30	Os teus amantes rejeitaram-te
JER.4.30	e agora tentam matar-te.
JER.4.31	Ouço gemidos, como duma mulher a dar à luz,
JER.4.31	com as dores do primeiro parto.
JER.4.31	É Jerusalém que geme e suplica, estendendo a mão:
JER.4.31	«Estou perdida! Vão matar-me!»
JER.5.1	«Habitantes de Jerusalém,
JER.5.1	percorram as vossas ruas!
JER.5.1	Busquem por toda a parte!
JER.5.1	Verifiquem, pelas praças,
JER.5.1	para ver se encontram uma pessoa que faça o bem
JER.5.1	e que procure ser fiel a Deus.
JER.5.1	Se a encontrarem, perdoarei a Jerusalém.»
JER.5.2	Embora jurem em nome do 
JER.5.2	o vosso juramento é mentiroso.
JER.5.3	Ó 
JER.5.3	é quem te seja fiel.
JER.5.3	Tu castigaste-os, mas sem resultado;
JER.5.3	feriste-os, mas eles recusaram aceitar a correção.
JER.5.3	Ficaram mais duros que a pedra
JER.5.3	e não quiseram 
JER.5.4	Disse então para comigo:
JER.5.4	«São pobres ignorantes!
JER.5.4	O seu comportamento é de gente louca.
JER.5.4	Não conhecem a vontade do 
JER.5.4	as exigências do seu Deus.
JER.5.5	Vou ter com os seus chefes e falarei com eles;
JER.5.5	eles conhecem certamente a vontade do 
JER.5.5	e as exigências do seu Deus.»
JER.5.5	Porém todos rejeitaram a autoridade do 
JER.5.5	e recusaram-se a obedecer-lhe.
JER.5.6	Por isso, leões sairão do bosque e os matarão;
JER.5.6	lobos do deserto os despedeçarão,
JER.5.6	e os leopardos atacarão as suas cidades.
JER.5.6	Quem delas sair será despedaçado,
JER.5.6	porque são muitos os seus 
JER.5.6	e graves as suas transgressões.
JER.5.7	«Por que haveria eu de perdoar as transgressões do meu povo?
JER.5.7	Ele abandonou-me e prestou culto a falsos deuses!
JER.5.7	Dei de comer ao meu povo até o saciar,
JER.5.7	mas ele tornou-se adúltero e frequentou cultos imorais
JER.5.8	Ficaram como cavalos bem alimentados e cheios de cio,
JER.5.8	cada qual cobiçando a mulher do próximo.
JER.5.9	Não devo eu castigá-los por causa disso
JER.5.9	e vingar-me do povo que faz semelhantes coisas?
JER.5.9	Palavra do 
JER.5.10	Venham os inimigos e arrasem o meu povo como uma vinha,
JER.5.10	mas sem os destruírem totalmente.
JER.5.10	Devem cortar todos os rebentos que não me pertencem
JER.5.11	Os habitantes de Israel e de Judá
JER.5.11	traíram-me por completo.
JER.5.11	Palavra do 
JER.5.12	O povo renegou o 
JER.5.12	«Ele não vale nada. Não haverá problema;
JER.5.12	nem guerra nem fome nos incomodarão!
JER.5.13	As palavras dos 
JER.5.13	o que dizem não vale nada
JER.5.13	e o mal que anunciam só a eles acontece.»
JER.5.14	O 
JER.5.14	«Jeremias, por causa do que este povo tem dito,
JER.5.14	as minhas palavras serão como fogo na tua boca.
JER.5.14	O povo será como madeira, e o fogo os consumirá.
JER.5.15	Eis que vou mandar contra vós um povo de longe,
JER.5.15	para vos atacar, ó Israel!
JER.5.15	É uma nação poderosa e antiga,
JER.5.15	uma nação cuja língua não sabes falar,
JER.5.15	nem percebes o que eles dizem.
JER.5.16	As suas flechas são morte certa
JER.5.16	e todos eles são valentes soldados.
JER.5.17	Devorarão as tuas colheitas e a tua comida;
JER.5.17	matarão os teus filhos e filhas;
JER.5.17	dizimarão os teus rebanhos
JER.5.17	e destruirão as tuas vinhas e figueiras.
JER.5.17	As cidades fortificadas, nas quais pões a tua confiança,
