GEN.1.1	No 
PSA.80.14	Oh! Deus dos Exércitos, volta-te, nós te rogamos, atende dos céus, e vê, e visita esta vinha, 
PSA.80.15	e a videira que a tua destra plantou, e o sarmento que fortificaste para ti! 
PSA.80.16	 queimada pelo fogo, 
PSA.80.17	Seja a tua mão sobre o varão da tua destra, sobre o filho do homem, que fortificaste para ti. 
PSA.80.18	Deste modo, não nos iremos de após ti; guarda-nos em vida, e invocaremos o teu nome. 
PSA.80.19	Faze-nos voltar, 
PSA.81.1	Cantai alegremente a Deus, nossa fortaleza; celebrai o Deus de Jacó. 
PSA.81.2	Tomai o saltério e trazei o adufe, a harpa suave e o alaúde. 
PSA.81.3	Tocai a trombeta na Festa da Lua Nova, no tempo marcado para a nossa solenidade. 
PSA.81.4	Porque 
PSA.81.5	Ordenou-o em José por testemunho, quando saíra contra a terra do Egito, 
PSA.81.6	Tirei de seus ombros a carga; as suas mãos ficaram livres dos cestos. 
PSA.81.7	Clamaste na angústia, e te livrei; respondi-te do lugar oculto dos trovões; 
PSA.81.8	Ouve-me, povo meu, e eu te admoestarei. Ah! Israel, se me ouvisses! 
PSA.81.9	Não haverá entre ti deus alheio, nem te prostrarás ante um deus estranho. 
PSA.81.10	Eu 
PSA.81.11	Mas o meu povo não quis ouvir a minha voz, e Israel não me quis.
PSA.81.12	Pelo que eu os entreguei aos desejos do seu coração, 
PSA.81.13	Ah! Se o meu povo me tivesse ouvido! Se Israel andasse nos meus caminhos! 
PSA.81.14	Em breve eu abateria os seus inimigos e voltaria a minha mão contra os seus adversários. 
PSA.81.15	Os que aborrecem ao 
PSA.81.16	E eu o sustentaria com o trigo mais fino e o saciaria com o mel saído da rocha.
PSA.82.1	Deus está 
PSA.82.2	Até quando julgareis injustamente e respeitareis a aparência da pessoa dos ímpios? (Selá) 
PSA.82.3	Defendei o pobre e o órfão; fazei justiça ao aflito e necessitado. 
PSA.82.4	Livrai o pobre e o necessitado; tirai-os das mãos dos ímpios.
PSA.82.5	Eles nada sabem, nem entendem; andam em trevas; todos os fundamentos da terra vacilam.
PSA.82.6	Eu disse: Vós 
PSA.82.7	Todavia, como homens morrereis e caireis como qualquer dos príncipes.
PSA.82.8	Levanta-te, 
PSA.83.1	Ó Deus, não estejas em silêncio! Não cerres os ouvidos nem fiques impassível, ó Deus! 
PSA.83.2	Porque eis que teus inimigos se alvoroçam, e os que te aborrecem levantaram a cabeça. 
PSA.83.3	Astutamente formam conselho contra o teu povo e conspiram contra os teus protegidos. 
PSA.83.4	Disseram: Vinde, e desarraiguemo-los para que não 
PSA.83.5	Porque à uma se conluiaram; aliaram-se contra ti: 
PSA.83.6	As tendas de Edom, dos ismaelitas, de Moabe, dos agarenos, 
PSA.83.7	de Gebal, de Amom, de Amaleque e a Filístia com os moradores de Tiro. 
PSA.83.8	Também a Assíria se ligou a eles; foram eles o braço dos filhos de Ló. (Selá)
PSA.83.9	Faze-lhes como fizeste a Midiã, como 
PSA.83.10	 foram destruídos em En-Dor; vieram a servir de estrume para a terra. 
PSA.83.11	Faze aos seus nobres como 
PSA.83.12	que disseram: Tomemos para nós, em possessão hereditária, as famosas habitações de Deus.
PSA.83.13	Deus meu, 
PSA.83.14	Como o fogo que queima um bosque, e como a chama que incendeia as 
PSA.83.15	assim persegue-os com a tua tempestade e assombra-os com o teu torvelinho. 
PSA.83.16	Encham-se de vergonha as suas faces, para que busquem o teu nome, 
PSA.83.17	Confundam-se e assombrem-se perpetuamente; envergonhem-se e pereçam. 
PSA.83.18	Para que saibam que tu, a quem só pertence o nome de 
PSA.84.1	Quão amáveis 
PSA.84.2	A minha alma está anelante e desfalece pelos átrios do 
PSA.84.3	Até o pardal encontrou casa, e a andorinha, ninho para si e para a sua prole, junto dos teus altares, 
PSA.84.4	Bem-aventurados os que habitam em tua casa; louvar-te-ão continuamente. (Selá) 
PSA.84.5	Bem-aventurado o homem cuja força está em ti, em cujo coração 
PSA.84.6	o qual, passando pelo vale de 
PSA.84.7	Vão indo de força em força; 
PSA.84.9	Olha, ó Deus, escudo nosso, e contempla o rosto do teu ungido. 
PSA.84.10	Porque vale mais um dia nos teus átrios do que, em outra parte, mil. Preferiria estar à porta da Casa do meu Deus, a habitar nas tendas da impiedade. 
PSA.84.11	Porque o 
PSA.85.1	Abençoaste, 
PSA.85.2	Perdoaste a iniquidade do teu povo; cobriste todos os seus pecados. (Selá) 
PSA.85.3	Fizeste cessar toda a tua indignação; desviaste-te do ardor da tua ira.
PSA.85.4	Torna-nos a trazer, ó Deus da nossa salvação, e retira de sobre nós a tua ira. 
PSA.85.5	Estarás para sempre irado contra nós? Estenderás a tua ira a todas as gerações? 
PSA.85.6	Não tornarás a vivificar-nos, para que o teu povo se alegre em ti? 
PSA.85.7	Mostra-nos, 
PSA.85.8	Escutarei 
PSA.85.9	Certamente que a salvação 
PSA.85.10	A misericórdia 
PSA.85.11	A verdade 
PSA.85.12	Também o 
PSA.85.13	A justiça irá adiante dele, e ele nos fará andar no caminho aberto pelos seus passos.
PSA.86.1	Inclina, 
PSA.86.2	Guarda a minha alma, pois sou santo; ó Deus meu, salva o teu servo, que em ti confia. 
PSA.86.3	Tem misericórdia de mim, ó Senhor, pois a ti clamo todo o dia. 
PSA.86.4	Alegra a alma do teu servo, pois a ti, Senhor, levanto a minha alma. 
PSA.86.5	Pois tu, Senhor, 
PSA.86.6	Dá ouvidos, 
PSA.86.7	No dia da minha angústia, clamarei a ti, porquanto me respondes.
PSA.86.8	Entre os deuses não 
PSA.86.9	Todas 
PSA.86.10	Porque tu 
PSA.86.11	Ensina-me, 
PSA.86.12	Louvar-te-ei, Senhor, Deus meu, com todo o meu coração e glorificarei o teu nome para sempre. 
PSA.86.13	Pois grande 
PSA.86.14	Ó Deus, os soberbos se levantaram contra mim, e as assembleias dos tiranos procuraram a minha morte; e não te puseram perante os seus olhos. 
PSA.86.15	Mas tu, 
PSA.86.16	Volta-te para mim e tem misericórdia de mim; dá a tua fortaleza ao teu servo e salva ao filho da tua serva. 
PSA.86.17	Mostra-me um sinal para bem, para que 
PSA.87.1	O seu fundamento 
PSA.87.2	O 
PSA.87.3	Coisas 
PSA.87.4	Dentre os que me conhecem, farei menção de Raabe e de Babilônia; eis que da Filístia, e de Tiro, e 
PSA.87.5	E de Sião se dirá: Este e aquele nasceram ali; e o mesmo Altíssimo a estabelecerá. 
PSA.87.6	O 
PSA.87.7	E os cantores e tocadores de instrumentos entoarão: Todas as minhas fontes 
PSA.88.2	Chegue a minha oração perante a tua face, inclina os teus ouvidos ao meu clamor.
PSA.88.3	Porque a minha alma está cheia de angústias, e a minha vida se aproxima da sepultura. 
PSA.88.4	Já estou contado com os que descem à cova; estou como um homem sem forças, 
PSA.88.5	posto entre os mortos; como os feridos de morte que jazem na sepultura, dos quais te não lembras mais; antes, os exclui a tua mão. 
PSA.88.6	Puseste-me no mais profundo do abismo, em trevas e nas profundezas. 
PSA.88.7	Sobre mim pesa a tua cólera; tu 
PSA.88.8	Alongaste de mim os meus conhecidos e fizeste-me em extremo abominável para eles; estou fechado e não posso sair. 
PSA.88.9	A minha vista desmaia por causa da aflição. 
PSA.88.10	Mostrarás tu maravilhas aos mortos, ou os mortos se levantarão e te louvarão? (Selá) 
PSA.88.11	Será anunciada a tua benignidade na sepultura, ou a tua fidelidade na perdição? 
PSA.88.12	Saber-se-ão as tuas maravilhas nas trevas, e a tua justiça na terra do esquecimento?
PSA.88.13	Eu, porém, 
PSA.88.14	, por que rejeitas a minha alma? Por que escondes de mim a tua face? 
PSA.88.15	 aflito e prestes a morrer, desde a 
PSA.88.16	A tua ardente indignação sobre mim vai passando; os teus terrores fazem-me perecer. 
PSA.88.17	Como águas me rodeiam todo o dia; cercam-me todos juntos. 
PSA.88.18	Afastaste para longe de mim amigos e companheiros; os meus íntimos amigos agora são trevas.
PSA.89.1	As benignidades do 
PSA.89.2	Pois disse eu: a 
PSA.89.3	Fiz 
PSA.89.4	a tua descendência estabelecerei para sempre e edificarei o teu trono de geração em geração. (Selá)
PSA.89.5	E os céus louvarão as tuas maravilhas, ó 
PSA.89.6	Pois quem no céu se pode igualar ao 
PSA.89.7	Deus deve ser em extremo tremendo na assembleia dos santos e grandemente reverenciado por todos os que o cercam.
PSA.89.8	Ó 
PSA.89.9	Tu dominas o ímpeto do mar; quando as suas ondas se levantam, tu as fazes aquietar. 
PSA.89.10	Tu quebrantaste a Raabe como se fora ferida de morte; espalhaste os teus inimigos com o teu braço poderoso. 
PSA.89.11	Teus 
PSA.89.12	O Norte e o Sul, tu os criaste; o Tabor e o Hermom regozijam-se em teu nome. 
PSA.89.13	Tu tens um braço poderoso; forte é a tua mão, e elevada, a tua destra. 
PSA.89.14	Justiça e juízo 
PSA.89.15	Bem-aventurado o povo que conhece o som festivo; andará, ó 
PSA.89.16	Em teu nome se alegrará todo o dia e na tua justiça se exaltará. 
PSA.89.17	Pois tu 
PSA.89.18	Porque o 
PSA.89.19	Então, em visão falaste do teu santo e disseste: Socorri 
PSA.89.20	Achei a Davi, meu servo; com o meu santo óleo o ungi; 
PSA.89.21	com ele, a minha mão ficará firme, e o meu braço o fortalecerá. 
PSA.89.22	O inimigo não o importunará, nem o filho da perversidade o afligirá. 
PSA.89.23	E eu derribarei os seus inimigos perante a sua face e ferirei os que o aborrecem. 
PSA.89.24	E a minha fidelidade e a minha benignidade 
PSA.89.25	E porei a sua mão no mar e a sua direita, nos rios. 
PSA.89.26	Ele me invocará, 
PSA.89.27	Também por isso lhe darei o lugar de primogênito; fá-lo-ei mais elevado do que os reis da terra. 
PSA.89.28	A minha benignidade lhe guardarei para sempre, e o meu concerto lhe 
PSA.89.29	E conservarei para sempre a sua descendência; e, o seu trono, como os dias do céu. 
PSA.89.30	Se os seus filhos deixarem a minha lei e não andarem nos meus juízos, 
PSA.89.31	se profanarem os meus preceitos e não guardarem os meus mandamentos, 
PSA.89.32	então, visitarei com vara a sua transgressão, e a sua iniquidade, com açoites. 
PSA.89.33	Mas não retirarei totalmente dele a minha benignidade, nem faltarei à minha fidelidade. 
PSA.89.34	Não quebrarei o meu concerto, não alterarei o que saiu dos meus lábios. 
PSA.89.35	Uma vez jurei por minha santidade (não mentirei a Davi). 
PSA.89.36	A sua descendência durará para sempre, e o seu trono será como o sol perante mim; 
PSA.89.37	será estabelecido para sempre como a lua; e a testemunha no céu é fiel. (Selá)
PSA.89.38	Mas tu rejeitaste e aborreceste; tu te indignaste contra o teu ungido. 
PSA.89.39	Abominaste o concerto do teu servo; profanaste a sua coroa, 
PSA.89.40	Derribaste todos os seus muros; arruinaste as suas fortificações. 
PSA.89.41	Todos os que passam pelo caminho o despojam; tornou-se ele o opróbrio dos seus vizinhos. 
PSA.89.42	Exaltaste a destra dos seus adversários; fizeste com que todos os seus inimigos se regozijassem. 
PSA.89.43	Também embotaste o fio da sua espada e não o sustentaste na peleja. 
PSA.89.44	Fizeste cessar o seu esplendor e deitaste por terra o seu trono. 
PSA.89.45	Abreviaste os dias da sua mocidade; cobriste-o de vergonha. (Selá)
PSA.89.46	Até quando, 
PSA.89.47	Lembra-te de quão breves são os meus dias; por que criarias debalde todos os filhos dos homens? 
PSA.89.48	Que homem há, que viva e não veja a morte? Ou que livre a sua alma do poder do 
PSA.89.49	Senhor, onde 
PSA.89.50	Lembra-te, Senhor, do opróbrio dos teus servos; e de 
PSA.89.51	com o qual, 
PSA.89.52	Bendito 
PSA.90.2	Antes 
PSA.90.3	Tu reduzes o homem à destruição; e dizes: 
PSA.90.4	Porque mil anos 
PSA.90.5	Tu os levas como corrente de água; são 
PSA.90.6	de madrugada, cresce e floresce; à tarde, corta-se e seca.
PSA.90.7	Pois somos consumidos pela tua ira e pelo teu furor somos angustiados. 
PSA.90.8	Diante de ti puseste as 
PSA.90.9	Pois todos os nossos dias vão passando na tua indignação; acabam-se os nossos anos como um conto ligeiro. 
PSA.90.10	A duração da nossa vida é de setenta anos, e se alguns, pela sua robustez, chegam a oitenta anos, o melhor deles 
PSA.90.11	Quem conhece o poder da tua ira? E a tua cólera, segundo o temor que te é devido? 
PSA.90.12	Ensina-nos a contar os nossos dias, de tal maneira que alcancemos coração sábio.
PSA.90.13	Volta-te para nós, 
PSA.90.14	Sacia-nos de madrugada com a tua benignidade, para que nos regozijemos e nos alegremos todos os nossos dias. 
PSA.90.15	Alegra-nos pelos dias 
PSA.90.16	Apareça 
PSA.90.17	E seja sobre nós a graça do Senhor, nosso Deus; e confirma sobre nós 
PSA.91.1	Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará. 
PSA.91.2	Direi do 
PSA.91.3	Porque ele te livrará do laço do passarinheiro 
PSA.91.4	Ele te cobrirá com as suas penas, e debaixo das suas asas estarás seguro; a sua verdade é escudo e broquel. 
PSA.91.5	Não temerás espanto noturno, 
PSA.91.6	 peste 
PSA.91.7	Mil cairão ao teu lado, e dez mil, à tua direita, 
PSA.91.8	Somente com os teus olhos olharás e verás a recompensa dos ímpios.
PSA.91.9	Porque tu, ó 
PSA.91.10	Nenhum mal te sucederá, nem praga 
PSA.91.11	Porque aos seus anjos dará ordem a teu respeito, para te guardarem em todos os teus caminhos. 
PSA.91.12	Eles te sustentarão nas suas mãos, para que não tropeces com o teu pé em pedra. 
PSA.91.13	Pisarás o leão e a áspide; calcarás aos pés o filho do leão e a serpente.
PSA.91.14	Pois que tão encarecidamente me amou, também eu o livrarei; pô-lo-ei num alto retiro, porque conheceu o meu nome. 
PSA.91.15	Ele me invocará, e eu lhe responderei; 
PSA.91.16	Dar-lhe-ei abundância de dias e lhe mostrarei a minha salvação.
PSA.92.1	Bom 
PSA.92.2	para de manhã anunciar a tua benignidade e, todas as noites, a tua fidelidade, 
PSA.92.3	sobre 
PSA.92.4	Pois tu, 
PSA.92.5	Quão grandes são, 
PSA.92.6	O homem brutal nada sabe, e o louco não entende isto. 
PSA.92.7	Brotam os ímpios como a erva, e florescem todos os que praticam a iniquidade, mas para serem destruídos para sempre. 
PSA.92.8	Mas tu, 
PSA.92.9	Pois eis que os teus inimigos, 
PSA.92.10	Mas tu exaltarás o meu 
PSA.92.11	Os meus olhos verão cumprido o 
PSA.92.12	O justo florescerá como a palmeira; crescerá como o cedro no Líbano. 
PSA.92.13	Os que estão plantados na Casa do 
PSA.92.14	Na velhice ainda darão frutos; serão viçosos e florescentes, 
PSA.92.15	para anunciarem que o 
PSA.93.1	O 
PSA.93.2	O teu trono 
PSA.93.3	Os rios levantam, ó 
PSA.93.4	 o 
PSA.93.5	Mui fiéis são os teus testemunhos; a santidade convém à tua casa, 
PSA.94.1	Ó 
PSA.94.2	Exalta-te, tu, que és juiz da terra; dá o pago aos soberbos. 
PSA.94.3	Até quando os ímpios, 
PSA.94.5	Reduzem a pedaços o teu povo, 
PSA.94.6	Matam a viúva e o estrangeiro e ao órfão tiram a vida. 
PSA.94.7	E dizem: O 
PSA.94.8	Atendei, ó brutais dentre o povo; e 
PSA.94.9	Aquele que fez o ouvido, não ouvirá? E o que formou o olho, não verá? 
PSA.94.10	Aquele que argui as nações, 
PSA.94.11	O 
PSA.94.12	Bem-aventurado 
PSA.94.13	para lhe dares descanso dos dias maus, até que se abra a cova para o ímpio. 
PSA.94.14	Pois o 
PSA.94.15	Mas o juízo voltará a ser justiça, e hão de segui-lo todos os retos de coração.
PSA.94.16	Quem será por mim contra os malfeitores? Quem se porá ao meu lado contra os que praticam a iniquidade? 
PSA.94.17	Se o 
PSA.94.18	Quando eu disse: O meu pé vacila; a tua benignidade, 
PSA.94.19	Multiplicando-se dentro de mim os meus cuidados, as tuas consolações reanimaram a minha alma.
PSA.94.20	Podia, acaso, associar-se contigo 
PSA.94.21	Acorrem em tropel contra a vida do justo e condenam o sangue inocente. 
PSA.94.22	Mas o 
PSA.94.23	E fará recair sobre eles a sua própria iniquidade; e os destruirá na sua própria malícia; o 
PSA.95.1	Vinde, cantemos ao 
PSA.95.2	Apresentemo-nos ante a sua face com louvores e celebremo-lo com salmos. 
PSA.95.3	Porque o 
PSA.95.4	Nas suas mãos 
PSA.95.5	Seu é o mar, pois ele o fez, e as suas mãos formaram a terra seca.
PSA.95.6	Ó, vinde, adoremos e prostremo-nos! 
PSA.95.7	Porque ele 
PSA.95.7	Se hoje ouvirdes a sua voz, 
PSA.95.8	não endureçais 
PSA.95.9	quando vossos pais me tentaram; provaram-me e viram a minha obra. 
PSA.95.10	Quarenta anos estive desgostado com 
PSA.95.11	Por isso, jurei 
PSA.96.1	Cantai ao 
PSA.96.2	Cantai ao 
PSA.96.3	Anunciai entre as nações a sua glória; entre todos os povos, as suas maravilhas. 
PSA.96.4	Porque grande 
PSA.96.5	Porque 
PSA.96.6	Glória e majestade 
PSA.96.7	Dai ao 
PSA.96.8	Dai ao 
PSA.96.9	Adorai ao 
PSA.96.10	Dizei entre as nações: O 
PSA.96.11	Alegrem-se os céus, e regozije-se a terra: brame o mar e a sua plenitude. 
PSA.96.12	Alegre-se o campo com tudo o que 
PSA.96.13	ante a face do 
PSA.97.1	O 
PSA.97.2	Nuvens 
PSA.97.3	Adiante dele vai um fogo que 
PSA.97.4	Os seus relâmpagos alumiam o mundo; a terra viu e tremeu. 
PSA.97.5	Os montes 
PSA.97.6	Os céus anunciam a sua justiça, e todos os povos veem a sua glória.
PSA.97.7	Confundidos sejam todos os que servem a imagens de escultura, que se gloriam de ídolos inúteis; prostrai-vos diante dele todos os deuses. 
PSA.97.8	Sião ouviu e se alegrou; e os filhos de Judá se alegraram por causa da tua justiça, ó 
PSA.97.9	Pois tu, 
PSA.97.10	Vós que amais ao 
PSA.97.11	A luz semeia-se para o justo, e a alegria, para os retos de coração. 
PSA.97.12	Alegrai-vos, ó justos, no 
PSA.98.1	Cantai ao 
PSA.98.2	O 
PSA.98.3	Lembrou-se da sua benignidade e da sua verdade para com a casa de Israel; todas as extremidades da terra viram a salvação do nosso Deus.
PSA.98.4	Celebrai com júbilo ao 
PSA.98.5	Cantai louvores ao 
PSA.98.6	Com trombetas e som de buzinas, exultai perante a face do 
PSA.98.7	Brame o mar e a sua plenitude; o mundo e os que nele habitam. 
PSA.98.8	Os rios 
PSA.98.9	perante a face do 
PSA.99.1	O 
PSA.99.2	O 
PSA.99.3	Louvem o teu nome, grande e tremendo, 
PSA.99.4	E a força do Rei ama o juízo; tu firmas a equidade, fazes juízo e justiça em Jacó. 
PSA.99.5	Exaltai ao 
PSA.99.6	Moisés 
PSA.99.7	Na coluna de nuvem lhes falava; eles guardavam os seus testemunhos e os estatutos 
