GEN.1.1	No princípio, criou Deus os céus e a terra. 
ISA.40.11	Como pastor, apascentará o seu rebanho; entre os seus braços recolherá os cordeirinhos e os levará no seio; as que amamentam ele guiará mansamente.
ISA.40.12	Quem na concha de sua mão mediu as águas e tomou a medida dos céus a palmos? Quem recolheu na terça parte de um efa o pó da terra e pesou os montes em romana e os outeiros em balança de precisão? 
ISA.40.13	Quem guiou
ISA.40.14	Com quem tomou ele conselho, para que lhe desse compreensão? Quem o instruiu na vereda do juízo, e lhe ensinou sabedoria, e lhe mostrou o caminho de entendimento? 
ISA.40.15	Eis que as nações são consideradas por ele como um pingo que cai de um balde e como um grão de pó na balança; as ilhas são como pó fino que se levanta. 
ISA.40.16	Nem todo o Líbano basta para queimar, nem os seus animais, para um holocausto. 
ISA.40.17	Todas as nações são perante ele como coisa que não é nada; ele as considera menos do que nada, como um vácuo. 
ISA.40.18	Com quem comparareis a Deus? Ou que coisa semelhante confrontareis com ele?
ISA.40.19	O artífice funde a imagem, e o ourives a cobre de ouro e cadeias de prata forja para ela. 
ISA.40.20	O sacerdote idólatra escolhe madeira que não se corrompe e busca um artífice perito para assentar uma imagem esculpida que não oscile.
ISA.40.21	Acaso, não sabeis? Porventura, não ouvis? Não vos tem sido anunciado desde o princípio? Ou não atentastes para os fundamentos da terra? 
ISA.40.22	Ele é o que está assentado sobre a redondeza da terra, cujos moradores são como gafanhotos; é ele quem estende os céus como cortina e os desenrola como tenda para neles habitar; 
ISA.40.23	é ele quem reduz a nada os príncipes e torna em nulidade os juízes da terra. 
ISA.40.24	Mal foram plantados e semeados, mal se arraigou na terra o seu tronco, já se secam, quando um sopro passa por eles, e uma tempestade os leva como palha.
ISA.40.25	A quem, pois, me comparareis para que eu lhe seja igual? — diz o Santo. 
ISA.40.26	Levantai ao alto os olhos e vede. Quem criou estas coisas? Aquele que faz sair o seu exército de estrelas, todas bem-contadas, as quais ele chama pelo nome; por ser ele grande em força e forte em poder, nem uma só vem a faltar. 
ISA.40.27	Por que, pois, dizes, ó Jacó, e falas, ó Israel: O meu caminho está encoberto ao 
ISA.40.28	Não sabes, não ouviste que o eterno Deus, o 
ISA.40.29	Faz forte ao cansado e multiplica as forças ao que não tem nenhum vigor. 
ISA.40.30	Os jovens se cansam e se fatigam, e os moços de exaustos caem, 
ISA.40.31	mas os que esperam no 
ISA.41.1	Calai-vos perante mim, ó ilhas, e os povos renovem as suas forças; cheguem-se e, então, falem; cheguemo-nos e pleiteemos juntos. 
ISA.41.2	Quem suscitou do Oriente aquele a cujos passos segue a vitória? Quem faz que as nações se lhe submetam, e que ele calque aos pés os reis, e com a sua espada os transforme em pó, e com o seu arco, em palha que o vento arrebata? 
ISA.41.3	Persegue-os e passa adiante em segurança, por uma vereda que seus pés jamais trilharam. 
ISA.41.4	Quem fez e executou tudo isso? Aquele que desde o princípio tem chamado as gerações à existência, eu, o 
ISA.41.5	Os países do mar viram isto e temeram, os fins da terra tremeram, aproximaram-se e vieram. 
ISA.41.6	Um ao outro ajudou e ao seu próximo disse: Sê forte.
ISA.41.7	Assim, o artífice anima ao ourives, e o que alisa com o martelo, ao que bate na bigorna, dizendo da soldadura: Está bem-feita. Então, com pregos fixa o ídolo para que não oscile.
ISA.41.8	Mas tu, ó Israel, servo meu, tu, Jacó, a quem elegi, descendente de Abraão, meu amigo,
ISA.41.9	tu, a quem tomei das extremidades da terra, e chamei dos seus cantos mais remotos, e a quem disse: Tu és o meu servo, eu te escolhi e não te rejeitei, 
ISA.41.10	não temas, porque eu sou contigo; não te assombres, porque eu sou o teu Deus; eu te fortaleço, e te ajudo, e te sustento com a minha destra fiel. 
ISA.41.11	Eis que envergonhados e confundidos serão todos os que estão indignados contra ti; serão reduzidos a nada, e os que contendem contigo perecerão. 
ISA.41.12	Aos que pelejam contra ti, buscá-los-ás, porém não os acharás; serão reduzidos a nada e a coisa de nenhum valor os que fazem guerra contra ti. 
ISA.41.13	Porque eu, o 
ISA.41.14	Não temas, ó vermezinho de Jacó, povozinho de Israel; eu te ajudo, diz o 
ISA.41.15	Eis que farei de ti um trilho cortante e novo, armado de lâminas duplas; os montes trilharás, e moerás, e os outeiros reduzirás a palha. 
ISA.41.16	Tu os padejarás, e o vento os levará, e redemoinho os espalhará; tu te alegrarás no 
ISA.41.17	Os aflitos e necessitados buscam águas, e não as há, e a sua língua se seca de sede; mas eu, o 
ISA.41.18	Abrirei rios nos altos desnudos e fontes no meio dos vales; tornarei o deserto em açudes de águas e a terra seca, em mananciais. 
ISA.41.19	Plantarei no deserto o cedro, a acácia, a murta e a oliveira; conjuntamente, porei no ermo o cipreste, o olmeiro e o buxo, 
ISA.41.20	para que todos vejam e saibam, considerem e juntamente entendam que a mão do 
ISA.41.21	Apresentai a vossa demanda, diz o 
ISA.41.22	Trazei e anunciai-nos as coisas que hão de acontecer; relatai-nos as profecias anteriores, para que atentemos para elas e saibamos se se cumpriram; ou fazei-nos ouvir as coisas futuras. 
ISA.41.23	Anunciai-nos as coisas que ainda hão de vir, para que saibamos que sois deuses; fazei bem ou fazei mal, para que nos assombremos, e juntamente o veremos. 
ISA.41.24	Eis que sois menos do que nada, e menos do que nada é o que fazeis; abominação é quem vos escolhe.
ISA.41.25	Do Norte suscito a um, e ele vem, a um desde o nascimento do sol, e ele invocará o meu nome; pisará magistrados como lodo e como o oleiro pisa o barro. 
ISA.41.26	Quem anunciou isto desde o princípio, a fim que o possamos saber, antecipadamente, para que digamos: É isso mesmo? Mas não há quem anuncie, nem tampouco quem manifeste, nem ainda quem ouça as vossas palavras. 
ISA.41.27	Eu sou o que primeiro disse a Sião: Eis! Ei-los aí! E a Jerusalém dou um mensageiro de boas-novas. 
ISA.41.28	Quando eu olho, não há ninguém; nem mesmo entre eles há conselheiro a quem eu pergunte, e me responda. 
ISA.41.29	Eis que todos são nada; as suas obras são coisa nenhuma; as suas imagens de fundição, vento e vácuo.
ISA.42.1	Eis aqui o meu servo, a quem sustenho; o meu escolhido, em quem a minha alma se compraz;
ISA.42.2	Não clamará, nem gritará, nem fará ouvir a sua voz na praça. 
ISA.42.3	Não esmagará a cana quebrada, nem apagará a torcida que fumega; em verdade, promulgará o direito. 
ISA.42.4	Não desanimará, nem se quebrará até que ponha na terra o direito; e as terras do mar aguardarão a sua doutrina.
ISA.42.5	Assim diz Deus, o 
ISA.42.6	Eu, o 
ISA.42.7	para abrires os olhos aos cegos, para tirares da prisão o cativo e do cárcere, os que jazem em trevas. 
ISA.42.8	Eu sou o 
ISA.42.9	Eis que as primeiras predições já se cumpriram, e novas coisas eu vos anuncio; e, antes que sucedam, eu vo-las farei ouvir.
ISA.42.10	Cantai ao 
ISA.42.11	Alcem a voz o deserto, as suas cidades e as aldeias habitadas por Quedar; exultem os que habitam nas rochas e clamem do cimo dos montes; 
ISA.42.12	deem honra ao 
ISA.42.13	O 
ISA.42.14	Por muito tempo me calei, estive em silêncio e me contive; mas agora darei gritos como a parturiente, e ao mesmo tempo ofegarei, e estarei esbaforido. 
ISA.42.15	Os montes e outeiros devastarei e toda a sua erva farei secar; tornarei os rios em terra firme e secarei os lagos. 
ISA.42.16	Guiarei os cegos por um caminho que não conhecem, fá-los-ei andar por veredas desconhecidas; tornarei as trevas em luz perante eles e os caminhos escabrosos, planos. Estas coisas lhes farei e jamais os desampararei. 
ISA.42.17	Tornarão atrás e confundir-se-ão de vergonha os que confiam em imagens de escultura e às imagens de fundição dizem: Vós sois nossos deuses.
ISA.42.18	Surdos, ouvi, e vós, cegos, olhai, para que possais ver. 
ISA.42.19	Quem é cego, como o meu servo, ou surdo, como o meu mensageiro, a quem envio? Quem é cego, como o meu amigo, e cego, como o servo do 
ISA.42.20	Tu vês muitas coisas, mas não as observas; ainda que tens os ouvidos abertos, nada ouves. 
ISA.42.21	Foi do agrado do 
ISA.42.22	Não obstante, é um povo roubado e saqueado; todos estão enlaçados em cavernas e escondidos em cárceres; são postos como presa, e ninguém há que os livre; por despojo, e ninguém diz: Restitui. 
ISA.42.23	Quem há entre vós que ouça isto? Que atenda e ouça o que há de ser depois? 
ISA.42.24	Quem entregou Jacó por despojo e Israel, aos roubadores? Acaso, não foi o 
ISA.42.25	Pelo que derramou sobre eles o furor da sua ira e a violência da guerra; isto lhes ateou fogo ao redor, contudo, não o entenderam; e os queimou, mas não fizeram caso.
ISA.43.1	Mas agora, assim diz o 
ISA.43.2	Quando passares pelas águas, eu serei contigo; quando, pelos rios, eles não te submergirão; quando passares pelo fogo, não te queimarás, nem a chama arderá em ti. 
ISA.43.3	Porque eu sou o 
ISA.43.4	Visto que foste precioso aos meus olhos, digno de honra, e eu te amei, darei homens por ti e os povos, pela tua vida. 
ISA.43.5	Não temas, pois, porque sou contigo; trarei a tua descendência desde o Oriente e a ajuntarei desde o Ocidente. 
ISA.43.6	Direi ao Norte: entrega! E ao Sul: não retenhas! Trazei meus filhos de longe e minhas filhas, das extremidades da terra, 
ISA.43.7	a todos os que são chamados pelo meu nome, e os que criei para minha glória, e que formei, e fiz.
ISA.43.8	Traze o povo que, ainda que tem olhos, é cego e surdo, ainda que tem ouvidos. 
ISA.43.9	Todas as nações, congreguem-se; e, povos, reúnam-se; quem dentre eles pode anunciar isto e fazer-nos ouvir as predições antigas? Apresentem as suas testemunhas e por elas se justifiquem, para que se ouça e se diga: Verdade é! 
ISA.43.10	Vós sois as minhas testemunhas, diz o 
ISA.43.11	Eu, eu sou o 
ISA.43.12	Eu anunciei salvação, realizei-a e a fiz ouvir; deus estranho não houve entre vós, pois vós sois as minhas testemunhas, diz o 
ISA.43.13	Ainda antes que houvesse dia, eu era; e nenhum há que possa livrar alguém das minhas mãos; agindo eu, quem o impedirá?
ISA.43.14	Assim diz o 
ISA.43.15	Eu sou o 
ISA.43.16	Assim diz o 
ISA.43.17	o que fez sair o carro e o cavalo, o exército e a força — jazem juntamente lá e jamais se levantarão; estão extintos, apagados como uma torcida. 
ISA.43.18	Não vos lembreis das coisas passadas, nem considereis as antigas. 
ISA.43.19	Eis que faço coisa nova, que está saindo à luz; porventura, não o percebeis? Eis que porei um caminho no deserto e rios, no ermo. 
ISA.43.20	Os animais do campo me glorificarão, os chacais e os filhotes de avestruzes; porque porei águas no deserto e rios, no ermo, para dar de beber ao meu povo, ao meu escolhido, 
ISA.43.21	ao povo que formei para mim, para celebrar o meu louvor.
ISA.43.22	Contudo, não me tens invocado, ó Jacó, e de mim te cansaste, ó Israel. 
ISA.43.23	Não me trouxeste o gado miúdo dos teus holocaustos, nem me honraste com os teus sacrifícios; não te dei trabalho com ofertas de manjares, nem te cansei com incenso. 
ISA.43.24	Não me compraste por dinheiro cana aromática, nem com a gordura dos teus sacrifícios me satisfizeste, mas me deste trabalho com os teus pecados e me cansaste com as tuas iniquidades. 
ISA.43.25	Eu, eu mesmo, sou o que apago as tuas transgressões por amor de mim e dos teus pecados não me lembro. 
ISA.43.26	Desperta-me a memória; entremos juntos em juízo; apresenta as tuas razões, para que possas justificar-te. 
ISA.43.27	Teu primeiro pai pecou, e os teus guias prevaricaram contra mim. 
ISA.43.28	Pelo que profanarei os príncipes do santuário; e entregarei Jacó à destruição e Israel, ao opróbrio.
ISA.44.1	Agora, pois, ouve, ó Jacó, servo meu, ó Israel, a quem escolhi. 
ISA.44.2	Assim diz o 
ISA.44.3	Porque derramarei água sobre o sedento e torrentes, sobre a terra seca; derramarei o meu Espírito sobre a tua posteridade e a minha bênção, sobre os teus descendentes; 
ISA.44.4	e brotarão como a erva, como salgueiros junto às correntes das águas. 
ISA.44.5	Um dirá: Eu sou do 
ISA.44.6	Assim diz o 
ISA.44.7	Quem há, como eu, feito predições desde que estabeleci o mais antigo povo? Que o declare e o exponha perante mim! Que esse anuncie as coisas futuras, as coisas que hão de vir! 
ISA.44.8	Não vos assombreis, nem temais; acaso, desde aquele tempo não vo-lo fiz ouvir, não vo-lo anunciei? Vós sois as minhas testemunhas. Há outro Deus além de mim? Não, não há outra Rocha que eu conheça.
ISA.44.9	Todos os artífices de imagens de escultura são nada, e as suas coisas preferidas são de nenhum préstimo; eles mesmos são testemunhas de que elas nada veem, nem entendem, para que eles sejam confundidos. 
ISA.44.10	Quem formaria um deus ou fundiria uma imagem de escultura, que é de nenhum préstimo? 
ISA.44.11	Eis que todos os seus seguidores ficariam confundidos, pois os mesmos artífices não passam de homens; ajuntem-se todos e se apresentem, espantem-se e sejam, à uma, envergonhados.
ISA.44.12	O ferreiro faz o machado, trabalha nas brasas, forma um ídolo a martelo e forja-o com a força do seu braço; ele tem fome, e a sua força falta, não bebe água e desfalece. 
ISA.44.13	O artífice em madeira estende o cordel e, com o lápis, esboça uma imagem; alisa-a com plaina, marca com o compasso e faz à semelhança e beleza de um homem, que possa morar em uma casa. 
ISA.44.14	Um homem corta para si cedros, toma um cipreste ou um carvalho, fazendo escolha entre as árvores do bosque; planta um pinheiro, e a chuva o faz crescer. 
ISA.44.15	Tais árvores servem ao homem para queimar; com parte de sua madeira se aquenta e coze o pão; e também faz um deus e se prostra diante dele, esculpe uma imagem e se ajoelha diante dela. 
ISA.44.16	Metade queima no fogo e com ela coze a carne para comer; assa-a e farta-se; também se aquenta e diz: Ah! Já me aquento, contemplo a luz. 
ISA.44.17	Então, do resto faz um deus, uma imagem de escultura; ajoelha-se diante dela, prostra-se e lhe dirige a sua oração, dizendo: Livra-me, porque tu és o meu deus. 
ISA.44.18	Nada sabem, nem entendem; porque se lhes grudaram os olhos, para que não vejam, e o seu coração já não pode entender. 
ISA.44.19	Nenhum deles cai em si, já não há conhecimento nem compreensão para dizer: Metade queimei e cozi pão sobre as suas brasas, assei sobre elas carne e a comi; e faria eu do resto uma abominação? Ajoelhar-me-ia eu diante de um pedaço de árvore? 
ISA.44.20	Tal homem se apascenta de cinza; o seu coração enganado o iludiu, de maneira que não pode livrar a sua alma, nem dizer: Não é mentira aquilo em que confio?
ISA.44.21	Lembra-te destas coisas, ó Jacó, ó Israel, porquanto és meu servo! Eu te formei, tu és meu servo, ó Israel; não me esquecerei de ti. 
ISA.44.22	Desfaço as tuas transgressões como a névoa e os teus pecados, como a nuvem; torna-te para mim, porque eu te remi. 
ISA.44.23	Regozijai-vos, ó céus, porque o 
ISA.44.24	Assim diz o 
ISA.44.25	que desfaço os sinais dos profetizadores de mentiras e enlouqueço os adivinhos; que faço tornar atrás os sábios, cujo saber converto em loucuras;
