MRK.1.1	Eiwa God da Mai, Yesu Keriso,
LUK.17.27	Iji matubé ainda embomaimi indari injido kundo eite, aro jipeiri, iu jipeiri, ango ero, deguta gumbiri Noah un ma bajina, dao aki tedo esitera, ainda totorisina. Edo un dauma gundo embo berari mada torae, awa usibesi esisina.
LUK.17.28	“Awa dá ango Lot da degutade. Embomaimi indari injido kundo eite, roviravi mina piya edo ori eite, indari ve uredo eite, oromando gamundo esitera. 
LUK.17.29	Ata deguta ainde Lot ae ainda orobe de nasi Sodom awa dodo idegetero, God mi esiri niyao ae ganuma beriberi eiri ainde utuda edo wotedo, embo berari nasi ainda Lot mi doturisina awa usibesi esisina.
LUK.17.30	“Dá ango rorae berari awa matu dá isima edo esisina ango, embo awamaneda udojipapa eiaro deguta nonde na, Embo da Mai, tekago butuda gumana. 
LUK.17.31	Aindabé, iji inono itae deguta ainde, embo da ave ainda garauda isira, ami tumundo torido ainda gaiapa mando doda awa bari tao ae. Dá ango, embo ave ainda indari buroda eira, ami tenda egenembedo maundo ainda mandoda rorae da ro bainyae. 
LUK.17.32	Lot da aro buro ro esisini awa kotembewo! Imo God kera ae wareregedo Sodom nasi awa jisimi gosisina. Awatedo imo boite besisina.
LUK.17.33	Embo da aimi ainda wasiri toregain jipapa aina, awa dadoegaina. Edo embo da aimi ainda wasiri dadoegaina, awa toregedo dedegaina. 
LUK.17.34	Na imondemane tena, muyaende awa arode iude besida dada aviaro, God mi da (1) budo nei dowaina. 
LUK.17.35	Edo eutumai tote (2) awa aedade indari siya eiaro, God mi eutu da (1) budo nei dowaina. 
LUK.17.36	Edo embo tote (2) awa aedade indari buroda eiaro God mi embo da (1) budo nei dowaina.”
LUK.17.37	Ango tesiri ambodanimi tedogositera, “Badari, yai nonda idegaini?”
LUK.17.37	Edo ami awamanede sisina, “Yai nonda betari tamo isira. Ni barupimane yai ainda dada aro gawa.”
LUK.18.1	Ango edo Yesu mi eniya ge da (1) sisina ainda ambodanide, ami atopatari awamane iji berari benunu torote edo do durainyae. 
LUK.18.2	Ami sisina: “Nasi da (1) ainda buriya katari embo isima edo esisina. Embo awa God tou ari itae edo daedo emboda buro ro jipapa era awa kondade ae edo esisina. 
LUK.18.3	Edo daedo nasi ainda eutu rori isima edo esisina. Edo ainda gitopo embomi ainde jimbo beyae esisina. Awatedo, eutu ami buriya katari emboda yai gundo tedo esisina, ‘Bouga nato eiwa inemi ato dambu dararate jipapa ena, nato gitopo emboda yai.’
LUK.18.4	“Edo iji nenei ango awa, imo buro ari jipapa ae esisina. Ata ainda amboda, imo akuta kotembesisina, ‘Na God tou ae, emboda jipapa kera ae edo ena. 
LUK.18.5	Awarata, aindabé, eutu rori owa iji matawa nato yai gundo ge teuri dengoro memesi edo eira, awatedo, kondade ano ainda jipapa dambu daraina!’”
LUK.18.6	Edo Badari mi sisina, “Davebé edo ingiwo buriya katari embo beyae omi ro sisini. 
LUK.18.7	Edo God mi ainda gerari mamaimi katari ro, sipode turode dambu dararate benunu tedo era awa ae, dowainita? 
LUK.18.8	Nane imondemane tena, God mi awamane katari ro dambu dararate tedo era awa burigibé aina. Ata na, Embo da Mai, tekago overegedo butuda gumana amo, embomi na bé tumonda eite itera ango tamanita?”
LUK.18.9	Edo daedo, Yesu mi eniya ge nei eiwa sisina, embomai aimi awamane akuta wasiri dambu darari God da jisida edo era site, embo nenei jisi tuda edo gido era ainde. 
LUK.18.10	Ango tedo sisina: “Embo tote (2) Judah embomainda oro kotopu bajinada visido maunsitera, God da yai benunu tain. Embo da (1) awa Parasi edo nei awa tax kumbari embo. 
LUK.18.11	Edo Parasi petedo imo akuta benunu engo sisina, ‘God na imo ategetena awa, na embo nenei ango ae. Na motou aede, na buro bebegae aede, edo na ipuda aede. Na imo ategetena awa, na embo oure, ganu kumbari embo ango ae. 
LUK.18.12	Na pura da (1) ainda doda, iji tote (2) awa indari indae veta edo ena. Edo rorae berari na budo ena, ainda ajigari 10, awa avigedo da (1) imonde piedo ena.’
LUK.18.13	“Ata tax kumbari embo awa aikamanabé peposisina. Ami inonobé ae iji tupobé pangedo jisi utuda piari. Ata ainda ipa umbutu edo opopoda doreite sisina, ‘God, na, jimbo beyae embo, do ewasi!’”
LUK.18.14	Edo Yesu mi sisina, “Nane imondemane tena, benunu tedo itae edo mandoda maunsitera ainda amboda, tax kumbari embo awa wasiri dambu darari God da jisida. God mi embo ainda jimbo beyae kotembedo dosiri itae esisina. Ata Parasi ae. Awatedo, embo aimi ainda dao akuta jiari vitaina awa, God mi piari wotaina. Edo embo aimi ainda dao akuta piari wotaina awa, God mi jiari vitaina.”
LUK.18.15	Edo daedo embomaimi Yesu da yai mamai amibeda awa kundo guputera ami ipa tamonda piedo benunu tarate, God da ao ari awa embo. Ango ero ambodanimi awa gido ango eorekae aimamo isimbesitera. 
LUK.18.16	Ata Yesu mi mai babaingae dao tedo ainda yai gumborote tedo sisina, “Mai babaingae engiregeove! Dowo, nato yai gumbore. Aindabé, embo God tumonda edo era dá mai babaingae engogo awa God da gisijiarida itera. 
LUK.18.17	Awara! Ge ro boroko imondemane tena, eiwa giwo! Embo da aimi God mi gisijiarate jipapa eira awa, ainda gumbari ategedo kumaina, dá mai saka ango. Edo ango ainyae gido awa, God da gisijiarida mana toraina.”
LUK.18.18	Edo Judah embomainda gisijiari da (1)mi tedogosisina, “Atopatari, imo awa embo dave. Na buro nongo edo awa wasiri natopo itari bani?”
LUK.18.19	Edo Yesu mi embo ainde sisina, “Ro awa embo na dave tesi? Embo berari awa dave da (1) itae, ata God akuta. 
LUK.18.20	Imo God da ge okain berari sisina awa gari: ‘Ipuda eote, dato beteure, beono eote, ge pitawa teote, ito aimamo tou edo eyo.’”
LUK.18.21	Ango tesiri embo ami mina sisina, “Na tuturoda mai sakade ge okain berari teteta awa kera eite gundo boroko matawa eite itena.”
LUK.18.22	Iji ainde Yesu ge awa ingido ami embo ainde mina sisina, “Imo buro da (1) bé isira awa ata. Ito rorae berari awa pieyo embo neimi oriaro ganu awa kundo maundo embomai rorae isisigaede avigekavige edo piate, edo gaiapabé utuda bata. Ango edo gumbuyo, na ambo ambo ate.”
LUK.18.23	Ata embo awa gaiapa jiwaede, awatedo, iji ainde ge awa ingido imo duboveverabé esisina. 
LUK.18.24	Ango edo Yesu embo awa duboveverabé eiri gido sisina, “Embomai gaiapa jiwaedemi God da gisijiarida torari awa okain bé tambara! 
LUK.18.25	Edo wo bajina kamelo mi gongo gaiari ninou toda torari okain tamaina gido, gaiapa embomi God da gisijiarida torari bé okain bé tamaina.”
LUK.18.26	Edo embomaimi ge awa ingido tedogositera, “Embo bé aimi God da tonembari baini?”
LUK.18.27	Ango tetero Yesu mi sisina, “Buro ro embo enembomi ari tao ae awa, God mi ari tao.”
LUK.18.28	Edo Peter mi sisina, “Giyo! Nakare rorae berari dodo guputera, imo ambo ambo edo era.”
LUK.18.29	Ango tesiri Yesu mi awamanede sisina, “Awara! Edo ge ro boroko imondemane tena, eiwa giwo! Embo da aimi ainda mando, aimamo ae nanonameji de, ritako aro ae mamai de dodo God da gisijiari awa embo maunsira awa, 
LUK.18.30	embo ami iji borokoda rorae jiwaebé jiwae baina. Edo iji amboda gumaina ainde, ami wasiri natopo itari baina.”
LUK.18.31	Ango edo Yesu ainda embobo 12 awa kundo demonda doregedo sisina, “Giwo! Kaena awa Jerusalem vivitera. Edo ro berari Embo da Mai da yai peroveta manemi gaguritera awa gundo bé aina. 
LUK.18.32	Edo na kundo yai nei embomainda ipada piaro namonde tedojirari ge tara. Edo awamanemi ge butari tedo na kosiwa ara. 
LUK.18.33	Edo na vededo daro betana. Ango aro deguta tamonde (3) ainda awa, na tekago erana.”
LUK.18.34	Ata ambodani, ge ro berari sira awa awamaneda yai arapa ae. Ge sira, ainda mokabé onjigesisina, awatedo, gain daritera.
LUK.18.35	Ango edo Yesu ae embobode gundo Jeriko nasi aikae ero, embo jisiguba ari da (1) awa begata demonda anumbedo ganu benunu site isiri guputera. 
LUK.18.36	Iji ainde embo jiwaebé gundo imo daginegedo maunsite ge tera awa ingido ami tedogosisina, “Eiwa buro rori? Tewavi gane.”
LUK.18.37	Ango tesiri awamanemi ainde sitera, “Yesu Nasaret Embo ami gundo imo daginegesite maunsira.”
LUK.18.38	Edo embo ami dao sisina, “Yesu, David da Mai, na do ewasi!”
LUK.18.39	Edo avekave gisi mauntera ami, embo awa isimbedo ge dowarate sitera. Ata embo ami ikanadebé dao tedo esisina, “David da Mai, na do ewasi!”
LUK.18.40	Awatedo, Yesu petedo dapisina, edo ge okain sisina, embo jisiguba ari awa ainda yai kundo gumborote. Iji nonde embo awa kundo gundo aikae atutumbetero, Yesu mi embo ainde tedogosisina, 
LUK.18.41	“Nane imonde buro ro anate jipapa esi?”
LUK.18.41	Edo ami sisina, “Badari, na ine ato jisi dave ari yai gain tena.”
LUK.18.42	Edo, Yesu mi ainde sisina, “Awara, jisi gundedo yai gi! God mi ito gebé ari nato yai pieteta ami imo esiri kaviyegeteta.” 
LUK.18.43	Edo burigibé ainda jisi dave esiri Yesu da amboda maunteite God dasiga esisina. Edo iji nonde embomai berari buro awa gido, awamane daedo God dasiga esitera.
LUK.19.1	Ango edo Yesu Jeriko nasida torido matawa pepeta eite maunsisina. 
LUK.19.2	Nasi ainda embo da (1) isinesina. Ainda dao Zacchaeus. Embo awa tax kumbari emboboda gisijiari. Edo embo awa gaiapa jiwaebéde. 
LUK.19.3	Embo ami Yesu averi awa gain jipapabé esisina, ata imo tupo sakabé edo embomai jisi bajinabé doregesitera. Awatedo, embo awa Yesu gari tao ae esisina. 
LUK.19.4	Ata, imo goteira, Yesu begata awa budo maunsira, awatedo, Yesu gumbae gisida imo tumundo maundo ni dugada ainyedo vivisisina, ainda isite Yesu gumbari gain.
LUK.19.5	Edo Yesu gundo yai nonda Zacchaeus isiri ainda edo imo pangedo embo awa gido sisina, “Zacchaeus, woteyo burigibé. Na tumba boroko awa ito mandoda awana.” 
LUK.19.6	Ango tesiri Zacchaeus dubodavemi do ato ae esiri burigibé wotedo Yesu ainda mandoda jipusina.
LUK.19.7	Ango edo embomai berari doregesitera ami buro awa gido guguma gaguma sitera, “Embo beyaeda mandoda Yesu itain mambira.”
LUK.19.8	Ata, Yesu ainda mandoda gumbiri, Zacchaeus erido petedo Badari de sisina, “Ingiyo Badari! Na imonde tarigari tena. Nato gaiapa kupo awa embomai rorae isisigaede piana. Edo embomai udumbedo ro budo esitena, awamaneda gaiapa mina tega inono ipa ao pasido (4) piano bara.”
LUK.19.9	Edo Yesu mi embo ainde sisina, “Aindabé, ito tumonda ari God da yai pieteta dá Abraham mi God tumonda esisina ango, God da tonembari boroko gumbira imo ae embomai mando einda itera aindeda yai. 
LUK.19.10	Aindabé, na, Embo da Mai guputena awa, embomai avekave dadoegari awa kakowa edo awamane tonemain.”
LUK.19.11	Edo iji angode embomai avekavemi Yesu de daedo mauntero ami ge eiwa siri ingitera. Edo aindabé Yesu Jerusalem atutumbeteite awamanemi kotembesitera awa imo nasi ainda awamaneda daotari boraebé aina. Awatedo, eniya ge nei awamanede sisina. 
LUK.19.12	Ango edo ami sisina: “Yaida davemainda orobeda maimi yai aikebéda maunsisina, gisijiari bajinami ainda daotarida dero avigarate. Ainda amboda imo tekago overegedo gumaina, ainda nasi embomai gisijiarate. 
LUK.19.13	Awatedo, imo ainda buro embobo ajigari 10 awa dao tesiri ainda yai guputera. Edo ami ganu gold ajigari 10 avigekavige edo awamanede ganu gold
LUK.19.14	“Ata ainda nasi embomai bé ami embo ainde sinigambari edo esitera. Awatedo, awamaneda ge tari embobo nenei pietero gisijiari bajinada yai maunsitera. Awamane bino eiwa kundo guputera, ‘Embo emi natokare daotari ari awa jipapa ae era!’
LUK.19.15	“Ata imo daotarida dero budo egenembesisina, ainda nasida. Ango edo imo buro embobo ajigari 10 awa tesiri ainda yai guputera, ganu tega bé ro inge awamanemi jigamo edo buriteri awa gain.
LUK.19.16	“Buro embo tuturoda ami gundo sisina, ‘Badarari, ganu gold ito awa jigamo edo ganu nei ajigari 10 etena.’
LUK.19.17	“Ango tesiri badararimi ainde sisina, ‘Buro davebé eteta! Imo buro embo dave. Aindabé imo na tou eite buro dave ganu tega sakabé ami eteta, awatedo, nane boroko imonde awara tari pipitena, embomai nasi babain ajigari 10 ainda itera awa gisijiata.’
LUK.19.18	“Edo buro embo nei da (1) ami gundo sisina, ‘Badarari, ganu gold ito awa jigamo edo ganu nei ipa da (5) etena!’
LUK.19.19	“Edo badararimi embo ainde ge dá ango sisina, ‘Imo daedo buro davebé eteta! Awatedo, imo embomai nasi babain ipa da (5) ainda itera awa gisi jiata.’
LUK.19.20	“Ango edo buro embo nei da (1) ami gundo sisina, ‘Badarari, ganu gold da (1) ito awa evire. Nane gongo gisimi doiedo onjigedo sima edo esitena. 
LUK.19.21	Na gido ena, imo awa embo okain. Imo embo neinda rorae budo eta. Edo rorae ito urari ae awa budo eta. Awatedo, imo adu esitena.’
LUK.19.22	“Edo badararimi ainde sisina, ‘Be itoda ge idegeteira ami sira awa, imo awa embo beyae. Imo arapabé gido eta, na awa embo okain. Embo neinda rorae budo ena. Edo rorae nato urari ae awa budo ena. 
LUK.19.23	Edo ro awa embo imo nato ganu awa ganu ari yai piato ganu nenei are tae esitesi? Ango ato na egenembedo gundo ainda ganu nenei daedo bane tae.’
LUK.19.24	“Ango edo daotarimi embomai nenei demonda pepetegedo itera ainde sisina, ‘Embo einda yai ganu gold da (1) awa dodo kundo buro embo ami ganu gold ajigari 10 bira, ainde piewo.’
LUK.19.25	“Ata awamanemi sitera, ‘Badarari, embo awa matu ganu gold ajigari 10 bira.’
LUK.19.26	“Ango tetero ami mina sisina, ‘Nane imondemane tena, embomai aimi nane rorae pieteno jigamo dave edo era awa, awamanede jiwaebé piana. Ata awamane aimi nane rorae pieteno jigamo ae dumbae edo era awa, awamaneda yai ro matu pipisitena awa dodo bana. 
LUK.19.27	Awarata, nato gitopo embomai na daotari eonekae, jipapa ae esitera, awamane kundo einda gumbuwo, edo dewo betore jisi natoda.’”
LUK.19.28	Yesu ge ango tedo ainda amboda imo matawa pepeta edo Jerusalem kena visido maunsisina. 
LUK.19.29	Edo iji angode Yesu ae ainda ambodani de gundo nasi Bethphage ae Bethany de, Ni Olive de Peji demonda edo ainda ambodani tote (2) gisi piesiri maunsitera. 
LUK.19.30	Edo awamanede sisina, “Mambuwo, maundo nasida ounda isira ainda torave. Imomane totoreite ainda wo donki mai buri edo kanjigari tambawa. Embo da aimi ainda tamonda gisi anumbae. Awa udegedo kundo einda gumbuwo! 
LUK.19.31	Edo embo da aimi imondemane tedogaina, ‘Nongo ain wo mai awa udegetevi?’ embo ainde tewo, ‘Badari mi jipapa eira.’”
LUK.19.32	Ango tesiri embo tote (2) awa maundo nasi ainda edo ro berari ami awamande sisina awa, dá ango taputera. 
LUK.19.33	Ata awamane wo donki mai awa udegetero, wo tutu itero jiriri awamanede sitera, “Imomane nongaintedo donki mai awa udegetevi?”
LUK.19.34	Ango tetero awamanemi ge mina sitera, “Badari mi jipapa eira.”
LUK.19.35	Edo awamane donki mai kundo gisijido Yesu da yai guputera. Edo awamaneda dademo ombari donki mai ainda gunda augetero visiri besi jijiritera. Edo awamanemi Yesu kondade ero visido anumbesisina. 
LUK.19.36	Ango edo Yesu Jerusalem kena maunsiri, embomai jiwaebémi awamaneda dademo ombari teugedo begatada besi jijiritera.
LUK.19.37	Edo Yesu gundo Ni Olive de Peji da eno wotari begata ainda atutumbesisina. Ango eiri, ainda ambodani jisi bajina berarimi tuturo edo do yawa eite God dasiga esitera, ge yavi inakademi, aindabé, ami buro babain berari eiri gositera awatedo. 
LUK.19.38	Edo awamanemi sitera:
LUK.19.38	“God da ao ari Daotarida yai itare!
LUK.19.38	Embo eiwa 
LUK.19.38	“Emi God ae ainda embomai de awa embo béga utuda bira!
LUK.19.38	Kaen God ikanebé ikane ainde taogari piore!”
LUK.19.39	Ango edo Parasi mane doregari doda iterami Yesu de sitera, “Atopatari, ito ambodani te ge dowore!”
LUK.19.40	Ata embo ami awamanede sisina, “Nane imondemane tena awa, eiwamane na dasiga era eiwa dowara gido awa, ganumami boitebé aorogatedo na dasiga ara.”
LUK.19.41	Iji ainde Yesu Jerusalem atutumbeteite nasi awa jisimi gido do memesi budo ji sisina. 
LUK.19.42	“God da béga nongo edo bari taori awa, imo gae. Edo gido ito deguta eiwa gari awa budo God gebé ata, ami ito rirowa piainyae. Ata boroko imo na ajiregeteta, awatedo, God mi gari awa ito yai arapa ae onjigesira. 
LUK.19.43+LUK.19.44	Gebé, aindabé God akuta ami imo tonemain gumbira awa gae arapa ae, buro engogo awa ito yaida idegaina. Ito gitopo embomi puwa dode ponde jido imo jinenembara edo imo engiregara. Awamanemi imo usibesi ara edo ito mamai avekave doda itera awa daro bebetegara, edo ito oromando berari dedo sitara.”
LUK.19.45	Edo Yesu gundo Judah embomainda oro kotopu bajinada gano ari arapada totorisina. Ami embobo roviravi ori mina ara ero gido tuturo edo awamanede ge okain tedo dain ondesiri dodo idedegesitera. 
LUK.19.46	Ango edo awamanede sisina, “God da geda gaiari isira awa, ‘Nato oro kotopu awa embomainda benunu oro,’
LUK.19.47	Yesu iji berari embomai atopasido esisina, Judah embomainda oro kotopu bajina ainda. Ata pirisi babain ae Aodarida atopapasigari de Judah embomainda embo babain nenei demi nongo edo begata kakowa edo imo daro betaini, ango edo esitera. 
LUK.19.48	Awarata, aindabé embomai berari ainda ge sira awa ingain atoto gigito eite gundo jiroro esitera, awamanemi begata onjigari nonda ango ari awa tambae esitera.
LUK.20.1	Ango edo, deguta da (1)de Yesu Judah embomainda oro kotopu doda embomai atopaposite, God da bino dave awamaneda yai dengoro baiari pipiteite isiri, pirisi babain ae Aodarida atopapasigari de orobeda kopuru mamai demi imo atutumbesitera. 
LUK.20.2	Edo embo ainde sitera, “Nakare te gore. Imo awara tari nomi buro eiwa esi? Imonde awara tari eiwa aimi piesiri?”
LUK.20.3	Ango tetero ami awamanede mina sisina, “Edo na daedo imondemane tedogari da (1) piana. Tewo gane. 
LUK.20.4	John bapataito arate awara tari aimi pipisisini? God mi pipisisinita ko embo enembomi pipisiteri?”
LUK.20.5	Edo awamane akuta mina tara esitera, “Kaende nongo tari? Kaenanemi awara tari God mi pipisisina tara awa, embo emi taina, ‘Ro awa embo imomane John gebé ae esitevi?’ 
LUK.20.6	Edo kaenanemi tara awa, ‘Embo enemboda piari,’ ainda edo embomai berari omi John awa peroveta site gebé esitera, owamanemi sinigambari edo kaena ganumami augedo dara.”
LUK.20.7	Ango edo awamanemi mina sitera, “Nakare gae ainda awara tari yai nonda burisini.”
LUK.20.8	Edo Yesu mi awamanede sisina, “Awatedo, awara tari nomi buro eiwa eni awa, nane imondemane tainyae.”
LUK.20.9	Ango edo Yesu embomainde eniya ge eiwa sisina, “Embo da (1)mi dongo gurepi
LUK.20.10	Edo gurepi be tari esiri ainda tokari iji gupusina. Awatedo, dongoda mamo ainda buro embo piesiri dongo sima ari emboboda yai maunsisina, gurepi be awa tokedo, nenei ainde piaro kundo gumbarate. Ata sima ari embobo erido buro embo awa gumbiri vededo pietero ipa tepo overegesisina. 
